,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-25,31.0,17.0
1,2020-03-26,35.0,4.0
2,2020-03-27,41.0,6.0
3,2020-03-28,46.0,5.0
4,2020-03-29,49.0,3.0
5,2020-03-30,53.0,4.0
6,2020-03-31,54.0,1.0
7,2020-04-01,54.0,0.0
8,2020-04-02,55.0,1.0
9,2020-04-03,57.0,2.0
10,2020-04-04,57.0,0.0
11,2020-04-05,59.0,2.0
12,2020-04-06,64.0,5.0
13,2020-04-07,66.0,2.0
14,2020-04-08,67.0,1.0
15,2020-04-09,67.0,0.0
16,2020-04-10,70.0,3.0
17,2020-04-11,71.0,1.0
18,2020-04-12,73.0,2.0
19,2020-04-13,82.0,9.0
20,2020-04-14,85.0,3.0
21,2020-04-15,97.0,12.0
22,2020-04-16,104.0,7.0
23,2020-04-17,121.0,17.0
24,2020-04-18,135.0,14.0
25,2020-04-19,138.0,3.0
26,2020-04-20,155.0,17.0
27,2020-04-21,169.0,14.0
28,2020-04-22,180.0,11.0
29,2020-04-23,201.0,21.0
30,2020-04-24,212.0,11.0
31,2020-04-25,213.0,1.0
32,2020-04-26,220.0,7.0
33,2020-04-27,238.0,18.0
34,2020-04-28,270.0,32.0
35,2020-04-29,288.0,18.0
36,2020-04-30,315.0,27.0
37,2020-05-01,319.0,4.0
38,2020-05-02,322.0,3.0
39,2020-05-03,327.0,5.0
40,2020-05-04,377.0,50.0
41,2020-05-05,390.0,13.0
42,2020-05-06,407.0,17.0
43,2020-05-07,431.0,24.0
44,2020-05-08,442.0,11.0
45,2020-05-09,442.0,0.0
46,2020-05-10,447.0,5.0
47,2020-05-11,459.0,12.0
48,2020-05-12,500.0,41.0
49,2020-05-13,516.0,16.0
50,2020-05-14,540.0,24.0
51,2020-05-15,565.0,25.0
52,2020-05-16,569.0,4.0
53,2020-05-17,576.0,7.0
54,2020-05-18,614.0,38.0
55,2020-05-19,633.0,19.0
56,2020-05-20,662.0,29.0
57,2020-05-21,689.0,27.0
58,2020-05-22,713.0,24.0
59,2020-05-23,731.0,18.0
60,2020-05-24,741.0,10.0
61,2020-05-25,784.0,43.0
62,2020-05-26,820.0,36.0
63,2020-05-27,857.0,37.0
64,2020-05-28,902.0,45.0
65,2020-05-29,947.0,45.0
66,2020-05-30,964.0,17.0
67,2020-05-31,985.0,21.0
68,2020-06-01,1050.0,65.0
69,2020-06-02,1104.0,54.0
70,2020-06-03,1165.0,61.0
71,2020-06-04,1207.0,42.0
72,2020-06-05,1270.0,63.0
73,2020-06-06,1294.0,24.0
74,2020-06-07,1319.0,25.0
