,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-29,21.0,2.0
1,2020-03-30,35.0,14.0
2,2020-03-31,42.0,7.0
3,2020-04-01,48.0,6.0
4,2020-04-02,59.0,11.0
5,2020-04-03,75.0,16.0
6,2020-04-04,80.0,5.0
7,2020-04-05,85.0,5.0
8,2020-04-06,108.0,23.0
9,2020-04-07,132.0,24.0
10,2020-04-08,156.0,24.0
11,2020-04-09,178.0,22.0
12,2020-04-10,187.0,9.0
13,2020-04-11,194.0,7.0
14,2020-04-12,200.0,6.0
15,2020-04-13,215.0,15.0
16,2020-04-14,232.0,17.0
17,2020-04-15,237.0,5.0
18,2020-04-16,246.0,9.0
19,2020-04-17,252.0,6.0
20,2020-04-18,255.0,3.0
21,2020-04-19,264.0,9.0
22,2020-04-20,271.0,7.0
23,2020-04-21,283.0,12.0
24,2020-04-22,288.0,5.0
25,2020-04-23,297.0,9.0
26,2020-04-24,310.0,13.0
27,2020-04-25,315.0,5.0
28,2020-04-26,322.0,7.0
29,2020-04-27,332.0,10.0
30,2020-04-28,336.0,4.0
31,2020-04-29,340.0,4.0
32,2020-04-30,354.0,14.0
33,2020-05-01,356.0,2.0
34,2020-05-02,364.0,8.0
35,2020-05-03,370.0,6.0
36,2020-05-04,377.0,7.0
37,2020-05-05,389.0,12.0
38,2020-05-06,399.0,10.0
39,2020-05-07,410.0,11.0
40,2020-05-08,419.0,9.0
41,2020-05-09,425.0,6.0
42,2020-05-10,435.0,10.0
43,2020-05-11,442.0,7.0
44,2020-05-12,458.0,16.0
45,2020-05-13,471.0,13.0
46,2020-05-14,479.0,8.0
47,2020-05-15,484.0,5.0
48,2020-05-16,495.0,11.0
49,2020-05-17,498.0,3.0
50,2020-05-18,509.0,11.0
51,2020-05-19,524.0,15.0
52,2020-05-20,541.0,17.0
53,2020-05-21,549.0,8.0
54,2020-05-22,564.0,15.0
55,2020-05-23,571.0,7.0
56,2020-05-24,580.0,9.0
57,2020-05-25,597.0,17.0
58,2020-05-26,611.0,14.0
59,2020-05-27,632.0,21.0
60,2020-05-28,650.0,18.0
61,2020-05-29,672.0,22.0
62,2020-05-30,685.0,13.0
63,2020-05-31,693.0,8.0
64,2020-06-01,729.0,36.0
65,2020-06-02,746.0,17.0
66,2020-06-03,762.0,16.0
67,2020-06-04,784.0,22.0
68,2020-06-05,806.0,22.0
69,2020-06-06,820.0,14.0
70,2020-06-07,840.0,20.0
71,2020-06-08,893.0,53.0
72,2020-06-09,931.0,38.0
73,2020-06-10,979.0,48.0
74,2020-06-11,1007.0,28.0
75,2020-06-12,1032.0,25.0
76,2020-06-13,1054.0,22.0
77,2020-06-14,1075.0,21.0
78,2020-06-15,1126.0,51.0
79,2020-06-16,1156.0,30.0
80,2020-06-17,1202.0,46.0
81,2020-06-18,1250.0,48.0
82,2020-06-19,1269.0,19.0
83,2020-06-20,1303.0,34.0
84,2020-06-21,1321.0,18.0
85,2020-06-22,1352.0,31.0
86,2020-06-23,1398.0,46.0
87,2020-06-24,1451.0,53.0
88,2020-06-25,1505.0,54.0
89,2020-06-26,1546.0,41.0
90,2020-06-27,1591.0,45.0
91,2020-06-28,1624.0,33.0
92,2020-06-29,1690.0,66.0
93,2020-06-30,1748.0,58.0
94,2020-07-01,1820.0,72.0
95,2020-07-02,1891.0,71.0
96,2020-07-03,1954.0,63.0
97,2020-07-04,2010.0,56.0
98,2020-07-05,2059.0,49.0
99,2020-07-06,2148.0,89.0
100,2020-07-07,2260.0,112.0
101,2020-07-08,2351.0,91.0
102,2020-07-09,2478.0,127.0
103,2020-07-10,2595.0,117.0
104,2020-07-11,2632.0,37.0
105,2020-07-12,2682.0,50.0
106,2020-07-13,2810.0,128.0
107,2020-07-14,2930.0,120.0
108,2020-07-15,3063.0,133.0
109,2020-07-16,3179.0,116.0
110,2020-07-17,3269.0,90.0
111,2020-07-18,3333.0,64.0
112,2020-07-19,3372.0,39.0
113,2020-07-20,3528.0,156.0
114,2020-07-21,3637.0,109.0
115,2020-07-22,3752.0,115.0
116,2020-07-23,3894.0,142.0
117,2020-07-24,4001.0,107.0
118,2020-07-25,4067.0,66.0
119,2020-07-26,4106.0,39.0
120,2020-07-27,4281.0,175.0
121,2020-07-28,4436.0,155.0
122,2020-07-29,4552.0,116.0
123,2020-07-30,4707.0,155.0
124,2020-07-31,4807.0,100.0
125,2020-08-01,4873.0,66.0
126,2020-08-02,4914.0,41.0
127,2020-08-03,5075.0,161.0
128,2020-08-04,5221.0,146.0
129,2020-08-05,5373.0,152.0
130,2020-08-06,5496.0,123.0
131,2020-08-07,5605.0,109.0
132,2020-08-08,5687.0,82.0
133,2020-08-09,5730.0,43.0
134,2020-08-10,5871.0,141.0
135,2020-08-11,5992.0,121.0
136,2020-08-12,6118.0,126.0
137,2020-08-13,6260.0,142.0
138,2020-08-14,6390.0,130.0
139,2020-08-15,6445.0,55.0
140,2020-08-16,6492.0,47.0
141,2020-08-17,6634.0,142.0
142,2020-08-18,6772.0,138.0
143,2020-08-19,6868.0,96.0
144,2020-08-20,6904.0,36.0
145,2020-08-21,6982.0,78.0
146,2020-08-22,7057.0,75.0
147,2020-08-23,7106.0,49.0
148,2020-08-24,7248.0,142.0
149,2020-08-25,7347.0,99.0
150,2020-08-26,7453.0,106.0
151,2020-08-27,7574.0,121.0
152,2020-08-28,7642.0,68.0
153,2020-08-29,7694.0,52.0
154,2020-08-30,7758.0,64.0
155,2020-08-31,7887.0,129.0
156,2020-09-01,8002.0,115.0
157,2020-09-02,8136.0,134.0
158,2020-09-03,8249.0,113.0
159,2020-09-04,8353.0,104.0
160,2020-09-05,8411.0,58.0
161,2020-09-06,8450.0,39.0
162,2020-09-07,8585.0,135.0
163,2020-09-08,8711.0,126.0
164,2020-09-09,8814.0,103.0
165,2020-09-10,8897.0,83.0
166,2020-09-11,8990.0,93.0
167,2020-09-12,9055.0,65.0
168,2020-09-13,9083.0,28.0
169,2020-09-14,9182.0,99.0
170,2020-09-15,9273.0,91.0
171,2020-09-16,9328.0,55.0
172,2020-09-17,9417.0,89.0
173,2020-09-18,9531.0,114.0
174,2020-09-19,9595.0,64.0
175,2020-09-20,9614.0,19.0
176,2020-09-21,9721.0,107.0
177,2020-09-22,9805.0,84.0
178,2020-09-23,9889.0,84.0
179,2020-09-24,9971.0,82.0
180,2020-09-25,10063.0,92.0
181,2020-09-26,10120.0,57.0
182,2020-09-27,10139.0,19.0
183,2020-09-28,10233.0,94.0
184,2020-09-29,10331.0,98.0
185,2020-09-30,10410.0,79.0
186,2020-10-01,10494.0,84.0
187,2020-10-02,10565.0,71.0
188,2020-10-03,10608.0,43.0
189,2020-10-04,10635.0,27.0
190,2020-10-05,10735.0,100.0
191,2020-10-06,10817.0,82.0
192,2020-10-07,10886.0,69.0
193,2020-10-08,10975.0,89.0
194,2020-10-09,11069.0,94.0
195,2020-10-10,11118.0,49.0
196,2020-10-11,11140.0,22.0
197,2020-10-12,11251.0,111.0
198,2020-10-13,11345.0,94.0
199,2020-10-14,11421.0,76.0
200,2020-10-15,11517.0,96.0
201,2020-10-16,11634.0,117.0
202,2020-10-17,11691.0,57.0
203,2020-10-18,11714.0,23.0
204,2020-10-19,11828.0,114.0
205,2020-10-20,11920.0,92.0
206,2020-10-21,12022.0,102.0
207,2020-10-22,12103.0,81.0
208,2020-10-23,12200.0,97.0
209,2020-10-24,12258.0,58.0
210,2020-10-25,12279.0,21.0
211,2020-10-26,12391.0,112.0
212,2020-10-27,12486.0,95.0
213,2020-10-28,12573.0,87.0
214,2020-10-29,12658.0,85.0
215,2020-10-30,12724.0,66.0
216,2020-10-31,12759.0,35.0
217,2020-11-01,12784.0,25.0
218,2020-11-02,12870.0,86.0
219,2020-11-03,12939.0,69.0
220,2020-11-04,13021.0,82.0
221,2020-11-05,13093.0,72.0
222,2020-11-06,13151.0,58.0
223,2020-11-07,13180.0,29.0
224,2020-11-08,13205.0,25.0
225,2020-11-09,13319.0,114.0
