,Fecha,CasosAcumulados,CasosDiarios
0,2020-04-11,25.0,5.0
1,2020-04-12,27.0,2.0
2,2020-04-13,30.0,3.0
3,2020-04-14,34.0,4.0
4,2020-04-15,38.0,4.0
5,2020-04-16,43.0,5.0
6,2020-04-17,46.0,3.0
7,2020-04-18,52.0,6.0
8,2020-04-19,54.0,2.0
9,2020-04-20,59.0,5.0
10,2020-04-21,66.0,7.0
11,2020-04-22,73.0,7.0
12,2020-04-23,81.0,8.0
13,2020-04-24,85.0,4.0
14,2020-04-25,92.0,7.0
15,2020-04-26,101.0,9.0
16,2020-04-27,110.0,9.0
17,2020-04-28,117.0,7.0
18,2020-04-29,126.0,9.0
19,2020-04-30,134.0,8.0
20,2020-05-01,141.0,7.0
21,2020-05-02,154.0,13.0
22,2020-05-03,168.0,14.0
23,2020-05-04,189.0,21.0
24,2020-05-05,200.0,11.0
25,2020-05-06,219.0,19.0
26,2020-05-07,232.0,13.0
27,2020-05-08,248.0,16.0
28,2020-05-09,263.0,15.0
29,2020-05-10,272.0,9.0
30,2020-05-11,299.0,27.0
31,2020-05-12,322.0,23.0
32,2020-05-13,341.0,19.0
33,2020-05-14,356.0,15.0
34,2020-05-15,374.0,18.0
35,2020-05-16,391.0,17.0
36,2020-05-17,406.0,15.0
37,2020-05-18,425.0,19.0
38,2020-05-19,447.0,22.0
39,2020-05-20,474.0,27.0
40,2020-05-21,494.0,20.0
41,2020-05-22,520.0,26.0
42,2020-05-23,538.0,18.0
43,2020-05-24,553.0,15.0
44,2020-05-25,587.0,34.0
45,2020-05-26,624.0,37.0
46,2020-05-27,654.0,30.0
47,2020-05-28,685.0,31.0
48,2020-05-29,705.0,20.0
49,2020-05-30,724.0,19.0
50,2020-05-31,731.0,7.0
51,2020-06-01,769.0,38.0
52,2020-06-02,793.0,24.0
53,2020-06-03,812.0,19.0
54,2020-06-04,852.0,40.0
55,2020-06-05,893.0,41.0
56,2020-06-06,918.0,25.0
57,2020-06-07,941.0,23.0
58,2020-06-08,985.0,44.0
59,2020-06-09,1045.0,60.0
60,2020-06-10,1117.0,72.0
61,2020-06-11,1192.0,75.0
62,2020-06-12,1228.0,36.0
63,2020-06-13,1257.0,29.0
64,2020-06-14,1278.0,21.0
65,2020-06-15,1380.0,102.0
66,2020-06-16,1464.0,84.0
67,2020-06-17,1572.0,108.0
68,2020-06-18,1660.0,88.0
69,2020-06-19,1759.0,99.0
70,2020-06-20,1814.0,55.0
71,2020-06-21,1853.0,39.0
72,2020-06-22,1961.0,108.0
73,2020-06-23,2056.0,95.0
74,2020-06-24,2146.0,90.0
75,2020-06-25,2239.0,93.0
76,2020-06-26,2339.0,100.0
77,2020-06-27,2392.0,53.0
78,2020-06-28,2442.0,50.0
79,2020-06-29,2517.0,75.0
80,2020-06-30,2609.0,92.0
81,2020-07-01,2680.0,71.0
82,2020-07-02,2775.0,95.0
83,2020-07-03,2836.0,61.0
84,2020-07-04,2869.0,33.0
85,2020-07-05,2907.0,38.0
86,2020-07-06,2987.0,80.0
87,2020-07-07,3082.0,95.0
88,2020-07-08,3178.0,96.0
89,2020-07-09,3277.0,99.0
90,2020-07-10,3386.0,109.0
91,2020-07-11,3440.0,54.0
92,2020-07-12,3502.0,62.0
93,2020-07-13,3625.0,123.0
94,2020-07-14,3702.0,77.0
95,2020-07-15,3820.0,118.0
96,2020-07-16,3935.0,115.0
97,2020-07-17,4035.0,100.0
98,2020-07-18,4081.0,46.0
99,2020-07-19,4132.0,51.0
100,2020-07-20,4249.0,117.0
101,2020-07-21,4356.0,107.0
102,2020-07-22,4444.0,88.0
103,2020-07-23,4530.0,86.0
104,2020-07-24,4615.0,85.0
105,2020-07-25,4651.0,36.0
106,2020-07-26,4675.0,24.0
107,2020-07-27,4746.0,71.0
108,2020-07-28,4829.0,83.0
109,2020-07-29,4900.0,71.0
110,2020-07-30,4967.0,67.0
111,2020-07-31,5028.0,61.0
112,2020-08-01,5066.0,38.0
113,2020-08-02,5098.0,32.0
114,2020-08-03,5151.0,53.0
115,2020-08-04,5217.0,66.0
116,2020-08-05,5268.0,51.0
117,2020-08-06,5315.0,47.0
118,2020-08-07,5342.0,27.0
119,2020-08-08,5359.0,17.0
120,2020-08-09,5375.0,16.0
121,2020-08-10,5417.0,42.0
122,2020-08-11,5446.0,29.0
123,2020-08-12,5484.0,38.0
124,2020-08-13,5522.0,38.0
125,2020-08-14,5536.0,14.0
126,2020-08-15,5548.0,12.0
127,2020-08-16,5562.0,14.0
128,2020-08-17,5593.0,31.0
129,2020-08-18,5637.0,44.0
130,2020-08-19,5671.0,34.0
131,2020-08-20,5696.0,25.0
132,2020-08-21,5758.0,62.0
133,2020-08-22,5772.0,14.0
134,2020-08-23,5783.0,11.0
135,2020-08-24,5816.0,33.0
136,2020-08-25,5846.0,30.0
137,2020-08-26,5867.0,21.0
138,2020-08-27,5894.0,27.0
139,2020-08-28,5939.0,45.0
140,2020-08-29,5947.0,8.0
141,2020-08-30,5953.0,6.0
142,2020-08-31,5986.0,33.0
143,2020-09-01,6003.0,17.0
144,2020-09-02,6031.0,28.0
145,2020-09-03,6055.0,24.0
146,2020-09-04,6072.0,17.0
147,2020-09-05,6075.0,3.0
148,2020-09-06,6082.0,7.0
149,2020-09-07,6100.0,18.0
150,2020-09-08,6112.0,12.0
151,2020-09-09,6123.0,11.0
152,2020-09-10,6133.0,10.0
153,2020-09-11,6165.0,32.0
154,2020-09-12,6176.0,11.0
155,2020-09-13,6183.0,7.0
156,2020-09-14,6197.0,14.0
157,2020-09-15,6200.0,3.0
158,2020-09-16,6204.0,4.0
159,2020-09-17,6214.0,10.0
160,2020-09-18,6255.0,41.0
161,2020-09-19,6258.0,3.0
162,2020-09-20,6264.0,6.0
163,2020-09-21,6286.0,22.0
164,2020-09-22,6292.0,6.0
165,2020-09-23,6306.0,14.0
166,2020-09-24,6321.0,15.0
167,2020-09-25,6338.0,17.0
168,2020-09-26,6347.0,9.0
169,2020-09-27,6352.0,5.0
170,2020-09-28,6368.0,16.0
171,2020-09-29,6382.0,14.0
172,2020-09-30,6395.0,13.0
173,2020-10-01,6409.0,14.0
174,2020-10-02,6429.0,20.0
175,2020-10-03,6429.0,0.0
176,2020-10-04,6434.0,5.0
177,2020-10-05,6452.0,18.0
178,2020-10-06,6459.0,7.0
179,2020-10-07,6472.0,13.0
180,2020-10-08,6479.0,7.0
181,2020-10-09,6498.0,19.0
182,2020-10-10,6500.0,2.0
183,2020-10-11,6501.0,1.0
184,2020-10-12,6514.0,13.0
185,2020-10-13,6527.0,13.0
186,2020-10-14,6540.0,13.0
187,2020-10-15,6552.0,12.0
188,2020-10-16,6574.0,22.0
189,2020-10-17,6580.0,6.0
190,2020-10-18,6582.0,2.0
191,2020-10-19,6600.0,18.0
192,2020-10-20,6610.0,10.0
193,2020-10-21,6615.0,5.0
194,2020-10-22,6631.0,16.0
195,2020-10-23,6641.0,10.0
196,2020-10-24,6643.0,2.0
197,2020-10-25,6647.0,4.0
198,2020-10-26,6678.0,31.0
199,2020-10-27,6692.0,14.0
200,2020-10-28,6710.0,18.0
201,2020-10-29,6717.0,7.0
202,2020-10-30,6736.0,19.0
203,2020-10-31,6737.0,1.0
204,2020-11-01,6737.0,0.0
205,2020-11-02,6746.0,9.0
206,2020-11-03,6751.0,5.0
207,2020-11-04,6771.0,20.0
208,2020-11-05,6778.0,7.0
209,2020-11-06,6783.0,5.0
210,2020-11-07,6789.0,6.0
211,2020-11-08,6794.0,5.0
212,2020-11-09,6806.0,12.0
213,2020-11-10,6814.0,8.0
214,2020-11-11,6826.0,12.0
215,2020-11-12,6838.0,12.0
216,2020-11-13,6857.0,19.0
217,2020-11-14,6860.0,3.0
218,2020-11-15,6866.0,6.0
219,2020-11-16,6871.0,5.0
220,2020-11-17,6883.0,12.0
221,2020-11-18,6905.0,22.0
222,2020-11-19,6909.0,4.0
223,2020-11-20,6928.0,19.0
224,2020-11-21,6930.0,2.0
225,2020-11-22,6936.0,6.0
226,2020-11-23,6961.0,25.0
227,2020-11-24,6973.0,12.0
228,2020-11-25,7000.0,27.0
229,2020-11-26,7022.0,22.0
230,2020-11-27,7035.0,13.0
231,2020-11-28,7038.0,3.0
232,2020-11-29,7039.0,1.0
233,2020-11-30,7058.0,19.0
234,2020-12-01,7073.0,15.0
235,2020-12-02,7090.0,17.0
236,2020-12-03,7104.0,14.0
237,2020-12-04,7123.0,19.0
238,2020-12-05,7129.0,6.0
239,2020-12-06,7131.0,2.0
240,2020-12-07,7149.0,18.0
241,2020-12-08,7161.0,12.0
242,2020-12-09,7182.0,21.0
243,2020-12-10,7187.0,5.0
244,2020-12-11,7214.0,27.0
245,2020-12-12,7223.0,9.0
246,2020-12-13,7226.0,3.0
247,2020-12-14,7262.0,36.0
248,2020-12-15,7280.0,18.0
249,2020-12-16,7311.0,31.0
250,2020-12-17,7327.0,16.0
251,2020-12-18,7351.0,24.0
252,2020-12-19,7353.0,2.0
253,2020-12-20,7359.0,6.0
254,2020-12-21,7380.0,21.0
255,2020-12-22,7389.0,9.0
256,2020-12-23,7417.0,28.0
257,2020-12-24,7438.0,21.0
258,2020-12-25,7443.0,5.0
259,2020-12-26,7454.0,11.0
260,2020-12-27,7457.0,3.0
261,2020-12-28,7489.0,32.0
262,2020-12-29,7502.0,13.0
263,2020-12-30,7520.0,18.0
264,2020-12-31,7536.0,16.0
265,2021-01-01,7542.0,6.0
266,2021-01-02,7547.0,5.0
267,2021-01-03,7552.0,5.0
268,2021-01-04,7592.0,40.0
269,2021-01-05,7621.0,29.0
270,2021-01-06,7653.0,32.0
271,2021-01-07,7675.0,22.0
272,2021-01-08,7715.0,40.0
273,2021-01-09,7725.0,10.0
274,2021-01-10,7731.0,6.0
275,2021-01-11,7762.0,31.0
276,2021-01-12,7786.0,24.0
277,2021-01-13,7830.0,44.0
278,2021-01-14,7859.0,29.0
279,2021-01-15,7890.0,31.0
280,2021-01-16,7901.0,11.0
281,2021-01-17,7910.0,9.0
282,2021-01-18,7939.0,29.0
283,2021-01-19,7968.0,29.0
284,2021-01-20,8001.0,33.0
285,2021-01-21,8030.0,29.0
286,2021-01-22,8067.0,37.0
287,2021-01-23,8083.0,16.0
288,2021-01-24,8095.0,12.0
289,2021-01-25,8138.0,43.0
290,2021-01-26,8171.0,33.0
291,2021-01-27,8205.0,34.0
292,2021-01-28,8228.0,23.0
293,2021-01-29,8276.0,48.0
294,2021-01-30,8283.0,7.0
295,2021-01-31,8294.0,11.0
296,2021-02-01,8301.0,7.0
297,2021-02-02,8327.0,26.0
298,2021-02-03,8355.0,28.0
299,2021-02-04,8372.0,17.0
300,2021-02-05,8389.0,17.0
301,2021-02-06,8393.0,4.0
302,2021-02-07,8395.0,2.0
303,2021-02-08,8420.0,25.0
304,2021-02-09,8435.0,15.0
305,2021-02-10,8462.0,27.0
306,2021-02-11,8474.0,12.0
307,2021-02-12,8493.0,19.0
308,2021-02-13,8497.0,4.0
309,2021-02-14,8504.0,7.0
310,2021-02-15,8520.0,16.0
311,2021-02-16,8530.0,10.0
312,2021-02-17,8543.0,13.0
313,2021-02-18,8563.0,20.0
314,2021-02-19,8577.0,14.0
315,2021-02-20,8589.0,12.0
316,2021-02-21,8598.0,9.0
317,2021-02-22,8629.0,31.0
318,2021-02-23,8641.0,12.0
319,2021-02-24,8663.0,22.0
320,2021-02-25,8677.0,14.0
321,2021-02-26,8698.0,21.0
322,2021-02-27,8702.0,4.0
323,2021-02-28,8710.0,8.0
324,2021-03-01,8735.0,25.0
325,2021-03-02,8754.0,19.0
326,2021-03-03,8773.0,19.0
327,2021-03-04,8795.0,22.0
328,2021-03-05,8826.0,31.0
329,2021-03-06,8834.0,8.0
330,2021-03-07,8840.0,6.0
331,2021-03-08,8869.0,29.0
332,2021-03-09,8887.0,18.0
333,2021-03-10,8905.0,18.0
334,2021-03-11,8919.0,14.0
335,2021-03-12,8932.0,13.0
336,2021-03-13,8941.0,9.0
337,2021-03-14,8944.0,3.0
338,2021-03-15,8952.0,8.0
339,2021-03-16,8974.0,22.0
340,2021-03-17,9001.0,27.0
341,2021-03-18,9012.0,11.0
342,2021-03-19,9024.0,12.0
343,2021-03-20,9027.0,3.0
344,2021-03-21,9034.0,7.0
345,2021-03-22,9047.0,13.0
346,2021-03-23,9064.0,17.0
347,2021-03-24,9088.0,24.0
348,2021-03-25,9109.0,21.0
349,2021-03-26,9119.0,10.0
350,2021-03-27,9131.0,12.0
351,2021-03-28,9134.0,3.0
352,2021-03-29,9167.0,33.0
353,2021-03-30,9189.0,22.0
354,2021-03-31,9200.0,11.0
355,2021-04-01,9209.0,9.0
356,2021-04-02,9216.0,7.0
357,2021-04-03,9224.0,8.0
358,2021-04-04,9235.0,11.0
359,2021-04-05,9245.0,10.0
360,2021-04-06,9257.0,12.0
361,2021-04-07,9279.0,22.0
362,2021-04-08,9289.0,10.0
363,2021-04-09,9301.0,12.0
364,2021-04-10,9304.0,3.0
365,2021-04-11,9311.0,7.0
366,2021-04-12,9330.0,19.0
367,2021-04-13,9345.0,15.0
368,2021-04-14,9354.0,9.0
369,2021-04-15,9368.0,14.0
370,2021-04-16,9381.0,13.0
371,2021-04-17,9383.0,2.0
372,2021-04-18,9386.0,3.0
373,2021-04-19,9436.0,50.0
374,2021-04-20,9442.0,6.0
375,2021-04-21,9456.0,14.0
376,2021-04-22,9476.0,20.0
377,2021-04-23,9490.0,14.0
378,2021-04-24,9496.0,6.0
379,2021-04-25,9503.0,7.0
380,2021-04-26,9516.0,13.0
381,2021-04-27,9538.0,22.0
382,2021-04-28,9573.0,35.0
383,2021-04-29,9603.0,30.0
384,2021-04-30,9636.0,33.0
385,2021-05-01,9640.0,4.0
386,2021-05-02,9649.0,9.0
387,2021-05-03,9691.0,42.0
388,2021-05-04,9708.0,17.0
389,2021-05-05,9722.0,14.0
390,2021-05-06,9752.0,30.0
391,2021-05-07,9769.0,17.0
392,2021-05-08,9777.0,8.0
393,2021-05-09,9778.0,1.0
394,2021-05-10,9794.0,16.0
395,2021-05-11,9815.0,21.0
396,2021-05-12,9838.0,23.0
397,2021-05-13,9867.0,29.0
398,2021-05-14,9883.0,16.0
399,2021-05-15,9901.0,18.0
400,2021-05-16,9915.0,14.0
401,2021-05-17,9948.0,33.0
402,2021-05-18,9978.0,30.0
403,2021-05-19,10022.0,44.0
404,2021-05-20,10058.0,36.0
405,2021-05-21,10090.0,32.0
406,2021-05-22,10103.0,13.0
407,2021-05-23,10123.0,20.0
408,2021-05-24,10152.0,29.0
409,2021-05-25,10186.0,34.0
410,2021-05-26,10212.0,26.0
411,2021-05-27,10244.0,32.0
412,2021-05-28,10270.0,26.0
413,2021-05-29,10283.0,13.0
414,2021-05-30,10297.0,14.0
415,2021-05-31,10338.0,41.0
416,2021-06-01,10381.0,43.0
417,2021-06-02,10434.0,53.0
418,2021-06-03,10461.0,27.0
419,2021-06-04,10493.0,32.0
420,2021-06-05,10513.0,20.0
421,2021-06-06,10523.0,10.0
422,2021-06-07,10565.0,42.0
423,2021-06-08,10610.0,45.0
424,2021-06-09,10669.0,59.0
425,2021-06-10,10711.0,42.0
426,2021-06-11,10758.0,47.0
427,2021-06-12,10783.0,25.0
428,2021-06-13,10811.0,28.0
429,2021-06-14,10892.0,81.0
430,2021-06-15,10950.0,58.0
431,2021-06-16,11038.0,88.0
432,2021-06-17,11114.0,76.0
433,2021-06-18,11174.0,60.0
434,2021-06-19,11203.0,29.0
435,2021-06-20,11240.0,37.0
436,2021-06-21,11334.0,94.0
437,2021-06-22,11422.0,88.0
438,2021-06-23,11521.0,99.0
439,2021-06-24,11632.0,111.0
440,2021-06-25,11722.0,90.0
441,2021-06-26,11759.0,37.0
442,2021-06-27,11793.0,34.0
443,2021-06-28,11924.0,131.0
444,2021-06-29,12012.0,88.0
445,2021-06-30,12097.0,85.0
446,2021-07-01,12186.0,89.0
447,2021-07-02,12254.0,68.0
448,2021-07-03,12296.0,42.0
449,2021-07-04,12330.0,34.0
450,2021-07-05,12449.0,119.0
451,2021-07-06,12562.0,113.0
452,2021-07-07,12692.0,130.0
453,2021-07-08,12764.0,72.0
454,2021-07-09,12842.0,78.0
455,2021-07-10,12880.0,38.0
456,2021-07-11,12911.0,31.0
457,2021-07-12,13032.0,121.0
458,2021-07-13,13124.0,92.0
459,2021-07-14,13243.0,119.0
460,2021-07-15,13351.0,108.0
461,2021-07-16,13445.0,94.0
462,2021-07-17,13471.0,26.0
463,2021-07-18,13505.0,34.0
464,2021-07-19,13621.0,116.0
465,2021-07-20,13727.0,106.0
466,2021-07-21,13829.0,102.0
467,2021-07-22,13948.0,119.0
468,2021-07-23,14051.0,103.0
469,2021-07-24,14105.0,54.0
470,2021-07-25,14148.0,43.0
471,2021-07-26,14296.0,148.0
472,2021-07-27,14434.0,138.0
473,2021-07-28,14585.0,151.0
474,2021-07-29,14739.0,154.0
475,2021-07-30,14860.0,121.0
476,2021-07-31,14921.0,61.0
477,2021-08-01,14972.0,51.0
478,2021-08-02,15171.0,199.0
479,2021-08-03,15332.0,161.0
480,2021-08-04,15478.0,146.0
481,2021-08-05,15657.0,179.0
482,2021-08-06,15815.0,158.0
483,2021-08-07,15902.0,87.0
484,2021-08-08,15968.0,66.0
485,2021-08-09,16193.0,225.0
486,2021-08-10,16416.0,223.0
487,2021-08-11,16628.0,212.0
488,2021-08-12,16810.0,182.0
489,2021-08-13,17070.0,260.0
490,2021-08-14,17160.0,90.0
491,2021-08-15,17270.0,110.0
492,2021-08-16,17563.0,293.0
493,2021-08-17,17818.0,255.0
494,2021-08-18,18131.0,313.0
495,2021-08-19,18340.0,209.0
496,2021-08-20,18516.0,176.0
497,2021-08-21,18590.0,74.0
498,2021-08-22,18694.0,104.0
499,2021-08-23,18984.0,290.0
500,2021-08-24,19227.0,243.0
501,2021-08-25,19452.0,225.0
502,2021-08-26,19632.0,180.0
503,2021-08-27,19789.0,157.0
504,2021-08-28,19879.0,90.0
505,2021-08-29,19943.0,64.0
506,2021-08-30,20177.0,234.0
507,2021-08-31,20391.0,214.0
508,2021-09-01,20582.0,191.0
509,2021-09-02,20755.0,173.0
510,2021-09-03,20857.0,102.0
511,2021-09-04,20922.0,65.0
512,2021-09-05,20984.0,62.0
513,2021-09-06,21169.0,185.0
514,2021-09-07,21330.0,161.0
515,2021-09-08,21464.0,134.0
516,2021-09-09,21598.0,134.0
517,2021-09-10,21690.0,92.0
518,2021-09-11,21732.0,42.0
519,2021-09-12,21764.0,32.0
520,2021-09-13,21882.0,118.0
521,2021-09-14,21951.0,69.0
522,2021-09-15,22000.0,49.0
523,2021-09-16,22048.0,48.0
524,2021-09-17,22146.0,98.0
525,2021-09-18,22179.0,33.0
526,2021-09-19,22223.0,44.0
527,2021-09-20,22349.0,126.0
528,2021-09-21,22432.0,83.0
529,2021-09-22,22513.0,81.0
530,2021-09-23,22585.0,72.0
531,2021-09-24,22672.0,87.0
532,2021-09-25,22698.0,26.0
533,2021-09-26,22727.0,29.0
534,2021-09-27,22803.0,76.0
535,2021-09-28,22875.0,72.0
536,2021-09-29,22939.0,64.0
537,2021-09-30,23011.0,72.0
538,2021-10-01,23069.0,58.0
539,2021-10-02,23091.0,22.0
540,2021-10-03,23115.0,24.0
541,2021-10-04,23189.0,74.0
542,2021-10-05,23246.0,57.0
543,2021-10-06,23305.0,59.0
544,2021-10-07,23356.0,51.0
545,2021-10-08,23409.0,53.0
546,2021-10-09,23420.0,11.0
547,2021-10-10,23435.0,15.0
548,2021-10-11,23482.0,47.0
