,Fecha,CasosAcumulados,CasosDiarios
0,2020-04-01,21.0,4.0
1,2020-04-02,23.0,2.0
2,2020-04-03,28.0,5.0
3,2020-04-04,29.0,1.0
4,2020-04-05,30.0,1.0
5,2020-04-06,35.0,5.0
6,2020-04-07,37.0,2.0
7,2020-04-08,43.0,6.0
8,2020-04-09,46.0,3.0
9,2020-04-10,49.0,3.0
10,2020-04-11,50.0,1.0
11,2020-04-12,50.0,0.0
12,2020-04-13,56.0,6.0
13,2020-04-14,62.0,6.0
14,2020-04-15,68.0,6.0
15,2020-04-16,71.0,3.0
16,2020-04-17,81.0,10.0
17,2020-04-18,85.0,4.0
18,2020-04-19,92.0,7.0
19,2020-04-20,103.0,11.0
20,2020-04-21,113.0,10.0
21,2020-04-22,124.0,11.0
22,2020-04-23,139.0,15.0
23,2020-04-24,152.0,13.0
24,2020-04-25,161.0,9.0
25,2020-04-26,173.0,12.0
26,2020-04-27,193.0,20.0
27,2020-04-28,203.0,10.0
28,2020-04-29,222.0,19.0
29,2020-04-30,236.0,14.0
30,2020-05-01,254.0,18.0
31,2020-05-02,263.0,9.0
32,2020-05-03,277.0,14.0
33,2020-05-04,308.0,31.0
34,2020-05-05,336.0,28.0
35,2020-05-06,371.0,35.0
36,2020-05-07,406.0,35.0
37,2020-05-08,442.0,36.0
38,2020-05-09,465.0,23.0
39,2020-05-10,486.0,21.0
40,2020-05-11,519.0,33.0
41,2020-05-12,566.0,47.0
42,2020-05-13,634.0,68.0
43,2020-05-14,701.0,67.0
44,2020-05-15,783.0,82.0
45,2020-05-16,823.0,40.0
46,2020-05-17,858.0,35.0
47,2020-05-18,954.0,96.0
48,2020-05-19,1019.0,65.0
49,2020-05-20,1094.0,75.0
50,2020-05-21,1198.0,104.0
51,2020-05-22,1296.0,98.0
52,2020-05-23,1351.0,55.0
53,2020-05-24,1401.0,50.0
54,2020-05-25,1548.0,147.0
55,2020-05-26,1680.0,132.0
56,2020-05-27,1808.0,128.0
57,2020-05-28,1950.0,142.0
58,2020-05-29,2079.0,129.0
59,2020-05-30,2151.0,72.0
60,2020-05-31,2223.0,72.0
61,2020-06-01,2379.0,156.0
62,2020-06-02,2525.0,146.0
63,2020-06-03,2645.0,120.0
64,2020-06-04,2759.0,114.0
65,2020-06-05,2888.0,129.0
66,2020-06-06,2960.0,72.0
67,2020-06-07,3035.0,75.0
68,2020-06-08,3175.0,140.0
69,2020-06-09,3309.0,134.0
70,2020-06-10,3420.0,111.0
71,2020-06-11,3520.0,100.0
72,2020-06-12,3631.0,111.0
73,2020-06-13,3699.0,68.0
74,2020-06-14,3765.0,66.0
75,2020-06-15,3860.0,95.0
76,2020-06-16,3957.0,97.0
77,2020-06-17,4065.0,108.0
