,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-26,21.0,4.0
1,2020-03-27,23.0,2.0
2,2020-03-28,25.0,2.0
3,2020-03-29,30.0,5.0
4,2020-03-30,37.0,7.0
5,2020-03-31,44.0,7.0
6,2020-04-01,55.0,11.0
7,2020-04-02,64.0,9.0
8,2020-04-03,70.0,6.0
9,2020-04-04,80.0,10.0
10,2020-04-05,97.0,17.0
11,2020-04-06,113.0,16.0
12,2020-04-07,127.0,14.0
13,2020-04-08,143.0,16.0
14,2020-04-09,159.0,16.0
15,2020-04-10,176.0,17.0
16,2020-04-11,196.0,20.0
17,2020-04-12,213.0,17.0
18,2020-04-13,245.0,32.0
19,2020-04-14,269.0,24.0
20,2020-04-15,299.0,30.0
21,2020-04-16,337.0,38.0
22,2020-04-17,370.0,33.0
23,2020-04-18,404.0,34.0
24,2020-04-19,441.0,37.0
25,2020-04-20,499.0,58.0
26,2020-04-21,554.0,55.0
27,2020-04-22,612.0,58.0
28,2020-04-23,683.0,71.0
29,2020-04-24,750.0,67.0
30,2020-04-25,801.0,51.0
31,2020-04-26,840.0,39.0
32,2020-04-27,914.0,74.0
33,2020-04-28,984.0,70.0
34,2020-04-29,1062.0,78.0
35,2020-04-30,1145.0,83.0
36,2020-05-01,1217.0,72.0
37,2020-05-02,1281.0,64.0
38,2020-05-03,1318.0,37.0
39,2020-05-04,1394.0,76.0
40,2020-05-05,1495.0,101.0
41,2020-05-06,1579.0,84.0
42,2020-05-07,1664.0,85.0
43,2020-05-08,1737.0,73.0
44,2020-05-09,1800.0,63.0
45,2020-05-10,1865.0,65.0
46,2020-05-11,1948.0,83.0
47,2020-05-12,2020.0,72.0
48,2020-05-13,2109.0,89.0
49,2020-05-14,2198.0,89.0
50,2020-05-15,2281.0,83.0
51,2020-05-16,2343.0,62.0
52,2020-05-17,2401.0,58.0
53,2020-05-18,2496.0,95.0
54,2020-05-19,2577.0,81.0
55,2020-05-20,2666.0,89.0
56,2020-05-21,2778.0,112.0
57,2020-05-22,2859.0,81.0
58,2020-05-23,2933.0,74.0
59,2020-05-24,2966.0,33.0
60,2020-05-25,3068.0,102.0
61,2020-05-26,3143.0,75.0
62,2020-05-27,3215.0,72.0
63,2020-05-28,3273.0,58.0
64,2020-05-29,3364.0,91.0
65,2020-05-30,3393.0,29.0
66,2020-05-31,3432.0,39.0
67,2020-06-01,3516.0,84.0
68,2020-06-02,3603.0,87.0
69,2020-06-03,3666.0,63.0
70,2020-06-04,3717.0,51.0
71,2020-06-05,3796.0,79.0
72,2020-06-06,3839.0,43.0
73,2020-06-07,3868.0,29.0
74,2020-06-08,3948.0,80.0
75,2020-06-09,4009.0,61.0
76,2020-06-10,4082.0,73.0
77,2020-06-11,4150.0,68.0
78,2020-06-12,4201.0,51.0
79,2020-06-13,4228.0,27.0
80,2020-06-14,4254.0,26.0
81,2020-06-15,4313.0,59.0
82,2020-06-16,4396.0,83.0
83,2020-06-17,4454.0,58.0
84,2020-06-18,4519.0,65.0
85,2020-06-19,4584.0,65.0
86,2020-06-20,4623.0,39.0
87,2020-06-21,4650.0,27.0
88,2020-06-22,4711.0,61.0
89,2020-06-23,4772.0,61.0
90,2020-06-24,4838.0,66.0
91,2020-06-25,4891.0,53.0
92,2020-06-26,4977.0,86.0
93,2020-06-27,5015.0,38.0
94,2020-06-28,5038.0,23.0
95,2020-06-29,5119.0,81.0
96,2020-06-30,5214.0,95.0
97,2020-07-01,5325.0,111.0
98,2020-07-02,5422.0,97.0
99,2020-07-03,5504.0,82.0
100,2020-07-04,5542.0,38.0
101,2020-07-05,5585.0,43.0
102,2020-07-06,5677.0,92.0
103,2020-07-07,5770.0,93.0
104,2020-07-08,5876.0,106.0
105,2020-07-09,5958.0,82.0
106,2020-07-10,6091.0,133.0
107,2020-07-11,6153.0,62.0
108,2020-07-12,6188.0,35.0
109,2020-07-13,6318.0,130.0
110,2020-07-14,6420.0,102.0
111,2020-07-15,6536.0,116.0
112,2020-07-16,6645.0,109.0
113,2020-07-17,6746.0,101.0
114,2020-07-18,6799.0,53.0
115,2020-07-19,6842.0,43.0
116,2020-07-20,6959.0,117.0
117,2020-07-21,7070.0,111.0
118,2020-07-22,7204.0,134.0
119,2020-07-23,7335.0,131.0
120,2020-07-24,7445.0,110.0
121,2020-07-25,7499.0,54.0
122,2020-07-26,7553.0,54.0
123,2020-07-27,7658.0,105.0
124,2020-07-28,7776.0,118.0
125,2020-07-29,7893.0,117.0
126,2020-07-30,8016.0,123.0
127,2020-07-31,8105.0,89.0
128,2020-08-01,8178.0,73.0
129,2020-08-02,8220.0,42.0
130,2020-08-03,8328.0,108.0
131,2020-08-04,8453.0,125.0
132,2020-08-05,8567.0,114.0
133,2020-08-06,8668.0,101.0
134,2020-08-07,8782.0,114.0
135,2020-08-08,8857.0,75.0
136,2020-08-09,8901.0,44.0
137,2020-08-10,8997.0,96.0
138,2020-08-11,9127.0,130.0
139,2020-08-12,9225.0,98.0
140,2020-08-13,9345.0,120.0
141,2020-08-14,9460.0,115.0
142,2020-08-15,9520.0,60.0
143,2020-08-16,9560.0,40.0
144,2020-08-17,9666.0,106.0
145,2020-08-18,9769.0,103.0
146,2020-08-19,9885.0,116.0
147,2020-08-20,9999.0,114.0
148,2020-08-21,10104.0,105.0
149,2020-08-22,10161.0,57.0
150,2020-08-23,10202.0,41.0
151,2020-08-24,10325.0,123.0
152,2020-08-25,10466.0,141.0
153,2020-08-26,10647.0,181.0
154,2020-08-27,10775.0,128.0
155,2020-08-28,10878.0,103.0
