,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-23,22.0,3.0
1,2020-03-24,28.0,6.0
2,2020-03-25,29.0,1.0
3,2020-03-26,33.0,4.0
4,2020-03-27,38.0,5.0
5,2020-03-28,43.0,5.0
6,2020-03-29,53.0,10.0
7,2020-03-30,73.0,20.0
8,2020-03-31,87.0,14.0
9,2020-04-01,110.0,23.0
10,2020-04-02,133.0,23.0
11,2020-04-03,161.0,28.0
12,2020-04-04,172.0,11.0
13,2020-04-05,176.0,4.0
14,2020-04-06,204.0,28.0
15,2020-04-07,213.0,9.0
16,2020-04-08,232.0,19.0
17,2020-04-09,239.0,7.0
18,2020-04-10,255.0,16.0
19,2020-04-11,264.0,9.0
20,2020-04-12,272.0,8.0
21,2020-04-13,288.0,16.0
22,2020-04-14,306.0,18.0
23,2020-04-15,324.0,18.0
24,2020-04-16,330.0,6.0
25,2020-04-17,343.0,13.0
26,2020-04-18,352.0,9.0
27,2020-04-19,361.0,9.0
28,2020-04-20,370.0,9.0
29,2020-04-21,394.0,24.0
30,2020-04-22,408.0,14.0
31,2020-04-23,419.0,11.0
32,2020-04-24,435.0,16.0
33,2020-04-25,441.0,6.0
34,2020-04-26,446.0,5.0
35,2020-04-27,471.0,25.0
36,2020-04-28,491.0,20.0
37,2020-04-29,505.0,14.0
38,2020-04-30,525.0,20.0
39,2020-05-01,540.0,15.0
40,2020-05-02,545.0,5.0
41,2020-05-03,550.0,5.0
42,2020-05-04,576.0,26.0
43,2020-05-05,608.0,32.0
44,2020-05-06,643.0,35.0
45,2020-05-07,666.0,23.0
46,2020-05-08,686.0,20.0
47,2020-05-09,696.0,10.0
48,2020-05-10,711.0,15.0
49,2020-05-11,741.0,30.0
50,2020-05-12,772.0,31.0
51,2020-05-13,788.0,16.0
52,2020-05-14,821.0,33.0
53,2020-05-15,859.0,38.0
54,2020-05-16,875.0,16.0
55,2020-05-17,887.0,12.0
56,2020-05-18,952.0,65.0
57,2020-05-19,1004.0,52.0
58,2020-05-20,1047.0,43.0
59,2020-05-21,1110.0,63.0
60,2020-05-22,1157.0,47.0
61,2020-05-23,1200.0,43.0
62,2020-05-24,1217.0,17.0
63,2020-05-25,1277.0,60.0
64,2020-05-26,1332.0,55.0
65,2020-05-27,1407.0,75.0
66,2020-05-28,1469.0,62.0
67,2020-05-29,1564.0,95.0
68,2020-05-30,1607.0,43.0
69,2020-05-31,1644.0,37.0
70,2020-06-01,1754.0,110.0
71,2020-06-02,1837.0,83.0
72,2020-06-03,1914.0,77.0
73,2020-06-04,2003.0,89.0
74,2020-06-05,2103.0,100.0
75,2020-06-06,2149.0,46.0
76,2020-06-07,2197.0,48.0
77,2020-06-08,2349.0,152.0
78,2020-06-09,2484.0,135.0
79,2020-06-10,2629.0,145.0
80,2020-06-11,2769.0,140.0
81,2020-06-12,2921.0,152.0
82,2020-06-13,2987.0,66.0
83,2020-06-14,3033.0,46.0
84,2020-06-15,3213.0,180.0
85,2020-06-16,3425.0,212.0
86,2020-06-17,3605.0,180.0
87,2020-06-18,3806.0,201.0
88,2020-06-19,4018.0,212.0
89,2020-06-20,4139.0,121.0
90,2020-06-21,4216.0,77.0
91,2020-06-22,4506.0,290.0
92,2020-06-23,4833.0,327.0
93,2020-06-24,5092.0,259.0
94,2020-06-25,5302.0,210.0
95,2020-06-26,5542.0,240.0
96,2020-06-27,5721.0,179.0
97,2020-06-28,5829.0,108.0
98,2020-06-29,6171.0,342.0
99,2020-06-30,6461.0,290.0
100,2020-07-01,6778.0,317.0
101,2020-07-02,7032.0,254.0
102,2020-07-03,7364.0,332.0
