,Fecha,CasosAcumulados,CasosDiarios
0,2020-04-22,21.0,1.0
1,2020-04-23,24.0,3.0
2,2020-04-24,27.0,3.0
3,2020-04-25,28.0,1.0
4,2020-04-26,28.0,0.0
5,2020-04-27,30.0,2.0
6,2020-04-28,30.0,0.0
7,2020-04-29,30.0,0.0
8,2020-04-30,33.0,3.0
9,2020-05-01,34.0,1.0
10,2020-05-02,34.0,0.0
11,2020-05-03,36.0,2.0
12,2020-05-04,39.0,3.0
13,2020-05-05,43.0,4.0
14,2020-05-06,44.0,1.0
15,2020-05-07,45.0,1.0
16,2020-05-08,47.0,2.0
17,2020-05-09,50.0,3.0
18,2020-05-10,51.0,1.0
19,2020-05-11,53.0,2.0
20,2020-05-12,59.0,6.0
21,2020-05-13,63.0,4.0
22,2020-05-14,75.0,12.0
23,2020-05-15,79.0,4.0
24,2020-05-16,82.0,3.0
25,2020-05-17,87.0,5.0
26,2020-05-18,94.0,7.0
27,2020-05-19,102.0,8.0
28,2020-05-20,111.0,9.0
29,2020-05-21,115.0,4.0
30,2020-05-22,123.0,8.0
31,2020-05-23,127.0,4.0
32,2020-05-24,134.0,7.0
33,2020-05-25,142.0,8.0
34,2020-05-26,149.0,7.0
35,2020-05-27,154.0,5.0
36,2020-05-28,161.0,7.0
37,2020-05-29,169.0,8.0
38,2020-05-30,175.0,6.0
39,2020-05-31,179.0,4.0
40,2020-06-01,190.0,11.0
41,2020-06-02,202.0,12.0
42,2020-06-03,212.0,10.0
43,2020-06-04,220.0,8.0
44,2020-06-05,231.0,11.0
45,2020-06-06,242.0,11.0
46,2020-06-07,246.0,4.0
47,2020-06-08,259.0,13.0
48,2020-06-09,274.0,15.0
49,2020-06-10,286.0,12.0
50,2020-06-11,302.0,16.0
51,2020-06-12,315.0,13.0
52,2020-06-13,326.0,11.0
53,2020-06-14,334.0,8.0
54,2020-06-15,349.0,15.0
55,2020-06-16,373.0,24.0
56,2020-06-17,389.0,16.0
57,2020-06-18,405.0,16.0
58,2020-06-19,433.0,28.0
59,2020-06-20,444.0,11.0
60,2020-06-21,461.0,17.0
61,2020-06-22,482.0,21.0
62,2020-06-23,505.0,23.0
63,2020-06-24,526.0,21.0
64,2020-06-25,551.0,25.0
65,2020-06-26,578.0,27.0
66,2020-06-27,595.0,17.0
67,2020-06-28,606.0,11.0
68,2020-06-29,628.0,22.0
69,2020-06-30,651.0,23.0
70,2020-07-01,686.0,35.0
71,2020-07-02,704.0,18.0
72,2020-07-03,738.0,34.0
73,2020-07-04,751.0,13.0
74,2020-07-05,766.0,15.0
75,2020-07-06,799.0,33.0
76,2020-07-07,835.0,36.0
77,2020-07-08,868.0,33.0
78,2020-07-09,904.0,36.0
79,2020-07-10,964.0,60.0
80,2020-07-11,992.0,28.0
81,2020-07-12,1015.0,23.0
82,2020-07-13,1073.0,58.0
83,2020-07-14,1132.0,59.0
84,2020-07-15,1181.0,49.0
85,2020-07-16,1253.0,72.0
86,2020-07-17,1306.0,53.0
87,2020-07-18,1347.0,41.0
88,2020-07-19,1382.0,35.0
89,2020-07-20,1445.0,63.0
90,2020-07-21,1510.0,65.0
91,2020-07-22,1589.0,79.0
92,2020-07-23,1661.0,72.0
93,2020-07-24,1727.0,66.0
94,2020-07-25,1764.0,37.0
95,2020-07-26,1805.0,41.0
96,2020-07-27,1855.0,50.0
97,2020-07-28,1925.0,70.0
98,2020-07-29,1979.0,54.0
99,2020-07-30,2042.0,63.0
100,2020-07-31,2086.0,44.0
101,2020-08-01,2112.0,26.0
102,2020-08-02,2145.0,33.0
103,2020-08-03,2221.0,76.0
104,2020-08-04,2294.0,73.0
105,2020-08-05,2359.0,65.0
106,2020-08-06,2428.0,69.0
107,2020-08-07,2486.0,58.0
108,2020-08-08,2519.0,33.0
109,2020-08-09,2554.0,35.0
110,2020-08-10,2624.0,70.0
111,2020-08-11,2695.0,71.0
112,2020-08-12,2774.0,79.0
113,2020-08-13,2846.0,72.0
114,2020-08-14,2926.0,80.0
115,2020-08-15,2967.0,41.0
116,2020-08-16,3009.0,42.0
117,2020-08-17,3082.0,73.0
118,2020-08-18,3144.0,62.0
119,2020-08-19,3219.0,75.0
120,2020-08-20,3302.0,83.0
121,2020-08-21,3372.0,70.0
122,2020-08-22,3417.0,45.0
123,2020-08-23,3462.0,45.0
124,2020-08-24,3540.0,78.0
125,2020-08-25,3624.0,84.0
126,2020-08-26,3694.0,70.0
127,2020-08-27,3752.0,58.0
128,2020-08-28,3813.0,61.0
129,2020-08-29,3847.0,34.0
130,2020-08-30,3878.0,31.0
131,2020-08-31,3959.0,81.0
132,2020-09-01,4012.0,53.0
133,2020-09-02,4059.0,47.0
134,2020-09-03,4096.0,37.0
135,2020-09-04,4139.0,43.0
136,2020-09-05,4162.0,23.0
137,2020-09-06,4184.0,22.0
138,2020-09-07,4236.0,52.0
139,2020-09-08,4283.0,47.0
140,2020-09-09,4314.0,31.0
141,2020-09-10,4356.0,42.0
142,2020-09-11,4404.0,48.0
143,2020-09-12,4425.0,21.0
144,2020-09-13,4452.0,27.0
145,2020-09-14,4502.0,50.0
146,2020-09-15,4549.0,47.0
147,2020-09-16,4573.0,24.0
148,2020-09-17,4618.0,45.0
149,2020-09-18,4683.0,65.0
150,2020-09-19,4722.0,39.0
151,2020-09-20,4758.0,36.0
152,2020-09-21,4816.0,58.0
153,2020-09-22,4892.0,76.0
154,2020-09-23,4949.0,57.0
155,2020-09-24,5022.0,73.0
156,2020-09-25,5067.0,45.0
157,2020-09-26,5104.0,37.0
158,2020-09-27,5129.0,25.0
159,2020-09-28,5204.0,75.0
160,2020-09-29,5274.0,70.0
161,2020-09-30,5348.0,74.0
162,2020-10-01,5402.0,54.0
163,2020-10-02,5457.0,55.0
164,2020-10-03,5492.0,35.0
165,2020-10-04,5513.0,21.0
166,2020-10-05,5570.0,57.0
167,2020-10-06,5634.0,64.0
168,2020-10-07,5690.0,56.0
169,2020-10-08,5762.0,72.0
170,2020-10-09,5837.0,75.0
171,2020-10-10,5869.0,32.0
172,2020-10-11,5897.0,28.0
173,2020-10-12,5946.0,49.0
174,2020-10-13,6002.0,56.0
175,2020-10-14,6052.0,50.0
176,2020-10-15,6098.0,46.0
177,2020-10-16,6172.0,74.0
178,2020-10-17,6208.0,36.0
179,2020-10-18,6235.0,27.0
180,2020-10-19,6278.0,43.0
181,2020-10-20,6327.0,49.0
182,2020-10-21,6366.0,39.0
183,2020-10-22,6402.0,36.0
184,2020-10-23,6438.0,36.0
185,2020-10-24,6459.0,21.0
186,2020-10-25,6475.0,16.0
187,2020-10-26,6514.0,39.0
188,2020-10-27,6566.0,52.0
189,2020-10-28,6604.0,38.0
190,2020-10-29,6639.0,35.0
191,2020-10-30,6673.0,34.0
192,2020-10-31,6692.0,19.0
193,2020-11-01,6710.0,18.0
194,2020-11-02,6740.0,30.0
195,2020-11-03,6769.0,29.0
196,2020-11-04,6803.0,34.0
197,2020-11-05,6833.0,30.0
198,2020-11-06,6857.0,24.0
199,2020-11-07,6876.0,19.0
200,2020-11-08,6889.0,13.0
201,2020-11-09,6919.0,30.0
202,2020-11-10,6951.0,32.0
203,2020-11-11,6980.0,29.0
204,2020-11-12,6990.0,10.0
205,2020-11-13,7002.0,12.0
206,2020-11-14,7005.0,3.0
207,2020-11-15,7012.0,7.0
208,2020-11-16,7018.0,6.0
209,2020-11-17,7048.0,30.0
210,2020-11-18,7083.0,35.0
211,2020-11-19,7107.0,24.0
212,2020-11-20,7121.0,14.0
213,2020-11-21,7136.0,15.0
214,2020-11-22,7142.0,6.0
215,2020-11-23,7168.0,26.0
216,2020-11-24,7191.0,23.0
217,2020-11-25,7211.0,20.0
218,2020-11-26,7235.0,24.0
219,2020-11-27,7256.0,21.0
220,2020-11-28,7270.0,14.0
221,2020-11-29,7285.0,15.0
222,2020-11-30,7309.0,24.0
223,2020-12-01,7331.0,22.0
224,2020-12-02,7357.0,26.0
225,2020-12-03,7383.0,26.0
226,2020-12-04,7399.0,16.0
227,2020-12-05,7415.0,16.0
228,2020-12-06,7426.0,11.0
229,2020-12-07,7451.0,25.0
230,2020-12-08,7473.0,22.0
