,Fecha,CasosAcumulados,CasosDiarios
0,2020-04-11,21.0,1.0
1,2020-04-12,21.0,0.0
2,2020-04-13,21.0,0.0
3,2020-04-14,21.0,0.0
4,2020-04-15,24.0,3.0
5,2020-04-16,26.0,2.0
6,2020-04-17,26.0,0.0
7,2020-04-18,28.0,2.0
8,2020-04-19,38.0,10.0
9,2020-04-20,42.0,4.0
10,2020-04-21,46.0,4.0
11,2020-04-22,49.0,3.0
12,2020-04-23,51.0,2.0
13,2020-04-24,53.0,2.0
14,2020-04-25,58.0,5.0
15,2020-04-26,66.0,8.0
16,2020-04-27,71.0,5.0
17,2020-04-28,74.0,3.0
18,2020-04-29,83.0,9.0
19,2020-04-30,85.0,2.0
20,2020-05-01,91.0,6.0
21,2020-05-02,98.0,7.0
22,2020-05-03,105.0,7.0
23,2020-05-04,109.0,4.0
24,2020-05-05,112.0,3.0
25,2020-05-06,117.0,5.0
26,2020-05-07,128.0,11.0
27,2020-05-08,139.0,11.0
28,2020-05-09,141.0,2.0
29,2020-05-10,142.0,1.0
30,2020-05-11,148.0,6.0
31,2020-05-12,160.0,12.0
32,2020-05-13,170.0,10.0
33,2020-05-14,183.0,13.0
34,2020-05-15,201.0,18.0
35,2020-05-16,206.0,5.0
36,2020-05-17,215.0,9.0
37,2020-05-18,233.0,18.0
38,2020-05-19,241.0,8.0
39,2020-05-20,264.0,23.0
40,2020-05-21,285.0,21.0
41,2020-05-22,309.0,24.0
42,2020-05-23,316.0,7.0
43,2020-05-24,332.0,16.0
44,2020-05-25,359.0,27.0
45,2020-05-26,382.0,23.0
46,2020-05-27,410.0,28.0
47,2020-05-28,434.0,24.0
48,2020-05-29,468.0,34.0
49,2020-05-30,506.0,38.0
50,2020-05-31,519.0,13.0
51,2020-06-01,558.0,39.0
52,2020-06-02,599.0,41.0
53,2020-06-03,635.0,36.0
54,2020-06-04,680.0,45.0
55,2020-06-05,765.0,85.0
56,2020-06-06,788.0,23.0
57,2020-06-07,809.0,21.0
58,2020-06-08,880.0,71.0
59,2020-06-09,950.0,70.0
60,2020-06-10,1000.0,50.0
61,2020-06-11,1062.0,62.0
62,2020-06-12,1117.0,55.0
63,2020-06-13,1138.0,21.0
64,2020-06-14,1157.0,19.0
65,2020-06-15,1230.0,73.0
66,2020-06-16,1323.0,93.0
67,2020-06-17,1395.0,72.0
68,2020-06-18,1476.0,81.0
69,2020-06-19,1529.0,53.0
70,2020-06-20,1547.0,18.0
71,2020-06-21,1564.0,17.0
72,2020-06-22,1639.0,75.0
73,2020-06-23,1750.0,111.0
74,2020-06-24,1843.0,93.0
75,2020-06-25,1913.0,70.0
76,2020-06-26,2001.0,88.0
77,2020-06-27,2059.0,58.0
78,2020-06-28,2097.0,38.0
79,2020-06-29,2156.0,59.0
80,2020-06-30,2242.0,86.0
81,2020-07-01,2358.0,116.0
82,2020-07-02,2421.0,63.0
83,2020-07-03,2491.0,70.0
84,2020-07-04,2516.0,25.0
85,2020-07-05,2537.0,21.0
86,2020-07-06,2611.0,74.0
87,2020-07-07,2681.0,70.0
88,2020-07-08,2759.0,78.0
89,2020-07-09,2864.0,105.0
90,2020-07-10,2936.0,72.0
91,2020-07-11,2967.0,31.0
92,2020-07-12,2993.0,26.0
93,2020-07-13,3098.0,105.0
94,2020-07-14,3187.0,89.0
95,2020-07-15,3273.0,86.0
96,2020-07-16,3358.0,85.0
97,2020-07-17,3449.0,91.0
98,2020-07-18,3483.0,34.0
99,2020-07-19,3500.0,17.0
100,2020-07-20,3602.0,102.0
101,2020-07-21,3714.0,112.0
102,2020-07-22,3808.0,94.0
103,2020-07-23,3896.0,88.0
104,2020-07-24,3963.0,67.0
105,2020-07-25,3985.0,22.0
106,2020-07-26,4024.0,39.0
107,2020-07-27,4130.0,106.0
108,2020-07-28,4231.0,101.0
109,2020-07-29,4321.0,90.0
110,2020-07-30,4399.0,78.0
111,2020-07-31,4485.0,86.0
112,2020-08-01,4524.0,39.0
113,2020-08-02,4542.0,18.0
114,2020-08-03,4651.0,109.0
115,2020-08-04,4730.0,79.0
116,2020-08-05,4817.0,87.0
