,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-07,22.0,4.0
1,2020-03-08,24.0,2.0
2,2020-03-09,25.0,1.0
3,2020-03-10,26.0,1.0
4,2020-03-11,30.0,4.0
5,2020-03-12,30.0,0.0
6,2020-03-13,31.0,1.0
7,2020-03-14,31.0,0.0
8,2020-03-15,33.0,2.0
9,2020-03-16,35.0,2.0
10,2020-03-17,41.0,6.0
11,2020-03-18,53.0,12.0
12,2020-03-19,54.0,1.0
13,2020-03-20,59.0,5.0
14,2020-03-21,71.0,12.0
15,2020-03-22,75.0,4.0
16,2020-03-23,82.0,7.0
17,2020-03-24,83.0,1.0
18,2020-03-25,87.0,4.0
19,2020-03-26,96.0,9.0
20,2020-03-27,103.0,7.0
21,2020-03-28,107.0,4.0
22,2020-03-29,108.0,1.0
23,2020-03-30,113.0,5.0
24,2020-03-31,120.0,7.0
25,2020-04-01,121.0,1.0
26,2020-04-02,123.0,2.0
27,2020-04-03,128.0,5.0
28,2020-04-04,131.0,3.0
29,2020-04-05,135.0,4.0
30,2020-04-06,146.0,11.0
31,2020-04-07,152.0,6.0
32,2020-04-08,161.0,9.0
33,2020-04-09,163.0,2.0
34,2020-04-10,166.0,3.0
35,2020-04-11,173.0,7.0
36,2020-04-12,175.0,2.0
37,2020-04-13,178.0,3.0
38,2020-04-14,182.0,4.0
39,2020-04-15,195.0,13.0
40,2020-04-16,209.0,14.0
41,2020-04-17,239.0,30.0
42,2020-04-18,251.0,12.0
43,2020-04-19,261.0,10.0
44,2020-04-20,276.0,15.0
45,2020-04-21,286.0,10.0
46,2020-04-22,299.0,13.0
47,2020-04-23,308.0,9.0
48,2020-04-24,321.0,13.0
49,2020-04-25,332.0,11.0
50,2020-04-26,340.0,8.0
51,2020-04-27,365.0,25.0
52,2020-04-28,383.0,18.0
53,2020-04-29,397.0,14.0
54,2020-04-30,413.0,16.0
55,2020-05-01,427.0,14.0
56,2020-05-02,437.0,10.0
57,2020-05-03,449.0,12.0
58,2020-05-04,482.0,33.0
59,2020-05-05,505.0,23.0
60,2020-05-06,536.0,31.0
61,2020-05-07,573.0,37.0
62,2020-05-08,617.0,44.0
63,2020-05-09,644.0,27.0
64,2020-05-10,667.0,23.0
65,2020-05-11,711.0,44.0
66,2020-05-12,764.0,53.0
67,2020-05-13,805.0,41.0
68,2020-05-14,857.0,52.0
69,2020-05-15,893.0,36.0
70,2020-05-16,927.0,34.0
71,2020-05-17,948.0,21.0
72,2020-05-18,1002.0,54.0
73,2020-05-19,1071.0,69.0
74,2020-05-20,1129.0,58.0
75,2020-05-21,1194.0,65.0
76,2020-05-22,1251.0,57.0
77,2020-05-23,1304.0,53.0
78,2020-05-24,1324.0,20.0
79,2020-05-25,1444.0,120.0
80,2020-05-26,1541.0,97.0
81,2020-05-27,1648.0,107.0
82,2020-05-28,1790.0,142.0
83,2020-05-29,1936.0,146.0
84,2020-05-30,2035.0,99.0
85,2020-05-31,2105.0,70.0
86,2020-06-01,2289.0,184.0
87,2020-06-02,2464.0,175.0
88,2020-06-03,2645.0,181.0
89,2020-06-04,2869.0,224.0
90,2020-06-05,3041.0,172.0
91,2020-06-06,3170.0,129.0
92,2020-06-07,3253.0,83.0
93,2020-06-08,3451.0,198.0
94,2020-06-09,3685.0,234.0
95,2020-06-10,3877.0,192.0
96,2020-06-11,4088.0,211.0
97,2020-06-12,4304.0,216.0
98,2020-06-13,4432.0,128.0
99,2020-06-14,4517.0,85.0
