,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-27,23.0,3.0
1,2020-03-28,26.0,3.0
2,2020-03-29,27.0,1.0
3,2020-03-30,29.0,2.0
4,2020-03-31,34.0,5.0
5,2020-04-01,37.0,3.0
6,2020-04-02,38.0,1.0
7,2020-04-03,39.0,1.0
8,2020-04-04,41.0,2.0
9,2020-04-05,44.0,3.0
10,2020-04-06,52.0,8.0
11,2020-04-07,63.0,11.0
12,2020-04-08,69.0,6.0
13,2020-04-09,76.0,7.0
14,2020-04-10,81.0,5.0
15,2020-04-11,86.0,5.0
16,2020-04-12,98.0,12.0
17,2020-04-13,115.0,17.0
18,2020-04-14,123.0,8.0
19,2020-04-15,128.0,5.0
20,2020-04-16,140.0,12.0
21,2020-04-17,153.0,13.0
22,2020-04-18,162.0,9.0
23,2020-04-19,168.0,6.0
24,2020-04-20,185.0,17.0
25,2020-04-21,191.0,6.0
26,2020-04-22,204.0,13.0
27,2020-04-23,223.0,19.0
28,2020-04-24,248.0,25.0
29,2020-04-25,261.0,13.0
30,2020-04-26,279.0,18.0
31,2020-04-27,305.0,26.0
32,2020-04-28,333.0,28.0
33,2020-04-29,365.0,32.0
34,2020-04-30,384.0,19.0
35,2020-05-01,399.0,15.0
36,2020-05-02,440.0,41.0
37,2020-05-03,470.0,30.0
38,2020-05-04,525.0,55.0
39,2020-05-05,563.0,38.0
40,2020-05-06,615.0,52.0
41,2020-05-07,658.0,43.0
42,2020-05-08,699.0,41.0
43,2020-05-09,740.0,41.0
44,2020-05-10,774.0,34.0
45,2020-05-11,826.0,52.0
46,2020-05-12,892.0,66.0
47,2020-05-13,947.0,55.0
48,2020-05-14,1026.0,79.0
49,2020-05-15,1092.0,66.0
50,2020-05-16,1148.0,56.0
51,2020-05-17,1192.0,44.0
52,2020-05-18,1325.0,133.0
53,2020-05-19,1446.0,121.0
54,2020-05-20,1594.0,148.0
55,2020-05-21,1733.0,139.0
56,2020-05-22,1864.0,131.0
57,2020-05-23,1930.0,66.0
58,2020-05-24,2005.0,75.0
59,2020-05-25,2135.0,130.0
60,2020-05-26,2250.0,115.0
61,2020-05-27,2376.0,126.0
62,2020-05-28,2494.0,118.0
63,2020-05-29,2598.0,104.0
64,2020-05-30,2661.0,63.0
65,2020-05-31,2752.0,91.0
66,2020-06-01,2911.0,159.0
67,2020-06-02,3026.0,115.0
68,2020-06-03,3145.0,119.0
69,2020-06-04,3276.0,131.0
70,2020-06-05,3398.0,122.0
71,2020-06-06,3497.0,99.0
72,2020-06-07,3568.0,71.0
73,2020-06-08,3720.0,152.0
74,2020-06-09,3841.0,121.0
75,2020-06-10,3988.0,147.0
76,2020-06-11,4142.0,154.0
77,2020-06-12,4298.0,156.0
78,2020-06-13,4384.0,86.0
79,2020-06-14,4484.0,100.0
80,2020-06-15,4628.0,144.0
81,2020-06-16,4781.0,153.0
82,2020-06-17,4894.0,113.0
83,2020-06-18,5007.0,113.0
84,2020-06-19,5141.0,134.0
85,2020-06-20,5194.0,53.0
86,2020-06-21,5270.0,76.0
87,2020-06-22,5455.0,185.0
88,2020-06-23,5575.0,120.0
89,2020-06-24,5670.0,95.0
90,2020-06-25,5805.0,135.0
91,2020-06-26,5930.0,125.0
92,2020-06-27,6076.0,146.0
93,2020-06-28,6253.0,177.0
94,2020-06-29,6504.0,251.0
95,2020-06-30,6758.0,254.0
96,2020-07-01,7019.0,261.0
97,2020-07-02,7319.0,300.0
98,2020-07-03,7591.0,272.0
99,2020-07-04,7783.0,192.0
100,2020-07-05,7941.0,158.0
101,2020-07-06,8096.0,155.0
102,2020-07-07,8250.0,154.0
103,2020-07-08,8366.0,116.0
104,2020-07-09,8507.0,141.0
105,2020-07-10,8645.0,138.0
106,2020-07-11,8686.0,41.0
107,2020-07-12,8816.0,130.0
108,2020-07-13,8985.0,169.0
109,2020-07-14,9151.0,166.0
110,2020-07-15,9287.0,136.0
111,2020-07-16,9458.0,171.0
112,2020-07-17,9581.0,123.0
113,2020-07-18,9696.0,115.0
114,2020-07-19,9825.0,129.0
115,2020-07-20,10066.0,241.0
116,2020-07-21,10212.0,146.0
117,2020-07-22,10362.0,150.0
118,2020-07-23,10584.0,222.0
119,2020-07-24,10783.0,199.0
120,2020-07-25,10884.0,101.0
121,2020-07-26,10976.0,92.0
122,2020-07-27,11177.0,201.0
123,2020-07-28,11361.0,184.0
124,2020-07-29,11503.0,142.0
125,2020-07-30,11700.0,197.0
126,2020-07-31,11869.0,169.0
127,2020-08-01,11999.0,130.0
128,2020-08-02,12064.0,65.0
129,2020-08-03,12250.0,186.0
130,2020-08-04,12473.0,223.0
131,2020-08-05,12695.0,222.0
132,2020-08-06,12857.0,162.0
133,2020-08-07,12998.0,141.0
134,2020-08-08,13063.0,65.0
135,2020-08-09,13106.0,43.0
136,2020-08-10,13286.0,180.0
137,2020-08-11,13420.0,134.0
138,2020-08-12,13527.0,107.0
139,2020-08-13,13678.0,151.0
140,2020-08-14,13792.0,114.0
141,2020-08-15,13873.0,81.0
142,2020-08-16,13920.0,47.0
143,2020-08-17,14060.0,140.0
144,2020-08-18,14186.0,126.0
145,2020-08-19,14327.0,141.0
146,2020-08-20,14433.0,106.0
147,2020-08-21,14523.0,90.0
148,2020-08-22,14588.0,65.0
149,2020-08-23,14649.0,61.0
150,2020-08-24,14773.0,124.0
151,2020-08-25,14918.0,145.0
152,2020-08-26,15019.0,101.0
153,2020-08-27,15141.0,122.0
154,2020-08-28,15273.0,132.0
155,2020-08-29,15315.0,42.0
156,2020-08-30,15356.0,41.0
157,2020-08-31,15503.0,147.0
158,2020-09-01,15661.0,158.0
159,2020-09-02,15835.0,174.0
160,2020-09-03,15989.0,154.0
161,2020-09-04,16154.0,165.0
162,2020-09-05,16216.0,62.0
163,2020-09-06,16297.0,81.0
164,2020-09-07,16527.0,230.0
165,2020-09-08,16708.0,181.0
166,2020-09-09,16870.0,162.0
167,2020-09-10,17029.0,159.0
168,2020-09-11,17213.0,184.0
169,2020-09-12,17301.0,88.0
170,2020-09-13,17378.0,77.0
171,2020-09-14,17583.0,205.0
172,2020-09-15,17776.0,193.0
173,2020-09-16,17845.0,69.0
174,2020-09-17,18035.0,190.0
175,2020-09-18,18193.0,158.0
176,2020-09-19,18281.0,88.0
177,2020-09-20,18330.0,49.0
178,2020-09-21,18521.0,191.0
179,2020-09-22,18717.0,196.0
180,2020-09-23,18926.0,209.0
181,2020-09-24,19082.0,156.0
182,2020-09-25,19207.0,125.0
183,2020-09-26,19271.0,64.0
184,2020-09-27,19334.0,63.0
185,2020-09-28,19510.0,176.0
186,2020-09-29,19704.0,194.0
187,2020-09-30,19871.0,167.0
188,2020-10-01,19986.0,115.0
189,2020-10-02,20103.0,117.0
190,2020-10-03,20160.0,57.0
191,2020-10-04,20215.0,55.0
192,2020-10-05,20391.0,176.0
193,2020-10-06,20524.0,133.0
194,2020-10-07,20675.0,151.0
195,2020-10-08,20801.0,126.0
196,2020-10-09,20903.0,102.0
197,2020-10-10,20954.0,51.0
198,2020-10-11,20992.0,38.0
199,2020-10-12,21126.0,134.0
200,2020-10-13,21234.0,108.0
201,2020-10-14,21371.0,137.0
202,2020-10-15,21484.0,113.0
203,2020-10-16,21563.0,79.0
204,2020-10-17,21590.0,27.0
205,2020-10-18,21616.0,26.0
206,2020-10-19,21733.0,117.0
207,2020-10-20,21827.0,94.0
208,2020-10-21,21915.0,88.0
209,2020-10-22,22009.0,94.0
210,2020-10-23,22069.0,60.0
211,2020-10-24,22099.0,30.0
212,2020-10-25,22135.0,36.0
213,2020-10-26,22225.0,90.0
214,2020-10-27,22286.0,61.0
215,2020-10-28,22333.0,47.0
216,2020-10-29,22404.0,71.0
217,2020-10-30,22463.0,59.0
218,2020-10-31,22493.0,30.0
219,2020-11-01,22512.0,19.0
220,2020-11-02,22542.0,30.0
221,2020-11-03,22629.0,87.0
222,2020-11-04,22685.0,56.0
223,2020-11-05,22753.0,68.0
224,2020-11-06,22801.0,48.0
225,2020-11-07,22832.0,31.0
226,2020-11-08,22854.0,22.0
227,2020-11-09,22934.0,80.0
228,2020-11-10,22996.0,62.0
229,2020-11-11,23067.0,71.0
230,2020-11-12,23135.0,68.0
231,2020-11-13,23180.0,45.0
232,2020-11-14,23205.0,25.0
233,2020-11-15,23221.0,16.0
234,2020-11-16,23255.0,34.0
235,2020-11-17,23323.0,68.0
236,2020-11-18,23387.0,64.0
237,2020-11-19,23436.0,49.0
238,2020-11-20,23498.0,62.0
239,2020-11-21,23529.0,31.0
240,2020-11-22,23551.0,22.0
241,2020-11-23,23664.0,113.0
242,2020-11-24,23751.0,87.0
243,2020-11-25,23814.0,63.0
244,2020-11-26,23880.0,66.0
245,2020-11-27,23991.0,111.0
246,2020-11-28,24017.0,26.0
247,2020-11-29,24041.0,24.0
248,2020-11-30,24119.0,78.0
249,2020-12-01,24202.0,83.0
250,2020-12-02,24272.0,70.0
251,2020-12-03,24342.0,70.0
252,2020-12-04,24396.0,54.0
253,2020-12-05,24444.0,48.0
254,2020-12-06,24483.0,39.0
255,2020-12-07,24593.0,110.0
256,2020-12-08,24680.0,87.0
257,2020-12-09,24760.0,80.0
258,2020-12-10,24854.0,94.0
259,2020-12-11,24936.0,82.0
260,2020-12-12,24992.0,56.0
261,2020-12-13,25044.0,52.0
262,2020-12-14,25193.0,149.0
263,2020-12-15,25305.0,112.0
264,2020-12-16,25408.0,103.0
265,2020-12-17,25523.0,115.0
266,2020-12-18,25616.0,93.0
267,2020-12-19,25639.0,23.0
268,2020-12-20,25671.0,32.0
269,2020-12-21,25778.0,107.0
270,2020-12-22,25868.0,90.0
271,2020-12-23,25958.0,90.0
272,2020-12-24,26043.0,85.0
273,2020-12-25,26063.0,20.0
274,2020-12-26,26107.0,44.0
275,2020-12-27,26138.0,31.0
276,2020-12-28,26335.0,197.0
277,2020-12-29,26487.0,152.0
278,2020-12-30,26603.0,116.0
279,2020-12-31,26717.0,114.0
280,2021-01-01,26757.0,40.0
281,2021-01-02,26803.0,46.0
282,2021-01-03,26863.0,60.0
283,2021-01-04,27046.0,183.0
284,2021-01-05,27234.0,188.0
285,2021-01-06,27422.0,188.0
286,2021-01-07,27609.0,187.0
287,2021-01-08,27813.0,204.0
288,2021-01-09,27913.0,100.0
289,2021-01-10,28002.0,89.0
290,2021-01-11,28363.0,361.0
291,2021-01-12,28687.0,324.0
292,2021-01-13,28921.0,234.0
293,2021-01-14,29180.0,259.0
294,2021-01-15,29428.0,248.0
295,2021-01-16,29521.0,93.0
296,2021-01-17,29609.0,88.0
297,2021-01-18,29907.0,298.0
298,2021-01-19,30221.0,314.0
299,2021-01-20,30515.0,294.0
300,2021-01-21,30781.0,266.0
301,2021-01-22,30986.0,205.0
302,2021-01-23,31073.0,87.0
303,2021-01-24,31147.0,74.0
304,2021-01-25,31463.0,316.0
305,2021-01-26,31689.0,226.0
306,2021-01-27,31922.0,233.0
307,2021-01-28,32187.0,265.0
308,2021-01-29,32414.0,227.0
309,2021-01-30,32484.0,70.0
310,2021-01-31,32572.0,88.0
311,2021-02-01,32648.0,76.0
312,2021-02-02,32916.0,268.0
313,2021-02-03,33083.0,167.0
314,2021-02-04,33311.0,228.0
315,2021-02-05,33490.0,179.0
316,2021-02-06,33559.0,69.0
317,2021-02-07,33603.0,44.0
318,2021-02-08,33781.0,178.0
319,2021-02-09,33916.0,135.0
320,2021-02-10,34042.0,126.0
321,2021-02-11,34194.0,152.0
322,2021-02-12,34312.0,118.0
323,2021-02-13,34344.0,32.0
324,2021-02-14,34384.0,40.0
325,2021-02-15,34524.0,140.0
326,2021-02-16,34658.0,134.0
327,2021-02-17,34756.0,98.0
328,2021-02-18,34853.0,97.0
329,2021-02-19,34942.0,89.0
330,2021-02-20,34982.0,40.0
331,2021-02-21,35018.0,36.0
332,2021-02-22,35148.0,130.0
333,2021-02-23,35249.0,101.0
334,2021-02-24,35346.0,97.0
335,2021-02-25,35448.0,102.0
336,2021-02-26,35550.0,102.0
337,2021-02-27,35587.0,37.0
338,2021-02-28,35629.0,42.0
339,2021-03-01,35755.0,126.0
340,2021-03-02,35871.0,116.0
341,2021-03-03,35979.0,108.0
342,2021-03-04,36085.0,106.0
343,2021-03-05,36179.0,94.0
344,2021-03-06,36224.0,45.0
345,2021-03-07,36264.0,40.0
346,2021-03-08,36387.0,123.0
347,2021-03-09,36491.0,104.0
348,2021-03-10,36561.0,70.0
349,2021-03-11,36643.0,82.0
350,2021-03-12,36730.0,87.0
351,2021-03-13,36767.0,37.0
352,2021-03-14,36794.0,27.0
353,2021-03-15,36837.0,43.0
354,2021-03-16,36921.0,84.0
355,2021-03-17,37016.0,95.0
356,2021-03-18,37110.0,94.0
357,2021-03-19,37195.0,85.0
358,2021-03-20,37223.0,28.0
359,2021-03-21,37258.0,35.0
360,2021-03-22,37348.0,90.0
361,2021-03-23,37438.0,90.0
362,2021-03-24,37532.0,94.0
363,2021-03-25,37601.0,69.0
364,2021-03-26,37659.0,58.0
365,2021-03-27,37683.0,24.0
366,2021-03-28,37714.0,31.0
367,2021-03-29,37807.0,93.0
368,2021-03-30,37898.0,91.0
369,2021-03-31,37974.0,76.0
370,2021-04-01,38023.0,49.0
371,2021-04-02,38082.0,59.0
372,2021-04-03,38112.0,30.0
373,2021-04-04,38138.0,26.0
374,2021-04-05,38245.0,107.0
375,2021-04-06,38338.0,93.0
376,2021-04-07,38399.0,61.0
377,2021-04-08,38488.0,89.0
378,2021-04-09,38591.0,103.0
379,2021-04-10,38622.0,31.0
380,2021-04-11,38646.0,24.0
381,2021-04-12,38758.0,112.0
382,2021-04-13,38863.0,105.0
383,2021-04-14,38939.0,76.0
384,2021-04-15,39018.0,79.0
385,2021-04-16,39095.0,77.0
386,2021-04-17,39113.0,18.0
387,2021-04-18,39148.0,35.0
388,2021-04-19,39223.0,75.0
389,2021-04-20,39298.0,75.0
390,2021-04-21,39356.0,58.0
391,2021-04-22,39436.0,80.0
392,2021-04-23,39506.0,70.0
393,2021-04-24,39537.0,31.0
394,2021-04-25,39555.0,18.0
395,2021-04-26,39636.0,81.0
396,2021-04-27,39702.0,66.0
397,2021-04-28,39773.0,71.0
398,2021-04-29,39848.0,75.0
399,2021-04-30,39906.0,58.0
400,2021-05-01,39939.0,33.0
401,2021-05-02,39961.0,22.0
402,2021-05-03,40046.0,85.0
403,2021-05-04,40130.0,84.0
404,2021-05-05,40202.0,72.0
405,2021-05-06,40299.0,97.0
406,2021-05-07,40354.0,55.0
407,2021-05-08,40387.0,33.0
408,2021-05-09,40407.0,20.0
409,2021-05-10,40468.0,61.0
410,2021-05-11,40561.0,93.0
411,2021-05-12,40638.0,77.0
412,2021-05-13,40677.0,39.0
413,2021-05-14,40722.0,45.0
414,2021-05-15,40739.0,17.0
415,2021-05-16,40751.0,12.0
416,2021-05-17,40790.0,39.0
417,2021-05-18,40836.0,46.0
418,2021-05-19,40897.0,61.0
419,2021-05-20,40945.0,48.0
420,2021-05-21,40999.0,54.0
421,2021-05-22,41005.0,6.0
422,2021-05-23,41018.0,13.0
423,2021-05-24,41075.0,57.0
424,2021-05-25,41124.0,49.0
425,2021-05-26,41169.0,45.0
426,2021-05-27,41215.0,46.0
427,2021-05-28,41246.0,31.0
428,2021-05-29,41251.0,5.0
429,2021-05-30,41257.0,6.0
430,2021-05-31,41294.0,37.0
431,2021-06-01,41327.0,33.0
432,2021-06-02,41354.0,27.0
433,2021-06-03,41372.0,18.0
434,2021-06-04,41388.0,16.0
435,2021-06-05,41404.0,16.0
436,2021-06-06,41419.0,15.0
437,2021-06-07,41448.0,29.0
438,2021-06-08,41479.0,31.0
439,2021-06-09,41500.0,21.0
440,2021-06-10,41523.0,23.0
441,2021-06-11,41548.0,25.0
442,2021-06-12,41562.0,14.0
443,2021-06-13,41571.0,9.0
444,2021-06-14,41596.0,25.0
445,2021-06-15,41614.0,18.0
446,2021-06-16,41637.0,23.0
447,2021-06-17,41662.0,25.0
448,2021-06-18,41677.0,15.0
