,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-26,21.0,4.0
1,2020-03-27,25.0,4.0
2,2020-03-28,25.0,0.0
3,2020-03-29,27.0,2.0
4,2020-03-30,34.0,7.0
5,2020-03-31,41.0,7.0
6,2020-04-01,46.0,5.0
7,2020-04-02,47.0,1.0
8,2020-04-03,50.0,3.0
9,2020-04-04,52.0,2.0
10,2020-04-05,54.0,2.0
11,2020-04-06,58.0,4.0
12,2020-04-07,61.0,3.0
13,2020-04-08,62.0,1.0
14,2020-04-09,62.0,0.0
15,2020-04-10,69.0,7.0
16,2020-04-11,72.0,3.0
17,2020-04-12,77.0,5.0
18,2020-04-13,85.0,8.0
19,2020-04-14,94.0,9.0
20,2020-04-15,100.0,6.0
21,2020-04-16,106.0,6.0
22,2020-04-17,116.0,10.0
23,2020-04-18,122.0,6.0
24,2020-04-19,136.0,14.0
25,2020-04-20,156.0,20.0
26,2020-04-21,169.0,13.0
27,2020-04-22,185.0,16.0
28,2020-04-23,205.0,20.0
29,2020-04-24,225.0,20.0
30,2020-04-25,248.0,23.0
31,2020-04-26,268.0,20.0
32,2020-04-27,293.0,25.0
33,2020-04-28,321.0,28.0
34,2020-04-29,350.0,29.0
35,2020-04-30,381.0,31.0
36,2020-05-01,407.0,26.0
37,2020-05-02,430.0,23.0
38,2020-05-03,457.0,27.0
39,2020-05-04,495.0,38.0
40,2020-05-05,525.0,30.0
41,2020-05-06,566.0,41.0
42,2020-05-07,605.0,39.0
43,2020-05-08,642.0,37.0
44,2020-05-09,669.0,27.0
45,2020-05-10,697.0,28.0
46,2020-05-11,749.0,52.0
47,2020-05-12,807.0,58.0
48,2020-05-13,854.0,47.0
49,2020-05-14,921.0,67.0
50,2020-05-15,1003.0,82.0
51,2020-05-16,1058.0,55.0
52,2020-05-17,1085.0,27.0
53,2020-05-18,1166.0,81.0
54,2020-05-19,1236.0,70.0
55,2020-05-20,1314.0,78.0
56,2020-05-21,1410.0,96.0
57,2020-05-22,1491.0,81.0
58,2020-05-23,1544.0,53.0
59,2020-05-24,1584.0,40.0
60,2020-05-25,1676.0,92.0
61,2020-05-26,1748.0,72.0
62,2020-05-27,1831.0,83.0
63,2020-05-28,1924.0,93.0
64,2020-05-29,1998.0,74.0
65,2020-05-30,2045.0,47.0
66,2020-05-31,2087.0,42.0
67,2020-06-01,2182.0,95.0
68,2020-06-02,2262.0,80.0
69,2020-06-03,2328.0,66.0
70,2020-06-04,2396.0,68.0
