,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-16,26.0,12.0
1,2020-03-17,32.0,6.0
2,2020-03-18,49.0,17.0
3,2020-03-19,60.0,11.0
4,2020-03-20,65.0,5.0
5,2020-03-21,66.0,1.0
6,2020-03-22,69.0,3.0
7,2020-03-23,78.0,9.0
8,2020-03-24,86.0,8.0
9,2020-03-25,93.0,7.0
10,2020-03-26,100.0,7.0
11,2020-03-27,107.0,7.0
12,2020-03-28,109.0,2.0
13,2020-03-29,111.0,2.0
14,2020-03-30,119.0,8.0
15,2020-03-31,126.0,7.0
16,2020-04-01,129.0,3.0
17,2020-04-02,137.0,8.0
18,2020-04-03,147.0,10.0
19,2020-04-04,149.0,2.0
20,2020-04-05,151.0,2.0
21,2020-04-06,155.0,4.0
22,2020-04-07,161.0,6.0
23,2020-04-08,170.0,9.0
24,2020-04-09,175.0,5.0
25,2020-04-10,183.0,8.0
26,2020-04-11,188.0,5.0
27,2020-04-12,193.0,5.0
28,2020-04-13,203.0,10.0
29,2020-04-14,207.0,4.0
30,2020-04-15,218.0,11.0
31,2020-04-16,229.0,11.0
32,2020-04-17,243.0,14.0
33,2020-04-18,250.0,7.0
34,2020-04-19,255.0,5.0
35,2020-04-20,266.0,11.0
36,2020-04-21,283.0,17.0
37,2020-04-22,308.0,25.0
38,2020-04-23,328.0,20.0
39,2020-04-24,360.0,32.0
40,2020-04-25,370.0,10.0
41,2020-04-26,379.0,9.0
42,2020-04-27,402.0,23.0
43,2020-04-28,416.0,14.0
44,2020-04-29,438.0,22.0
45,2020-04-30,464.0,26.0
46,2020-05-01,479.0,15.0
47,2020-05-02,508.0,29.0
48,2020-05-03,524.0,16.0
49,2020-05-04,555.0,31.0
50,2020-05-05,578.0,23.0
51,2020-05-06,602.0,24.0
52,2020-05-07,653.0,51.0
53,2020-05-08,677.0,24.0
54,2020-05-09,705.0,28.0
55,2020-05-10,727.0,22.0
56,2020-05-11,779.0,52.0
57,2020-05-12,819.0,40.0
58,2020-05-13,849.0,30.0
59,2020-05-14,905.0,56.0
60,2020-05-15,973.0,68.0
61,2020-05-16,993.0,20.0
62,2020-05-17,1025.0,32.0
63,2020-05-18,1085.0,60.0
64,2020-05-19,1164.0,79.0
65,2020-05-20,1228.0,64.0
66,2020-05-21,1293.0,65.0
67,2020-05-22,1369.0,76.0
68,2020-05-23,1414.0,45.0
69,2020-05-24,1451.0,37.0
70,2020-05-25,1550.0,99.0
71,2020-05-26,1682.0,132.0
72,2020-05-27,1830.0,148.0
73,2020-05-28,1962.0,132.0
74,2020-05-29,2125.0,163.0
75,2020-05-30,2257.0,132.0
76,2020-05-31,2344.0,87.0
77,2020-06-01,2582.0,238.0
