,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-26,21.0,3.0
1,2020-03-27,22.0,1.0
2,2020-03-28,23.0,1.0
3,2020-03-29,26.0,3.0
4,2020-03-30,26.0,0.0
5,2020-03-31,30.0,4.0
6,2020-04-01,35.0,5.0
7,2020-04-02,36.0,1.0
8,2020-04-03,42.0,6.0
9,2020-04-04,44.0,2.0
10,2020-04-05,46.0,2.0
11,2020-04-06,52.0,6.0
12,2020-04-07,58.0,6.0
13,2020-04-08,62.0,4.0
14,2020-04-09,71.0,9.0
15,2020-04-10,74.0,3.0
16,2020-04-11,76.0,2.0
17,2020-04-12,80.0,4.0
18,2020-04-13,93.0,13.0
19,2020-04-14,110.0,17.0
20,2020-04-15,119.0,9.0
21,2020-04-16,127.0,8.0
22,2020-04-17,144.0,17.0
23,2020-04-18,151.0,7.0
24,2020-04-19,160.0,9.0
25,2020-04-20,188.0,28.0
26,2020-04-21,201.0,13.0
27,2020-04-22,214.0,13.0
28,2020-04-23,233.0,19.0
29,2020-04-24,257.0,24.0
30,2020-04-25,284.0,27.0
31,2020-04-26,304.0,20.0
32,2020-04-27,336.0,32.0
33,2020-04-28,366.0,30.0
34,2020-04-29,389.0,23.0
35,2020-04-30,415.0,26.0
36,2020-05-01,439.0,24.0
37,2020-05-02,455.0,16.0
38,2020-05-03,482.0,27.0
39,2020-05-04,525.0,43.0
40,2020-05-05,546.0,21.0
41,2020-05-06,582.0,36.0
42,2020-05-07,612.0,30.0
43,2020-05-08,656.0,44.0
44,2020-05-09,701.0,45.0
45,2020-05-10,726.0,25.0
46,2020-05-11,795.0,69.0
47,2020-05-12,854.0,59.0
48,2020-05-13,954.0,100.0
49,2020-05-14,1031.0,77.0
50,2020-05-15,1134.0,103.0
51,2020-05-16,1177.0,43.0
52,2020-05-17,1204.0,27.0
53,2020-05-18,1271.0,67.0
54,2020-05-19,1338.0,67.0
55,2020-05-20,1440.0,102.0
56,2020-05-21,1519.0,79.0
57,2020-05-22,1615.0,96.0
58,2020-05-23,1637.0,22.0
59,2020-05-24,1672.0,35.0
60,2020-05-25,1791.0,119.0
61,2020-05-26,1893.0,102.0
62,2020-05-27,1983.0,90.0
63,2020-05-28,2096.0,113.0
64,2020-05-29,2223.0,127.0
65,2020-05-30,2270.0,47.0
66,2020-05-31,2316.0,46.0
67,2020-06-01,2485.0,169.0
68,2020-06-02,2611.0,126.0
69,2020-06-03,2760.0,149.0
70,2020-06-04,2908.0,148.0
71,2020-06-05,3041.0,133.0
72,2020-06-06,3115.0,74.0
73,2020-06-07,3157.0,42.0
74,2020-06-08,3346.0,189.0
75,2020-06-09,3543.0,197.0
76,2020-06-10,3697.0,154.0
77,2020-06-11,3870.0,173.0
78,2020-06-12,4069.0,199.0
79,2020-06-13,4148.0,79.0
80,2020-06-14,4197.0,49.0
81,2020-06-15,4400.0,203.0
82,2020-06-16,4598.0,198.0
83,2020-06-17,4798.0,200.0
84,2020-06-18,4962.0,164.0
85,2020-06-19,5205.0,243.0
86,2020-06-20,5328.0,123.0
87,2020-06-21,5378.0,50.0
88,2020-06-22,5597.0,219.0
89,2020-06-23,5794.0,197.0
90,2020-06-24,5965.0,171.0
91,2020-06-25,6120.0,155.0
92,2020-06-26,6224.0,104.0
93,2020-06-27,6295.0,71.0
94,2020-06-28,6326.0,31.0
95,2020-06-29,6499.0,173.0
96,2020-06-30,6668.0,169.0
97,2020-07-01,6788.0,120.0
98,2020-07-02,6910.0,122.0
99,2020-07-03,7039.0,129.0
100,2020-07-04,7082.0,43.0
101,2020-07-05,7115.0,33.0
102,2020-07-06,7256.0,141.0
103,2020-07-07,7390.0,134.0
104,2020-07-08,7514.0,124.0
105,2020-07-09,7631.0,117.0
106,2020-07-10,7749.0,118.0
107,2020-07-11,7823.0,74.0
108,2020-07-12,7870.0,47.0
109,2020-07-13,8019.0,149.0
110,2020-07-14,8164.0,145.0
111,2020-07-15,8302.0,138.0
112,2020-07-16,8430.0,128.0
113,2020-07-17,8593.0,163.0
114,2020-07-18,8682.0,89.0
115,2020-07-19,8734.0,52.0
116,2020-07-20,8925.0,191.0
117,2020-07-21,9102.0,177.0
118,2020-07-22,9270.0,168.0
119,2020-07-23,9474.0,204.0
120,2020-07-24,9661.0,187.0
121,2020-07-25,9743.0,82.0
122,2020-07-26,9813.0,70.0
123,2020-07-27,10024.0,211.0
124,2020-07-28,10265.0,241.0
125,2020-07-29,10477.0,212.0
126,2020-07-30,10660.0,183.0
127,2020-07-31,10844.0,184.0
128,2020-08-01,10929.0,85.0
129,2020-08-02,10984.0,55.0
130,2020-08-03,11189.0,205.0
131,2020-08-04,11381.0,192.0
132,2020-08-05,11580.0,199.0
133,2020-08-06,11783.0,203.0
134,2020-08-07,11995.0,212.0
135,2020-08-08,12091.0,96.0
136,2020-08-09,12162.0,71.0
137,2020-08-10,12427.0,265.0
138,2020-08-11,12690.0,263.0
139,2020-08-12,12908.0,218.0
140,2020-08-13,13077.0,169.0
141,2020-08-14,13293.0,216.0
142,2020-08-15,13386.0,93.0
143,2020-08-16,13455.0,69.0
144,2020-08-17,13746.0,291.0
145,2020-08-18,13995.0,249.0
146,2020-08-19,14225.0,230.0
147,2020-08-20,14473.0,248.0
148,2020-08-21,14687.0,214.0
149,2020-08-22,14772.0,85.0
150,2020-08-23,14843.0,71.0
151,2020-08-24,15144.0,301.0
152,2020-08-25,15387.0,243.0
153,2020-08-26,15625.0,238.0
154,2020-08-27,15846.0,221.0
155,2020-08-28,16080.0,234.0
156,2020-08-29,16171.0,91.0
157,2020-08-30,16255.0,84.0
158,2020-08-31,16561.0,306.0
159,2020-09-01,16868.0,307.0
160,2020-09-02,17116.0,248.0
161,2020-09-03,17383.0,267.0
162,2020-09-04,17598.0,215.0
163,2020-09-05,17704.0,106.0
164,2020-09-06,17791.0,87.0
165,2020-09-07,18050.0,259.0
166,2020-09-08,18304.0,254.0
167,2020-09-09,18543.0,239.0
168,2020-09-10,18804.0,261.0
169,2020-09-11,18987.0,183.0
170,2020-09-12,19064.0,77.0
171,2020-09-13,19137.0,73.0
172,2020-09-14,19386.0,249.0
173,2020-09-15,19601.0,215.0
174,2020-09-16,19691.0,90.0
175,2020-09-17,19926.0,235.0
176,2020-09-18,20103.0,177.0
177,2020-09-19,20183.0,80.0
178,2020-09-20,20238.0,55.0
179,2020-09-21,20473.0,235.0
180,2020-09-22,20679.0,206.0
181,2020-09-23,20896.0,217.0
182,2020-09-24,21083.0,187.0
183,2020-09-25,21272.0,189.0
184,2020-09-26,21347.0,75.0
185,2020-09-27,21406.0,59.0
186,2020-09-28,21637.0,231.0
187,2020-09-29,21850.0,213.0
188,2020-09-30,21998.0,148.0
189,2020-10-01,22159.0,161.0
190,2020-10-02,22302.0,143.0
191,2020-10-03,22389.0,87.0
192,2020-10-04,22429.0,40.0
193,2020-10-05,22595.0,166.0
194,2020-10-06,22772.0,177.0
195,2020-10-07,22920.0,148.0
196,2020-10-08,23052.0,132.0
197,2020-10-09,23171.0,119.0
198,2020-10-10,23244.0,73.0
199,2020-10-11,23293.0,49.0
200,2020-10-12,23510.0,217.0
201,2020-10-13,23695.0,185.0
202,2020-10-14,23831.0,136.0
203,2020-10-15,23975.0,144.0
204,2020-10-16,24133.0,158.0
205,2020-10-17,24192.0,59.0
206,2020-10-18,24237.0,45.0
207,2020-10-19,24420.0,183.0
208,2020-10-20,24636.0,216.0
209,2020-10-21,24780.0,144.0
210,2020-10-22,24926.0,146.0
211,2020-10-23,25035.0,109.0
212,2020-10-24,25089.0,54.0
213,2020-10-25,25137.0,48.0
214,2020-10-26,25301.0,164.0
215,2020-10-27,25463.0,162.0
216,2020-10-28,25611.0,148.0
217,2020-10-29,25752.0,141.0
218,2020-10-30,25873.0,121.0
219,2020-10-31,25918.0,45.0
220,2020-11-01,25956.0,38.0
221,2020-11-02,26057.0,101.0
222,2020-11-03,26201.0,144.0
223,2020-11-04,26365.0,164.0
224,2020-11-05,26501.0,136.0
225,2020-11-06,26609.0,108.0
226,2020-11-07,26655.0,46.0
227,2020-11-08,26707.0,52.0
228,2020-11-09,26862.0,155.0
229,2020-11-10,27028.0,166.0
230,2020-11-11,27158.0,130.0
231,2020-11-12,27300.0,142.0
232,2020-11-13,27433.0,133.0
233,2020-11-14,27480.0,47.0
234,2020-11-15,27513.0,33.0
235,2020-11-16,27581.0,68.0
236,2020-11-17,27766.0,185.0
237,2020-11-18,27911.0,145.0
238,2020-11-19,28056.0,145.0
239,2020-11-20,28158.0,102.0
240,2020-11-21,28214.0,56.0
241,2020-11-22,28264.0,50.0
242,2020-11-23,28403.0,139.0
243,2020-11-24,28582.0,179.0
244,2020-11-25,28733.0,151.0
245,2020-11-26,28891.0,158.0
246,2020-11-27,29035.0,144.0
247,2020-11-28,29107.0,72.0
248,2020-11-29,29156.0,49.0
249,2020-11-30,29333.0,177.0
250,2020-12-01,29524.0,191.0
251,2020-12-02,29717.0,193.0
252,2020-12-03,29853.0,136.0
253,2020-12-04,30000.0,147.0
254,2020-12-05,30048.0,48.0
255,2020-12-06,30099.0,51.0
256,2020-12-07,30288.0,189.0
257,2020-12-08,30464.0,176.0
258,2020-12-09,30611.0,147.0
259,2020-12-10,30782.0,171.0
260,2020-12-11,30956.0,174.0
261,2020-12-12,31030.0,74.0
262,2020-12-13,31081.0,51.0
263,2020-12-14,31314.0,233.0
264,2020-12-15,31551.0,237.0
