,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-30,21.0,3.0
1,2020-03-31,22.0,1.0
2,2020-04-01,25.0,3.0
3,2020-04-02,34.0,9.0
4,2020-04-03,35.0,1.0
5,2020-04-04,39.0,4.0
6,2020-04-05,42.0,3.0
7,2020-04-06,51.0,9.0
8,2020-04-07,58.0,7.0
9,2020-04-08,69.0,11.0
10,2020-04-09,77.0,8.0
11,2020-04-10,82.0,5.0
12,2020-04-11,84.0,2.0
13,2020-04-12,88.0,4.0
14,2020-04-13,97.0,9.0
15,2020-04-14,111.0,14.0
16,2020-04-15,122.0,11.0
17,2020-04-16,131.0,9.0
18,2020-04-17,144.0,13.0
19,2020-04-18,153.0,9.0
20,2020-04-19,171.0,18.0
21,2020-04-20,205.0,34.0
22,2020-04-21,227.0,22.0
23,2020-04-22,262.0,35.0
24,2020-04-23,293.0,31.0
25,2020-04-24,330.0,37.0
26,2020-04-25,345.0,15.0
27,2020-04-26,380.0,35.0
28,2020-04-27,431.0,51.0
29,2020-04-28,463.0,32.0
30,2020-04-29,515.0,52.0
31,2020-04-30,558.0,43.0
32,2020-05-01,594.0,36.0
33,2020-05-02,623.0,29.0
34,2020-05-03,673.0,50.0
35,2020-05-04,733.0,60.0
36,2020-05-05,787.0,54.0
37,2020-05-06,845.0,58.0
38,2020-05-07,895.0,50.0
39,2020-05-08,947.0,52.0
40,2020-05-09,977.0,30.0
41,2020-05-10,1014.0,37.0
42,2020-05-11,1087.0,73.0
43,2020-05-12,1147.0,60.0
44,2020-05-13,1211.0,64.0
45,2020-05-14,1259.0,48.0
46,2020-05-15,1316.0,57.0
47,2020-05-16,1345.0,29.0
48,2020-05-17,1372.0,27.0
49,2020-05-18,1427.0,55.0
50,2020-05-19,1486.0,59.0
51,2020-05-20,1541.0,55.0
52,2020-05-21,1600.0,59.0
53,2020-05-22,1672.0,72.0
54,2020-05-23,1706.0,34.0
55,2020-05-24,1730.0,24.0
56,2020-05-25,1811.0,81.0
57,2020-05-26,1893.0,82.0
58,2020-05-27,1945.0,52.0
59,2020-05-28,2007.0,62.0
60,2020-05-29,2059.0,52.0
61,2020-05-30,2086.0,27.0
62,2020-05-31,2118.0,32.0
63,2020-06-01,2185.0,67.0
64,2020-06-02,2241.0,56.0
65,2020-06-03,2301.0,60.0
66,2020-06-04,2354.0,53.0
67,2020-06-05,2413.0,59.0
68,2020-06-06,2440.0,27.0
69,2020-06-07,2463.0,23.0
70,2020-06-08,2552.0,89.0
71,2020-06-09,2607.0,55.0
72,2020-06-10,2660.0,53.0
73,2020-06-11,2720.0,60.0
74,2020-06-12,2780.0,60.0
75,2020-06-13,2820.0,40.0
76,2020-06-14,2851.0,31.0
77,2020-06-15,2917.0,66.0
78,2020-06-16,2977.0,60.0
79,2020-06-17,3027.0,50.0
80,2020-06-18,3069.0,42.0
81,2020-06-19,3132.0,63.0
82,2020-06-20,3157.0,25.0
83,2020-06-21,3175.0,18.0
84,2020-06-22,3211.0,36.0
85,2020-06-23,3257.0,46.0
86,2020-06-24,3318.0,61.0
87,2020-06-25,3351.0,33.0
88,2020-06-26,3389.0,38.0
89,2020-06-27,3405.0,16.0
90,2020-06-28,3424.0,19.0
91,2020-06-29,3478.0,54.0
92,2020-06-30,3513.0,35.0
93,2020-07-01,3555.0,42.0
94,2020-07-02,3597.0,42.0
95,2020-07-03,3634.0,37.0
96,2020-07-04,3649.0,15.0
97,2020-07-05,3661.0,12.0
98,2020-07-06,3706.0,45.0
99,2020-07-07,3746.0,40.0
100,2020-07-08,3777.0,31.0
101,2020-07-09,3816.0,39.0
102,2020-07-10,3861.0,45.0
103,2020-07-11,3878.0,17.0
104,2020-07-12,3900.0,22.0
105,2020-07-13,3956.0,56.0
106,2020-07-14,3999.0,43.0
107,2020-07-15,4039.0,40.0
108,2020-07-16,4083.0,44.0
109,2020-07-17,4126.0,43.0
110,2020-07-18,4142.0,16.0
111,2020-07-19,4160.0,18.0
112,2020-07-20,4211.0,51.0
113,2020-07-21,4252.0,41.0
114,2020-07-22,4291.0,39.0
115,2020-07-23,4335.0,44.0
116,2020-07-24,4372.0,37.0
117,2020-07-25,4393.0,21.0
118,2020-07-26,4415.0,22.0
119,2020-07-27,4473.0,58.0
120,2020-07-28,4524.0,51.0
121,2020-07-29,4573.0,49.0
122,2020-07-30,4630.0,57.0
123,2020-07-31,4681.0,51.0
124,2020-08-01,4702.0,21.0
125,2020-08-02,4720.0,18.0
126,2020-08-03,4764.0,44.0
127,2020-08-04,4818.0,54.0
128,2020-08-05,4851.0,33.0
129,2020-08-06,4901.0,50.0
130,2020-08-07,4949.0,48.0
