,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-11,21.0,3.0
1,2020-03-12,25.0,4.0
2,2020-03-13,36.0,11.0
3,2020-03-14,40.0,4.0
4,2020-03-15,50.0,10.0
5,2020-03-16,57.0,7.0
6,2020-03-17,66.0,9.0
7,2020-03-18,71.0,5.0
8,2020-03-19,96.0,25.0
9,2020-03-20,122.0,26.0
10,2020-03-21,134.0,12.0
11,2020-03-22,150.0,16.0
12,2020-03-23,174.0,24.0
13,2020-03-24,220.0,46.0
14,2020-03-25,256.0,36.0
15,2020-03-26,302.0,46.0
16,2020-03-27,358.0,56.0
17,2020-03-28,397.0,39.0
18,2020-03-29,423.0,26.0
19,2020-03-30,482.0,59.0
20,2020-03-31,521.0,39.0
21,2020-04-01,591.0,70.0
22,2020-04-02,648.0,57.0
23,2020-04-03,715.0,67.0
24,2020-04-04,760.0,45.0
25,2020-04-05,817.0,57.0
26,2020-04-06,927.0,110.0
27,2020-04-07,1013.0,86.0
28,2020-04-08,1119.0,106.0
29,2020-04-09,1207.0,88.0
30,2020-04-10,1316.0,109.0
31,2020-04-11,1406.0,90.0
32,2020-04-12,1500.0,94.0
33,2020-04-13,1685.0,185.0
34,2020-04-14,1876.0,191.0
35,2020-04-15,2090.0,214.0
36,2020-04-16,2308.0,218.0
37,2020-04-17,2490.0,182.0
38,2020-04-18,2669.0,179.0
39,2020-04-19,2854.0,185.0
40,2020-04-20,3152.0,298.0
41,2020-04-21,3460.0,308.0
42,2020-04-22,3744.0,284.0
43,2020-04-23,4053.0,309.0
44,2020-04-24,4414.0,361.0
45,2020-04-25,4662.0,248.0
46,2020-04-26,4933.0,271.0
47,2020-04-27,5369.0,436.0
48,2020-04-28,5782.0,413.0
49,2020-04-29,6179.0,397.0
50,2020-04-30,6523.0,344.0
51,2020-05-01,6871.0,348.0
52,2020-05-02,7162.0,291.0
53,2020-05-03,7477.0,315.0
54,2020-05-04,8034.0,557.0
55,2020-05-05,8459.0,425.0
56,2020-05-06,8868.0,409.0
57,2020-05-07,9380.0,512.0
58,2020-05-08,9874.0,494.0
59,2020-05-09,10206.0,332.0
60,2020-05-10,10532.0,326.0
61,2020-05-11,11223.0,691.0
62,2020-05-12,11881.0,658.0
63,2020-05-13,12545.0,664.0
64,2020-05-14,13166.0,621.0
65,2020-05-15,13929.0,763.0
66,2020-05-16,14358.0,429.0
67,2020-05-17,14733.0,375.0
68,2020-05-18,15527.0,794.0
69,2020-05-19,16178.0,651.0
70,2020-05-20,16918.0,740.0
71,2020-05-21,17646.0,728.0
72,2020-05-22,18435.0,789.0
73,2020-05-23,18826.0,391.0
74,2020-05-24,19256.0,430.0
75,2020-05-25,20136.0,880.0
76,2020-05-26,20882.0,746.0
77,2020-05-27,21706.0,824.0
78,2020-05-28,22448.0,742.0
79,2020-05-29,23216.0,768.0
80,2020-05-30,23671.0,455.0
81,2020-05-31,24069.0,398.0
82,2020-06-01,24994.0,925.0
83,2020-06-02,25864.0,870.0
84,2020-06-03,26859.0,995.0
85,2020-06-04,27713.0,854.0
86,2020-06-05,28588.0,875.0
87,2020-06-06,29057.0,469.0
88,2020-06-07,29541.0,484.0
89,2020-06-08,30666.0,1125.0
90,2020-06-09,31632.0,966.0
91,2020-06-10,32600.0,968.0
92,2020-06-11,33377.0,777.0
93,2020-06-12,34173.0,796.0
94,2020-06-13,34596.0,423.0
95,2020-06-14,35037.0,441.0
96,2020-06-15,35980.0,943.0
97,2020-06-16,36858.0,878.0
98,2020-06-17,37669.0,811.0
99,2020-06-18,38458.0,789.0
100,2020-06-19,39246.0,788.0
101,2020-06-20,39680.0,434.0
102,2020-06-21,39999.0,319.0
103,2020-06-22,40793.0,794.0
104,2020-06-23,41451.0,658.0
105,2020-06-24,42173.0,722.0
106,2020-06-25,42798.0,625.0
107,2020-06-26,43529.0,731.0
108,2020-06-27,43866.0,337.0
109,2020-06-28,44187.0,321.0
110,2020-06-29,45057.0,870.0
111,2020-06-30,45716.0,659.0
112,2020-07-01,46573.0,857.0
113,2020-07-02,47266.0,693.0
114,2020-07-03,47980.0,714.0
115,2020-07-04,48353.0,373.0
116,2020-07-05,48646.0,293.0
117,2020-07-06,49392.0,746.0
118,2020-07-07,50038.0,646.0
119,2020-07-08,50712.0,674.0
120,2020-07-09,51228.0,516.0
121,2020-07-10,51948.0,720.0
122,2020-07-11,52236.0,288.0
123,2020-07-12,52495.0,259.0
124,2020-07-13,53259.0,764.0
125,2020-07-14,53906.0,647.0
126,2020-07-15,54682.0,776.0
127,2020-07-16,55333.0,651.0
128,2020-07-17,56017.0,684.0
129,2020-07-18,56353.0,336.0
130,2020-07-19,56664.0,311.0
131,2020-07-20,57518.0,854.0
132,2020-07-21,58366.0,848.0
133,2020-07-22,59156.0,790.0
134,2020-07-23,59785.0,629.0
135,2020-07-24,60439.0,654.0
136,2020-07-25,60746.0,307.0
137,2020-07-26,60972.0,226.0
138,2020-07-27,61729.0,757.0
139,2020-07-28,62382.0,653.0
140,2020-07-29,63086.0,704.0
141,2020-07-30,63726.0,640.0
142,2020-07-31,64343.0,617.0
143,2020-08-01,64664.0,321.0
144,2020-08-02,64904.0,240.0
145,2020-08-03,65661.0,757.0
146,2020-08-04,66342.0,681.0
147,2020-08-05,67064.0,722.0
148,2020-08-06,67647.0,583.0
149,2020-08-07,68268.0,621.0
150,2020-08-08,68547.0,279.0
151,2020-08-09,68767.0,220.0
152,2020-08-10,69510.0,743.0
153,2020-08-11,70094.0,584.0
154,2020-08-12,70732.0,638.0
155,2020-08-13,71350.0,618.0
156,2020-08-14,71917.0,567.0
157,2020-08-15,72202.0,285.0
158,2020-08-16,72383.0,181.0
159,2020-08-17,73059.0,676.0
160,2020-08-18,73695.0,636.0
161,2020-08-19,74202.0,507.0
162,2020-08-20,74727.0,525.0
163,2020-08-21,75345.0,618.0
164,2020-08-22,75595.0,250.0
165,2020-08-23,75813.0,218.0
166,2020-08-24,76451.0,638.0
167,2020-08-25,77098.0,647.0
168,2020-08-26,77641.0,543.0
169,2020-08-27,78274.0,633.0
170,2020-08-28,78858.0,584.0
171,2020-08-29,79096.0,238.0
172,2020-08-30,79271.0,175.0
173,2020-08-31,79981.0,710.0
174,2020-09-01,80614.0,633.0
175,2020-09-02,81281.0,667.0
176,2020-09-03,81867.0,586.0
177,2020-09-04,82457.0,590.0
178,2020-09-05,82718.0,261.0
179,2020-09-06,82901.0,183.0
180,2020-09-07,83595.0,694.0
181,2020-09-08,84275.0,680.0
182,2020-09-09,84848.0,573.0
183,2020-09-10,85484.0,636.0
184,2020-09-11,86067.0,583.0
185,2020-09-12,86319.0,252.0
186,2020-09-13,86512.0,193.0
187,2020-09-14,87183.0,671.0
188,2020-09-15,87613.0,430.0
189,2020-09-16,87807.0,194.0
190,2020-09-17,88495.0,688.0
191,2020-09-18,89127.0,632.0
192,2020-09-19,89348.0,221.0
193,2020-09-20,89570.0,222.0
194,2020-09-21,90250.0,680.0
195,2020-09-22,90803.0,553.0
196,2020-09-23,91428.0,625.0
197,2020-09-24,91942.0,514.0
198,2020-09-25,92550.0,608.0
199,2020-09-26,92776.0,226.0
200,2020-09-27,92942.0,166.0
201,2020-09-28,93537.0,595.0
202,2020-09-29,94078.0,541.0
203,2020-09-30,94601.0,523.0
204,2020-10-01,95131.0,530.0
205,2020-10-02,95558.0,427.0
206,2020-10-03,95756.0,198.0
207,2020-10-04,95911.0,155.0
208,2020-10-05,96346.0,435.0
209,2020-10-06,96750.0,404.0
210,2020-10-07,97185.0,435.0
211,2020-10-08,97576.0,391.0
212,2020-10-09,97946.0,370.0
213,2020-10-10,98158.0,212.0
214,2020-10-11,98313.0,155.0
215,2020-10-12,98785.0,472.0
216,2020-10-13,99255.0,470.0
217,2020-10-14,99677.0,422.0
218,2020-10-15,100116.0,439.0
219,2020-10-16,100557.0,441.0
220,2020-10-17,100776.0,219.0
221,2020-10-18,100959.0,183.0
222,2020-10-19,101478.0,519.0
223,2020-10-20,102030.0,552.0
224,2020-10-21,102467.0,437.0
225,2020-10-22,102976.0,509.0
226,2020-10-23,103486.0,510.0
227,2020-10-24,103666.0,180.0
228,2020-10-25,103852.0,186.0
229,2020-10-26,104412.0,560.0
230,2020-10-27,104963.0,551.0
231,2020-10-28,105484.0,521.0
232,2020-10-29,106026.0,542.0
233,2020-10-30,106539.0,513.0
234,2020-10-31,106744.0,205.0
235,2020-11-01,106929.0,185.0
236,2020-11-02,107285.0,356.0
237,2020-11-03,107887.0,602.0
238,2020-11-04,108411.0,524.0
239,2020-11-05,108895.0,484.0
240,2020-11-06,109405.0,510.0
241,2020-11-07,109670.0,265.0
242,2020-11-08,109908.0,238.0
243,2020-11-09,110575.0,667.0
244,2020-11-10,111263.0,688.0
245,2020-11-11,111952.0,689.0
246,2020-11-12,112542.0,590.0
247,2020-11-13,113097.0,555.0
248,2020-11-14,113401.0,304.0
249,2020-11-15,113623.0,222.0
250,2020-11-16,113901.0,278.0
251,2020-11-17,114682.0,781.0
252,2020-11-18,115400.0,718.0
253,2020-11-19,116013.0,613.0
254,2020-11-20,116714.0,701.0
255,2020-11-21,117056.0,342.0
256,2020-11-22,117326.0,270.0
257,2020-11-23,118204.0,878.0
258,2020-11-24,119083.0,879.0
259,2020-11-25,119931.0,848.0
260,2020-11-26,120763.0,832.0
261,2020-11-27,121671.0,908.0
262,2020-11-28,122126.0,455.0
263,2020-11-29,122426.0,300.0
264,2020-11-30,123432.0,1006.0
265,2020-12-01,124541.0,1109.0
266,2020-12-02,125692.0,1151.0
267,2020-12-03,126878.0,1186.0
268,2020-12-04,128128.0,1250.0
269,2020-12-05,128761.0,633.0
270,2020-12-06,129151.0,390.0
271,2020-12-07,130744.0,1593.0
272,2020-12-08,132345.0,1601.0
273,2020-12-09,133773.0,1428.0
274,2020-12-10,135187.0,1414.0
275,2020-12-11,136626.0,1439.0
276,2020-12-12,137457.0,831.0
277,2020-12-13,137852.0,395.0
278,2020-12-14,139578.0,1726.0
279,2020-12-15,141292.0,1714.0
280,2020-12-16,142921.0,1629.0
281,2020-12-17,144447.0,1526.0
282,2020-12-18,145962.0,1515.0
283,2020-12-19,146660.0,698.0
284,2020-12-20,147091.0,431.0
285,2020-12-21,148778.0,1687.0
286,2020-12-22,150462.0,1684.0
287,2020-12-23,152031.0,1569.0
288,2020-12-24,153426.0,1395.0
289,2020-12-25,153864.0,438.0
290,2020-12-26,154466.0,602.0
291,2020-12-27,154970.0,504.0
292,2020-12-28,156925.0,1955.0
293,2020-12-29,158746.0,1821.0
294,2020-12-30,160446.0,1700.0
295,2020-12-31,161809.0,1363.0
296,2021-01-01,162293.0,484.0
297,2021-01-02,162921.0,628.0
298,2021-01-03,163474.0,553.0
299,2021-01-04,165409.0,1935.0
300,2021-01-05,167346.0,1937.0
301,2021-01-06,169248.0,1902.0
302,2021-01-07,171221.0,1973.0
303,2021-01-08,173128.0,1907.0
304,2021-01-09,173944.0,816.0
305,2021-01-10,174520.0,576.0
306,2021-01-11,176766.0,2246.0
307,2021-01-12,178829.0,2063.0
308,2021-01-13,180868.0,2039.0
309,2021-01-14,182910.0,2042.0
310,2021-01-15,184775.0,1865.0
311,2021-01-16,185617.0,842.0
312,2021-01-17,186235.0,618.0
313,2021-01-18,188344.0,2109.0
314,2021-01-19,190380.0,2036.0
315,2021-01-20,192286.0,1906.0
316,2021-01-21,194197.0,1911.0
317,2021-01-22,196030.0,1833.0
318,2021-01-23,196877.0,847.0
319,2021-01-24,197354.0,477.0
320,2021-01-25,199334.0,1980.0
321,2021-01-26,201086.0,1752.0
322,2021-01-27,202719.0,1633.0
323,2021-01-28,204235.0,1516.0
324,2021-01-29,205632.0,1397.0
325,2021-01-30,206315.0,683.0
326,2021-01-31,206768.0,453.0
327,2021-02-01,207203.0,435.0
328,2021-02-02,208766.0,1563.0
329,2021-02-03,210025.0,1259.0
330,2021-02-04,211152.0,1127.0
331,2021-02-05,212194.0,1042.0
332,2021-02-06,212718.0,524.0
333,2021-02-07,213043.0,325.0
334,2021-02-08,214318.0,1275.0
335,2021-02-09,215382.0,1064.0
336,2021-02-10,216359.0,977.0
337,2021-02-11,217252.0,893.0
338,2021-02-12,218126.0,874.0
339,2021-02-13,218544.0,418.0
340,2021-02-14,218781.0,237.0
341,2021-02-15,219760.0,979.0
342,2021-02-16,220720.0,960.0
343,2021-02-17,221532.0,812.0
344,2021-02-18,222381.0,849.0
345,2021-02-19,223181.0,800.0
346,2021-02-20,223568.0,387.0
347,2021-02-21,223825.0,257.0
348,2021-02-22,224827.0,1002.0
349,2021-02-23,225648.0,821.0
350,2021-02-24,226424.0,776.0
351,2021-02-25,227144.0,720.0
352,2021-02-26,227925.0,781.0
353,2021-02-27,228264.0,339.0
354,2021-02-28,228538.0,274.0
355,2021-03-01,229594.0,1056.0
356,2021-03-02,230426.0,832.0
357,2021-03-03,231222.0,796.0
358,2021-03-04,231897.0,675.0
359,2021-03-05,232611.0,714.0
360,2021-03-06,232899.0,288.0
361,2021-03-07,233143.0,244.0
362,2021-03-08,233976.0,833.0
363,2021-03-09,234684.0,708.0
364,2021-03-10,235290.0,606.0
365,2021-03-11,235880.0,590.0
366,2021-03-12,236464.0,584.0
367,2021-03-13,236732.0,268.0
368,2021-03-14,236891.0,159.0
369,2021-03-15,237072.0,181.0
370,2021-03-16,237863.0,791.0
371,2021-03-17,238470.0,607.0
372,2021-03-18,239015.0,545.0
373,2021-03-19,239556.0,541.0
374,2021-03-20,239773.0,217.0
375,2021-03-21,239962.0,189.0
376,2021-03-22,240634.0,672.0
377,2021-03-23,241212.0,578.0
378,2021-03-24,241741.0,529.0
379,2021-03-25,242244.0,503.0
380,2021-03-26,242683.0,439.0
381,2021-03-27,242885.0,202.0
382,2021-03-28,243011.0,126.0
383,2021-03-29,243625.0,614.0
384,2021-03-30,244110.0,485.0
385,2021-03-31,244529.0,419.0
386,2021-04-01,244703.0,174.0
387,2021-04-02,244867.0,164.0
388,2021-04-03,245024.0,157.0
389,2021-04-04,245156.0,132.0
390,2021-04-05,245802.0,646.0
391,2021-04-06,246277.0,475.0
392,2021-04-07,246680.0,403.0
393,2021-04-08,247112.0,432.0
394,2021-04-09,247564.0,452.0
395,2021-04-10,247786.0,222.0
396,2021-04-11,247929.0,143.0
397,2021-04-12,248460.0,531.0
398,2021-04-13,248920.0,460.0
399,2021-04-14,249280.0,360.0
400,2021-04-15,249649.0,369.0
401,2021-04-16,249964.0,315.0
402,2021-04-17,250122.0,158.0
403,2021-04-18,250227.0,105.0
404,2021-04-19,250612.0,385.0
405,2021-04-20,250969.0,357.0
406,2021-04-21,251278.0,309.0
407,2021-04-22,251555.0,277.0
408,2021-04-23,251802.0,247.0
409,2021-04-24,251969.0,167.0
410,2021-04-25,252068.0,99.0
411,2021-04-26,252444.0,376.0
412,2021-04-27,252724.0,280.0
413,2021-04-28,252988.0,264.0
414,2021-04-29,253295.0,307.0
415,2021-04-30,253485.0,190.0
416,2021-05-01,253571.0,86.0
417,2021-05-02,253640.0,69.0
418,2021-05-03,253901.0,261.0
419,2021-05-04,254146.0,245.0
420,2021-05-05,254343.0,197.0
421,2021-05-06,254520.0,177.0
422,2021-05-07,254707.0,187.0
423,2021-05-08,254769.0,62.0
424,2021-05-09,254834.0,65.0
425,2021-05-10,254957.0,123.0
426,2021-05-11,255207.0,250.0
427,2021-05-12,255383.0,176.0
428,2021-05-13,255556.0,173.0
429,2021-05-14,255764.0,208.0
430,2021-05-15,255900.0,136.0
431,2021-05-16,255981.0,81.0
432,2021-05-17,256172.0,191.0
433,2021-05-18,256328.0,156.0
434,2021-05-19,256487.0,159.0
435,2021-05-20,256672.0,185.0
436,2021-05-21,256804.0,132.0
437,2021-05-22,256940.0,136.0
438,2021-05-23,256991.0,51.0
439,2021-05-24,257196.0,205.0
440,2021-05-25,257365.0,169.0
441,2021-05-26,257513.0,148.0
442,2021-05-27,257672.0,159.0
443,2021-05-28,257832.0,160.0
444,2021-05-29,257905.0,73.0
445,2021-05-30,257989.0,84.0
446,2021-05-31,258169.0,180.0
447,2021-06-01,258337.0,168.0
448,2021-06-02,258479.0,142.0
449,2021-06-03,258615.0,136.0
450,2021-06-04,258762.0,147.0
451,2021-06-05,258850.0,88.0
452,2021-06-06,258911.0,61.0
453,2021-06-07,259096.0,185.0
454,2021-06-08,259304.0,208.0
455,2021-06-09,259509.0,205.0
456,2021-06-10,259679.0,170.0
457,2021-06-11,259858.0,179.0
458,2021-06-12,259993.0,135.0
459,2021-06-13,260050.0,57.0
460,2021-06-14,260290.0,240.0
461,2021-06-15,260504.0,214.0
462,2021-06-16,260714.0,210.0
463,2021-06-17,260950.0,236.0
464,2021-06-18,261187.0,237.0
465,2021-06-19,261292.0,105.0
466,2021-06-20,261357.0,65.0
467,2021-06-21,261721.0,364.0
468,2021-06-22,262058.0,337.0
469,2021-06-23,262424.0,366.0
470,2021-06-24,262792.0,368.0
471,2021-06-25,263193.0,401.0
472,2021-06-26,263417.0,224.0
473,2021-06-27,263509.0,92.0
474,2021-06-28,264020.0,511.0
475,2021-06-29,264541.0,521.0
476,2021-06-30,265043.0,502.0
477,2021-07-01,265570.0,527.0
478,2021-07-02,266226.0,656.0
479,2021-07-03,266492.0,266.0
480,2021-07-04,266667.0,175.0
481,2021-07-05,267497.0,830.0
482,2021-07-06,268361.0,864.0
483,2021-07-07,269286.0,925.0
484,2021-07-08,270252.0,966.0
485,2021-07-09,271368.0,1116.0
486,2021-07-10,271720.0,352.0
487,2021-07-11,271958.0,238.0
488,2021-07-12,273439.0,1481.0
489,2021-07-13,274892.0,1453.0
490,2021-07-14,276301.0,1409.0
491,2021-07-15,277698.0,1397.0
492,2021-07-16,279367.0,1669.0
493,2021-07-17,279915.0,548.0
494,2021-07-18,280272.0,357.0
495,2021-07-19,282281.0,2009.0
496,2021-07-20,284342.0,2061.0
497,2021-07-21,286373.0,2031.0
498,2021-07-22,288598.0,2225.0
499,2021-07-23,290726.0,2128.0
500,2021-07-24,291418.0,692.0
501,2021-07-25,291990.0,572.0
502,2021-07-26,294643.0,2653.0
503,2021-07-27,297131.0,2488.0
504,2021-07-28,299286.0,2155.0
505,2021-07-29,301693.0,2407.0
506,2021-07-30,303853.0,2160.0
507,2021-07-31,304677.0,824.0
508,2021-08-01,305323.0,646.0
509,2021-08-02,307904.0,2581.0
510,2021-08-03,310318.0,2414.0
511,2021-08-04,312585.0,2267.0
512,2021-08-05,314797.0,2212.0
513,2021-08-06,317022.0,2225.0
514,2021-08-07,317762.0,740.0
515,2021-08-08,318326.0,564.0
516,2021-08-09,320786.0,2460.0
517,2021-08-10,323204.0,2418.0
518,2021-08-11,325327.0,2123.0
519,2021-08-12,327345.0,2018.0
520,2021-08-13,329339.0,1994.0
521,2021-08-14,330007.0,668.0
522,2021-08-15,330466.0,459.0
523,2021-08-16,332675.0,2209.0
524,2021-08-17,334596.0,1921.0
525,2021-08-18,336261.0,1665.0
526,2021-08-19,337957.0,1696.0
527,2021-08-20,339458.0,1501.0
528,2021-08-21,339960.0,502.0
529,2021-08-22,340363.0,403.0
530,2021-08-23,342179.0,1816.0
531,2021-08-24,343696.0,1517.0
532,2021-08-25,345000.0,1304.0
533,2021-08-26,346323.0,1323.0
534,2021-08-27,347645.0,1322.0
535,2021-08-28,348147.0,502.0
536,2021-08-29,348466.0,319.0
537,2021-08-30,349894.0,1428.0
538,2021-08-31,351138.0,1244.0
539,2021-09-01,352265.0,1127.0
540,2021-09-02,353321.0,1056.0
541,2021-09-03,354311.0,990.0
542,2021-09-04,354803.0,492.0
543,2021-09-05,355092.0,289.0
544,2021-09-06,356494.0,1402.0
545,2021-09-07,357753.0,1259.0
546,2021-09-08,358833.0,1080.0
547,2021-09-09,360035.0,1202.0
548,2021-09-10,361300.0,1265.0
