,Fecha,CasosAcumulados,CasosDiarios
0,2020-04-06,21.0,2.0
1,2020-04-07,23.0,2.0
2,2020-04-08,25.0,2.0
3,2020-04-09,27.0,2.0
4,2020-04-10,27.0,0.0
5,2020-04-11,30.0,3.0
6,2020-04-12,34.0,4.0
7,2020-04-13,38.0,4.0
8,2020-04-14,40.0,2.0
9,2020-04-15,42.0,2.0
10,2020-04-16,45.0,3.0
11,2020-04-17,49.0,4.0
12,2020-04-18,52.0,3.0
13,2020-04-19,54.0,2.0
14,2020-04-20,55.0,1.0
15,2020-04-21,59.0,4.0
16,2020-04-22,63.0,4.0
17,2020-04-23,69.0,6.0
18,2020-04-24,73.0,4.0
19,2020-04-25,76.0,3.0
20,2020-04-26,82.0,6.0
21,2020-04-27,93.0,11.0
22,2020-04-28,108.0,15.0
23,2020-04-29,115.0,7.0
24,2020-04-30,128.0,13.0
25,2020-05-01,135.0,7.0
26,2020-05-02,150.0,15.0
27,2020-05-03,165.0,15.0
28,2020-05-04,182.0,17.0
29,2020-05-05,205.0,23.0
30,2020-05-06,222.0,17.0
31,2020-05-07,237.0,15.0
32,2020-05-08,243.0,6.0
33,2020-05-09,250.0,7.0
34,2020-05-10,259.0,9.0
35,2020-05-11,279.0,20.0
36,2020-05-12,297.0,18.0
37,2020-05-13,312.0,15.0
38,2020-05-14,331.0,19.0
39,2020-05-15,347.0,16.0
40,2020-05-16,350.0,3.0
41,2020-05-17,357.0,7.0
42,2020-05-18,375.0,18.0
43,2020-05-19,399.0,24.0
44,2020-05-20,417.0,18.0
45,2020-05-21,436.0,19.0
46,2020-05-22,462.0,26.0
47,2020-05-23,475.0,13.0
48,2020-05-24,483.0,8.0
49,2020-05-25,502.0,19.0
50,2020-05-26,532.0,30.0
51,2020-05-27,566.0,34.0
52,2020-05-28,599.0,33.0
53,2020-05-29,629.0,30.0
54,2020-05-30,651.0,22.0
55,2020-05-31,662.0,11.0
56,2020-06-01,686.0,24.0
57,2020-06-02,729.0,43.0
58,2020-06-03,765.0,36.0
59,2020-06-04,792.0,27.0
60,2020-06-05,829.0,37.0
61,2020-06-06,852.0,23.0
62,2020-06-07,869.0,17.0
