,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-14,23.0,6.0
1,2020-03-15,23.0,0.0
2,2020-03-16,29.0,6.0
3,2020-03-17,36.0,7.0
4,2020-03-18,48.0,12.0
5,2020-03-19,52.0,4.0
6,2020-03-20,64.0,12.0
7,2020-03-21,68.0,4.0
8,2020-03-22,72.0,4.0
9,2020-03-23,77.0,5.0
10,2020-03-24,82.0,5.0
11,2020-03-25,84.0,2.0
12,2020-03-26,85.0,1.0
13,2020-03-27,93.0,8.0
14,2020-03-28,95.0,2.0
15,2020-03-29,98.0,3.0
16,2020-03-30,103.0,5.0
17,2020-03-31,103.0,0.0
18,2020-04-01,103.0,0.0
19,2020-04-02,109.0,6.0
20,2020-04-03,111.0,2.0
21,2020-04-04,114.0,3.0
22,2020-04-05,115.0,1.0
23,2020-04-06,125.0,10.0
24,2020-04-07,133.0,8.0
25,2020-04-08,142.0,9.0
26,2020-04-09,143.0,1.0
27,2020-04-10,166.0,23.0
28,2020-04-11,174.0,8.0
29,2020-04-12,189.0,15.0
30,2020-04-13,209.0,20.0
31,2020-04-14,228.0,19.0
32,2020-04-15,236.0,8.0
33,2020-04-16,248.0,12.0
34,2020-04-17,257.0,9.0
35,2020-04-18,263.0,6.0
36,2020-04-19,265.0,2.0
37,2020-04-20,278.0,13.0
38,2020-04-21,296.0,18.0
39,2020-04-22,313.0,17.0
40,2020-04-23,319.0,6.0
41,2020-04-24,326.0,7.0
42,2020-04-25,332.0,6.0
43,2020-04-26,340.0,8.0
44,2020-04-27,360.0,20.0
45,2020-04-28,388.0,28.0
46,2020-04-29,410.0,22.0
47,2020-04-30,439.0,29.0
48,2020-05-01,466.0,27.0
49,2020-05-02,488.0,22.0
50,2020-05-03,497.0,9.0
51,2020-05-04,537.0,40.0
52,2020-05-05,598.0,61.0
53,2020-05-06,625.0,27.0
54,2020-05-07,650.0,25.0
55,2020-05-08,682.0,32.0
56,2020-05-09,710.0,28.0
57,2020-05-10,730.0,20.0
58,2020-05-11,773.0,43.0
59,2020-05-12,809.0,36.0
60,2020-05-13,877.0,68.0
61,2020-05-14,915.0,38.0
62,2020-05-15,991.0,76.0
63,2020-05-16,1021.0,30.0
64,2020-05-17,1033.0,12.0
65,2020-05-18,1081.0,48.0
66,2020-05-19,1120.0,39.0
67,2020-05-20,1181.0,61.0
68,2020-05-21,1217.0,36.0
69,2020-05-22,1269.0,52.0
70,2020-05-23,1305.0,36.0
71,2020-05-24,1333.0,28.0
72,2020-05-25,1417.0,84.0
73,2020-05-26,1537.0,120.0
74,2020-05-27,1609.0,72.0
75,2020-05-28,1676.0,67.0
76,2020-05-29,1747.0,71.0
77,2020-05-30,1792.0,45.0
78,2020-05-31,1812.0,20.0
79,2020-06-01,1897.0,85.0
80,2020-06-02,1993.0,96.0
81,2020-06-03,2070.0,77.0
82,2020-06-04,2201.0,131.0
83,2020-06-05,2351.0,150.0
84,2020-06-06,2430.0,79.0
85,2020-06-07,2475.0,45.0
86,2020-06-08,2681.0,206.0
87,2020-06-09,2837.0,156.0
88,2020-06-10,3064.0,227.0
89,2020-06-11,3270.0,206.0
90,2020-06-12,3521.0,251.0
91,2020-06-13,3715.0,194.0
92,2020-06-14,3818.0,103.0
93,2020-06-15,4110.0,292.0
94,2020-06-16,4329.0,219.0
95,2020-06-17,4512.0,183.0
96,2020-06-18,4745.0,233.0
97,2020-06-19,4953.0,208.0
98,2020-06-20,5128.0,175.0
99,2020-06-21,5233.0,105.0
100,2020-06-22,5534.0,301.0
101,2020-06-23,5848.0,314.0
102,2020-06-24,6159.0,311.0
103,2020-06-25,6473.0,314.0
104,2020-06-26,6800.0,327.0
105,2020-06-27,7013.0,213.0
106,2020-06-28,7190.0,177.0
107,2020-06-29,7591.0,401.0
108,2020-06-30,7972.0,381.0
109,2020-07-01,8405.0,433.0
110,2020-07-02,8758.0,353.0
111,2020-07-03,9112.0,354.0
112,2020-07-04,9353.0,241.0
113,2020-07-05,9554.0,201.0
114,2020-07-06,10092.0,538.0
115,2020-07-07,10596.0,504.0
116,2020-07-08,11052.0,456.0
117,2020-07-09,11546.0,494.0
118,2020-07-10,12002.0,456.0
119,2020-07-11,12325.0,323.0
120,2020-07-12,12569.0,244.0
121,2020-07-13,13156.0,587.0
122,2020-07-14,13745.0,589.0
123,2020-07-15,14327.0,582.0
124,2020-07-16,14890.0,563.0
125,2020-07-17,15409.0,519.0
126,2020-07-18,15658.0,249.0
127,2020-07-19,15852.0,194.0
128,2020-07-20,16424.0,572.0
