,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-29,21.0,2.0
1,2020-03-30,23.0,2.0
2,2020-03-31,29.0,6.0
3,2020-04-01,31.0,2.0
4,2020-04-02,31.0,0.0
5,2020-04-03,34.0,3.0
6,2020-04-04,37.0,3.0
7,2020-04-05,39.0,2.0
8,2020-04-06,44.0,5.0
9,2020-04-07,44.0,0.0
10,2020-04-08,49.0,5.0
11,2020-04-09,50.0,1.0
12,2020-04-10,53.0,3.0
13,2020-04-11,55.0,2.0
14,2020-04-12,57.0,2.0
15,2020-04-13,62.0,5.0
16,2020-04-14,66.0,4.0
17,2020-04-15,73.0,7.0
18,2020-04-16,78.0,5.0
19,2020-04-17,86.0,8.0
20,2020-04-18,92.0,6.0
21,2020-04-19,95.0,3.0
22,2020-04-20,101.0,6.0
23,2020-04-21,106.0,5.0
24,2020-04-22,115.0,9.0
25,2020-04-23,123.0,8.0
26,2020-04-24,140.0,17.0
27,2020-04-25,148.0,8.0
28,2020-04-26,160.0,12.0
29,2020-04-27,170.0,10.0
30,2020-04-28,188.0,18.0
31,2020-04-29,200.0,12.0
32,2020-04-30,212.0,12.0
33,2020-05-01,227.0,15.0
34,2020-05-02,238.0,11.0
35,2020-05-03,253.0,15.0
36,2020-05-04,277.0,24.0
37,2020-05-05,311.0,34.0
38,2020-05-06,337.0,26.0
39,2020-05-07,362.0,25.0
40,2020-05-08,385.0,23.0
41,2020-05-09,400.0,15.0
42,2020-05-10,430.0,30.0
43,2020-05-11,487.0,57.0
44,2020-05-12,553.0,66.0
45,2020-05-13,622.0,69.0
46,2020-05-14,688.0,66.0
47,2020-05-15,768.0,80.0
48,2020-05-16,834.0,66.0
49,2020-05-17,851.0,17.0
50,2020-05-18,972.0,121.0
51,2020-05-19,1049.0,77.0
52,2020-05-20,1129.0,80.0
53,2020-05-21,1231.0,102.0
54,2020-05-22,1315.0,84.0
55,2020-05-23,1400.0,85.0
56,2020-05-24,1439.0,39.0
57,2020-05-25,1546.0,107.0
58,2020-05-26,1629.0,83.0
