,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-17,22.0,5.0
1,2020-03-18,28.0,6.0
2,2020-03-19,35.0,7.0
3,2020-03-20,40.0,5.0
4,2020-03-21,44.0,4.0
5,2020-03-22,46.0,2.0
6,2020-03-23,54.0,8.0
7,2020-03-24,70.0,16.0
8,2020-03-25,76.0,6.0
9,2020-03-26,92.0,16.0
10,2020-03-27,103.0,11.0
11,2020-03-28,117.0,14.0
12,2020-03-29,123.0,6.0
13,2020-03-30,141.0,18.0
14,2020-03-31,168.0,27.0
15,2020-04-01,188.0,20.0
16,2020-04-02,211.0,23.0
17,2020-04-03,226.0,15.0
18,2020-04-04,237.0,11.0
19,2020-04-05,248.0,11.0
20,2020-04-06,275.0,27.0
21,2020-04-07,289.0,14.0
22,2020-04-08,315.0,26.0
23,2020-04-09,332.0,17.0
24,2020-04-10,340.0,8.0
25,2020-04-11,355.0,15.0
26,2020-04-12,361.0,6.0
27,2020-04-13,386.0,25.0
28,2020-04-14,404.0,18.0
29,2020-04-15,433.0,29.0
30,2020-04-16,455.0,22.0
31,2020-04-17,486.0,31.0
32,2020-04-18,510.0,24.0
33,2020-04-19,530.0,20.0
34,2020-04-20,562.0,32.0
35,2020-04-21,586.0,24.0
36,2020-04-22,613.0,27.0
37,2020-04-23,645.0,32.0
38,2020-04-24,690.0,45.0
39,2020-04-25,734.0,44.0
40,2020-04-26,759.0,25.0
41,2020-04-27,796.0,37.0
42,2020-04-28,842.0,46.0
43,2020-04-29,894.0,52.0
44,2020-04-30,943.0,49.0
45,2020-05-01,986.0,43.0
46,2020-05-02,1029.0,43.0
47,2020-05-03,1068.0,39.0
48,2020-05-04,1116.0,48.0
49,2020-05-05,1153.0,37.0
50,2020-05-06,1205.0,52.0
51,2020-05-07,1272.0,67.0
52,2020-05-08,1329.0,57.0
53,2020-05-09,1381.0,52.0
54,2020-05-10,1419.0,38.0
55,2020-05-11,1498.0,79.0
56,2020-05-12,1573.0,75.0
57,2020-05-13,1666.0,93.0
58,2020-05-14,1775.0,109.0
59,2020-05-15,1884.0,109.0
60,2020-05-16,1964.0,80.0
61,2020-05-17,2033.0,69.0
62,2020-05-18,2165.0,132.0
63,2020-05-19,2296.0,131.0
64,2020-05-20,2417.0,121.0
65,2020-05-21,2567.0,150.0
66,2020-05-22,2743.0,176.0
67,2020-05-23,2893.0,150.0
68,2020-05-24,2977.0,84.0
69,2020-05-25,3150.0,173.0
70,2020-05-26,3312.0,162.0
71,2020-05-27,3500.0,188.0
72,2020-05-28,3664.0,164.0
73,2020-05-29,3823.0,159.0
74,2020-05-30,3944.0,121.0
75,2020-05-31,4009.0,65.0
76,2020-06-01,4210.0,201.0
77,2020-06-02,4388.0,178.0
78,2020-06-03,4589.0,201.0
79,2020-06-04,4804.0,215.0
80,2020-06-05,5018.0,214.0
81,2020-06-06,5146.0,128.0
82,2020-06-07,5246.0,100.0
83,2020-06-08,5558.0,312.0
84,2020-06-09,5806.0,248.0
85,2020-06-10,6058.0,252.0
86,2020-06-11,6360.0,302.0
87,2020-06-12,6685.0,325.0
88,2020-06-13,6874.0,189.0
89,2020-06-14,7024.0,150.0
90,2020-06-15,7467.0,443.0
91,2020-06-16,7884.0,417.0
92,2020-06-17,8309.0,425.0
93,2020-06-18,8831.0,522.0
94,2020-06-19,9261.0,430.0
95,2020-06-20,9483.0,222.0
96,2020-06-21,9656.0,173.0
97,2020-06-22,10156.0,500.0
98,2020-06-23,10576.0,420.0
99,2020-06-24,10950.0,374.0
100,2020-06-25,11425.0,475.0
101,2020-06-26,11802.0,377.0
102,2020-06-27,12009.0,207.0
103,2020-06-28,12153.0,144.0
104,2020-06-29,12522.0,369.0
105,2020-06-30,12889.0,367.0
106,2020-07-01,13243.0,354.0
107,2020-07-02,13535.0,292.0
108,2020-07-03,13821.0,286.0
109,2020-07-04,14015.0,194.0
110,2020-07-05,14158.0,143.0
111,2020-07-06,14502.0,344.0
112,2020-07-07,14863.0,361.0
113,2020-07-08,15223.0,360.0
114,2020-07-09,15586.0,363.0
115,2020-07-10,15921.0,335.0
116,2020-07-11,16114.0,193.0
117,2020-07-12,16289.0,175.0
118,2020-07-13,16733.0,444.0
119,2020-07-14,17172.0,439.0
120,2020-07-15,17605.0,433.0
121,2020-07-16,18019.0,414.0
122,2020-07-17,18431.0,412.0
123,2020-07-18,18639.0,208.0
124,2020-07-19,18820.0,181.0
125,2020-07-20,19317.0,497.0
126,2020-07-21,19695.0,378.0
127,2020-07-22,20084.0,389.0
128,2020-07-23,20458.0,374.0
129,2020-07-24,20807.0,349.0
130,2020-07-25,21054.0,247.0
131,2020-07-26,21179.0,125.0
132,2020-07-27,21630.0,451.0
133,2020-07-28,21975.0,345.0
134,2020-07-29,22323.0,348.0
135,2020-07-30,22683.0,360.0
136,2020-07-31,22942.0,259.0
137,2020-08-01,23094.0,152.0
138,2020-08-02,23204.0,110.0
139,2020-08-03,23521.0,317.0
140,2020-08-04,23820.0,299.0
141,2020-08-05,24128.0,308.0
142,2020-08-06,24459.0,331.0
143,2020-08-07,24727.0,268.0
144,2020-08-08,24904.0,177.0
145,2020-08-09,25008.0,104.0
146,2020-08-10,25305.0,297.0
147,2020-08-11,25599.0,294.0
148,2020-08-12,25865.0,266.0
149,2020-08-13,26114.0,249.0
150,2020-08-14,26347.0,233.0
151,2020-08-15,26482.0,135.0
152,2020-08-16,26568.0,86.0
153,2020-08-17,26824.0,256.0
154,2020-08-18,27053.0,229.0
155,2020-08-19,27268.0,215.0
156,2020-08-20,27460.0,192.0
157,2020-08-21,27654.0,194.0
158,2020-08-22,27795.0,141.0
159,2020-08-23,27876.0,81.0
160,2020-08-24,28142.0,266.0
161,2020-08-25,28365.0,223.0
162,2020-08-26,28578.0,213.0
163,2020-08-27,28778.0,200.0
164,2020-08-28,28984.0,206.0
165,2020-08-29,29072.0,88.0
166,2020-08-30,29171.0,99.0
167,2020-08-31,29377.0,206.0
168,2020-09-01,29571.0,194.0
169,2020-09-02,29750.0,179.0
170,2020-09-03,29926.0,176.0
171,2020-09-04,30093.0,167.0
172,2020-09-05,30205.0,112.0
173,2020-09-06,30276.0,71.0
174,2020-09-07,30454.0,178.0
175,2020-09-08,30610.0,156.0
176,2020-09-09,30787.0,177.0
177,2020-09-10,30960.0,173.0
178,2020-09-11,31086.0,126.0
179,2020-09-12,31159.0,73.0
180,2020-09-13,31210.0,51.0
181,2020-09-14,31391.0,181.0
182,2020-09-15,31512.0,121.0
183,2020-09-16,31587.0,75.0
184,2020-09-17,31761.0,174.0
185,2020-09-18,31899.0,138.0
186,2020-09-19,31981.0,82.0
187,2020-09-20,32037.0,56.0
188,2020-09-21,32220.0,183.0
189,2020-09-22,32393.0,173.0
190,2020-09-23,32519.0,126.0
191,2020-09-24,32641.0,122.0
192,2020-09-25,32789.0,148.0
193,2020-09-26,32872.0,83.0
194,2020-09-27,32937.0,65.0
195,2020-09-28,33094.0,157.0
196,2020-09-29,33192.0,98.0
197,2020-09-30,33303.0,111.0
198,2020-10-01,33431.0,128.0
199,2020-10-02,33578.0,147.0
200,2020-10-03,33626.0,48.0
201,2020-10-04,33681.0,55.0
202,2020-10-05,33828.0,147.0
203,2020-10-06,33954.0,126.0
204,2020-10-07,34091.0,137.0
205,2020-10-08,34197.0,106.0
206,2020-10-09,34324.0,127.0
207,2020-10-10,34395.0,71.0
208,2020-10-11,34440.0,45.0
209,2020-10-12,34611.0,171.0
210,2020-10-13,34737.0,126.0
211,2020-10-14,34875.0,138.0
212,2020-10-15,35033.0,158.0
213,2020-10-16,35177.0,144.0
214,2020-10-17,35256.0,79.0
215,2020-10-18,35312.0,56.0
216,2020-10-19,35502.0,190.0
217,2020-10-20,35659.0,157.0
218,2020-10-21,35802.0,143.0
219,2020-10-22,35949.0,147.0
220,2020-10-23,36122.0,173.0
221,2020-10-24,36218.0,96.0
222,2020-10-25,36288.0,70.0
223,2020-10-26,36454.0,166.0
224,2020-10-27,36606.0,152.0
225,2020-10-28,36751.0,145.0
226,2020-10-29,36920.0,169.0
227,2020-10-30,37069.0,149.0
228,2020-10-31,37142.0,73.0
229,2020-11-01,37188.0,46.0
230,2020-11-02,37303.0,115.0
231,2020-11-03,37483.0,180.0
232,2020-11-04,37628.0,145.0
233,2020-11-05,37769.0,141.0
234,2020-11-06,37928.0,159.0
235,2020-11-07,38020.0,92.0
236,2020-11-08,38070.0,50.0
237,2020-11-09,38257.0,187.0
238,2020-11-10,38415.0,158.0
239,2020-11-11,38617.0,202.0
240,2020-11-12,38814.0,197.0
241,2020-11-13,38976.0,162.0
242,2020-11-14,39085.0,109.0
243,2020-11-15,39158.0,73.0
244,2020-11-16,39239.0,81.0
245,2020-11-17,39480.0,241.0
246,2020-11-18,39666.0,186.0
247,2020-11-19,39886.0,220.0
248,2020-11-20,40052.0,166.0
249,2020-11-21,40165.0,113.0
250,2020-11-22,40236.0,71.0
251,2020-11-23,40453.0,217.0
252,2020-11-24,40681.0,228.0
253,2020-11-25,40896.0,215.0
254,2020-11-26,41106.0,210.0
255,2020-11-27,41339.0,233.0
256,2020-11-28,41499.0,160.0
257,2020-11-29,41572.0,73.0
258,2020-11-30,41814.0,242.0
259,2020-12-01,42084.0,270.0
260,2020-12-02,42368.0,284.0
261,2020-12-03,42630.0,262.0
262,2020-12-04,42879.0,249.0
263,2020-12-05,43053.0,174.0
264,2020-12-06,43137.0,84.0
265,2020-12-07,43421.0,284.0
266,2020-12-08,43662.0,241.0
267,2020-12-09,43980.0,318.0
268,2020-12-10,44247.0,267.0
269,2020-12-11,44539.0,292.0
270,2020-12-12,44728.0,189.0
271,2020-12-13,44834.0,106.0
272,2020-12-14,45148.0,314.0
273,2020-12-15,45473.0,325.0
274,2020-12-16,45858.0,385.0
275,2020-12-17,46164.0,306.0
276,2020-12-18,46488.0,324.0
277,2020-12-19,46708.0,220.0
278,2020-12-20,46874.0,166.0
279,2020-12-21,47310.0,436.0
280,2020-12-22,47704.0,394.0
281,2020-12-23,48055.0,351.0
282,2020-12-24,48398.0,343.0
283,2020-12-25,48512.0,114.0
284,2020-12-26,48749.0,237.0
285,2020-12-27,48947.0,198.0
286,2020-12-28,49435.0,488.0
287,2020-12-29,49894.0,459.0
288,2020-12-30,50378.0,484.0
289,2020-12-31,50728.0,350.0
290,2021-01-01,50905.0,177.0
291,2021-01-02,51246.0,341.0
292,2021-01-03,51482.0,236.0
293,2021-01-04,52049.0,567.0
294,2021-01-05,52647.0,598.0
295,2021-01-06,53306.0,659.0
296,2021-01-07,53878.0,572.0
297,2021-01-08,54559.0,681.0
298,2021-01-09,55037.0,478.0
299,2021-01-10,55383.0,346.0
300,2021-01-11,56077.0,694.0
301,2021-01-12,56809.0,732.0
302,2021-01-13,57420.0,611.0
303,2021-01-14,58051.0,631.0
304,2021-01-15,58636.0,585.0
305,2021-01-16,59079.0,443.0
306,2021-01-17,59343.0,264.0
