,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-24,23.0,5.0
1,2020-03-25,25.0,2.0
2,2020-03-26,26.0,1.0
3,2020-03-27,30.0,4.0
4,2020-03-28,32.0,2.0
5,2020-03-29,33.0,1.0
6,2020-03-30,34.0,1.0
7,2020-03-31,38.0,4.0
8,2020-04-01,42.0,4.0
9,2020-04-02,43.0,1.0
10,2020-04-03,47.0,4.0
11,2020-04-04,48.0,1.0
12,2020-04-05,48.0,0.0
13,2020-04-06,52.0,4.0
14,2020-04-07,57.0,5.0
15,2020-04-08,60.0,3.0
16,2020-04-09,63.0,3.0
17,2020-04-10,65.0,2.0
18,2020-04-11,68.0,3.0
19,2020-04-12,69.0,1.0
20,2020-04-13,78.0,9.0
21,2020-04-14,86.0,8.0
22,2020-04-15,89.0,3.0
23,2020-04-16,97.0,8.0
24,2020-04-17,104.0,7.0
25,2020-04-18,107.0,3.0
26,2020-04-19,109.0,2.0
27,2020-04-20,114.0,5.0
28,2020-04-21,116.0,2.0
29,2020-04-22,123.0,7.0
30,2020-04-23,132.0,9.0
31,2020-04-24,143.0,11.0
32,2020-04-25,144.0,1.0
33,2020-04-26,146.0,2.0
34,2020-04-27,149.0,3.0
35,2020-04-28,159.0,10.0
36,2020-04-29,171.0,12.0
37,2020-04-30,177.0,6.0
38,2020-05-01,185.0,8.0
39,2020-05-02,197.0,12.0
40,2020-05-03,202.0,5.0
41,2020-05-04,212.0,10.0
42,2020-05-05,223.0,11.0
43,2020-05-06,232.0,9.0
44,2020-05-07,247.0,15.0
45,2020-05-08,273.0,26.0
46,2020-05-09,299.0,26.0
47,2020-05-10,318.0,19.0
48,2020-05-11,365.0,47.0
49,2020-05-12,399.0,34.0
50,2020-05-13,428.0,29.0
51,2020-05-14,469.0,41.0
52,2020-05-15,518.0,49.0
53,2020-05-16,546.0,28.0
54,2020-05-17,563.0,17.0
55,2020-05-18,609.0,46.0
56,2020-05-19,671.0,62.0
57,2020-05-20,713.0,42.0
58,2020-05-21,751.0,38.0
59,2020-05-22,790.0,39.0
60,2020-05-23,812.0,22.0
61,2020-05-24,824.0,12.0
62,2020-05-25,877.0,53.0
63,2020-05-26,916.0,39.0
64,2020-05-27,952.0,36.0
65,2020-05-28,982.0,30.0
66,2020-05-29,1020.0,38.0
67,2020-05-30,1048.0,28.0
68,2020-05-31,1069.0,21.0
69,2020-06-01,1108.0,39.0
70,2020-06-02,1158.0,50.0
71,2020-06-03,1204.0,46.0
72,2020-06-04,1250.0,46.0
73,2020-06-05,1286.0,36.0
74,2020-06-06,1316.0,30.0
75,2020-06-07,1345.0,29.0
76,2020-06-08,1399.0,54.0
77,2020-06-09,1444.0,45.0
78,2020-06-10,1482.0,38.0
79,2020-06-11,1514.0,32.0
80,2020-06-12,1556.0,42.0
81,2020-06-13,1592.0,36.0
82,2020-06-14,1615.0,23.0
83,2020-06-15,1674.0,59.0
84,2020-06-16,1717.0,43.0
85,2020-06-17,1761.0,44.0
86,2020-06-18,1802.0,41.0
87,2020-06-19,1830.0,28.0
88,2020-06-20,1864.0,34.0
89,2020-06-21,1883.0,19.0
90,2020-06-22,1933.0,50.0
91,2020-06-23,1974.0,41.0
92,2020-06-24,2016.0,42.0
93,2020-06-25,2055.0,39.0
94,2020-06-26,2097.0,42.0
95,2020-06-27,2120.0,23.0
96,2020-06-28,2145.0,25.0
97,2020-06-29,2207.0,62.0
98,2020-06-30,2262.0,55.0
99,2020-07-01,2311.0,49.0
100,2020-07-02,2374.0,63.0
101,2020-07-03,2407.0,33.0
102,2020-07-04,2433.0,26.0
103,2020-07-05,2469.0,36.0
104,2020-07-06,2523.0,54.0
105,2020-07-07,2599.0,76.0
106,2020-07-08,2660.0,61.0
107,2020-07-09,2727.0,67.0
108,2020-07-10,2786.0,59.0
109,2020-07-11,2836.0,50.0
110,2020-07-12,2868.0,32.0
111,2020-07-13,2953.0,85.0
112,2020-07-14,3013.0,60.0
113,2020-07-15,3107.0,94.0
114,2020-07-16,3180.0,73.0
115,2020-07-17,3261.0,81.0
116,2020-07-18,3308.0,47.0
117,2020-07-19,3341.0,33.0
118,2020-07-20,3422.0,81.0
119,2020-07-21,3497.0,75.0
120,2020-07-22,3573.0,76.0
121,2020-07-23,3643.0,70.0
122,2020-07-24,3701.0,58.0
123,2020-07-25,3748.0,47.0
124,2020-07-26,3788.0,40.0
125,2020-07-27,3872.0,84.0
126,2020-07-28,3958.0,86.0
127,2020-07-29,4041.0,83.0
128,2020-07-30,4119.0,78.0
129,2020-07-31,4198.0,79.0
130,2020-08-01,4247.0,49.0
131,2020-08-02,4280.0,33.0
132,2020-08-03,4376.0,96.0
133,2020-08-04,4467.0,91.0
134,2020-08-05,4540.0,73.0
135,2020-08-06,4645.0,105.0
136,2020-08-07,4730.0,85.0
137,2020-08-08,4773.0,43.0
138,2020-08-09,4809.0,36.0
139,2020-08-10,4931.0,122.0
140,2020-08-11,5023.0,92.0
141,2020-08-12,5119.0,96.0
142,2020-08-13,5189.0,70.0
143,2020-08-14,5292.0,103.0
144,2020-08-15,5356.0,64.0
145,2020-08-16,5408.0,52.0
146,2020-08-17,5508.0,100.0
147,2020-08-18,5593.0,85.0
148,2020-08-19,5714.0,121.0
149,2020-08-20,5807.0,93.0
150,2020-08-21,5898.0,91.0
151,2020-08-22,5951.0,53.0
152,2020-08-23,5981.0,30.0
153,2020-08-24,6117.0,136.0
154,2020-08-25,6253.0,136.0
155,2020-08-26,6393.0,140.0
156,2020-08-27,6508.0,115.0
157,2020-08-28,6614.0,106.0
158,2020-08-29,6698.0,84.0
159,2020-08-30,6759.0,61.0
160,2020-08-31,6903.0,144.0
161,2020-09-01,7064.0,161.0
162,2020-09-02,7173.0,109.0
163,2020-09-03,7284.0,111.0
164,2020-09-04,7407.0,123.0
165,2020-09-05,7464.0,57.0
166,2020-09-06,7509.0,45.0
167,2020-09-07,7621.0,112.0
168,2020-09-08,7733.0,112.0
169,2020-09-09,7840.0,107.0
170,2020-09-10,7907.0,67.0
171,2020-09-11,7998.0,91.0
172,2020-09-12,8034.0,36.0
173,2020-09-13,8076.0,42.0
174,2020-09-14,8181.0,105.0
175,2020-09-15,8253.0,72.0
176,2020-09-16,8285.0,32.0
177,2020-09-17,8371.0,86.0
178,2020-09-18,8446.0,75.0
179,2020-09-19,8503.0,57.0
180,2020-09-20,8547.0,44.0
