,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-19,21.0,5.0
1,2020-03-20,22.0,1.0
2,2020-03-21,25.0,3.0
3,2020-03-22,29.0,4.0
4,2020-03-23,32.0,3.0
5,2020-03-24,39.0,7.0
6,2020-03-25,49.0,10.0
7,2020-03-26,59.0,10.0
8,2020-03-27,66.0,7.0
9,2020-03-28,73.0,7.0
10,2020-03-29,76.0,3.0
11,2020-03-30,98.0,22.0
12,2020-03-31,113.0,15.0
13,2020-04-01,137.0,24.0
14,2020-04-02,150.0,13.0
15,2020-04-03,164.0,14.0
16,2020-04-04,174.0,10.0
17,2020-04-05,185.0,11.0
18,2020-04-06,220.0,35.0
19,2020-04-07,244.0,24.0
20,2020-04-08,273.0,29.0
21,2020-04-09,284.0,11.0
22,2020-04-10,307.0,23.0
23,2020-04-11,327.0,20.0
24,2020-04-12,350.0,23.0
25,2020-04-13,373.0,23.0
26,2020-04-14,390.0,17.0
27,2020-04-15,411.0,21.0
28,2020-04-16,442.0,31.0
29,2020-04-17,476.0,34.0
30,2020-04-18,523.0,47.0
31,2020-04-19,548.0,25.0
32,2020-04-20,595.0,47.0
33,2020-04-21,639.0,44.0
34,2020-04-22,675.0,36.0
35,2020-04-23,724.0,49.0
36,2020-04-24,749.0,25.0
37,2020-04-25,781.0,32.0
38,2020-04-26,812.0,31.0
39,2020-04-27,857.0,45.0
40,2020-04-28,901.0,44.0
41,2020-04-29,941.0,40.0
42,2020-04-30,975.0,34.0
43,2020-05-01,1007.0,32.0
44,2020-05-02,1079.0,72.0
45,2020-05-03,1110.0,31.0
46,2020-05-04,1146.0,36.0
47,2020-05-05,1173.0,27.0
48,2020-05-06,1214.0,41.0
49,2020-05-07,1255.0,41.0
50,2020-05-08,1283.0,28.0
51,2020-05-09,1304.0,21.0
52,2020-05-10,1327.0,23.0
53,2020-05-11,1376.0,49.0
54,2020-05-12,1414.0,38.0
55,2020-05-13,1441.0,27.0
56,2020-05-14,1481.0,40.0
57,2020-05-15,1503.0,22.0
58,2020-05-16,1522.0,19.0
59,2020-05-17,1535.0,13.0
60,2020-05-18,1583.0,48.0
61,2020-05-19,1620.0,37.0
62,2020-05-20,1666.0,46.0
63,2020-05-21,1706.0,40.0
64,2020-05-22,1754.0,48.0
65,2020-05-23,1794.0,40.0
66,2020-05-24,1819.0,25.0
67,2020-05-25,1868.0,49.0
68,2020-05-26,1900.0,32.0
69,2020-05-27,1943.0,43.0
70,2020-05-28,1992.0,49.0
71,2020-05-29,2039.0,47.0
72,2020-05-30,2065.0,26.0
73,2020-05-31,2087.0,22.0
74,2020-06-01,2132.0,45.0
75,2020-06-02,2195.0,63.0
76,2020-06-03,2239.0,44.0
77,2020-06-04,2277.0,38.0
78,2020-06-05,2316.0,39.0
79,2020-06-06,2340.0,24.0
80,2020-06-07,2369.0,29.0
81,2020-06-08,2424.0,55.0
82,2020-06-09,2475.0,51.0
83,2020-06-10,2533.0,58.0
84,2020-06-11,2588.0,55.0
85,2020-06-12,2639.0,51.0
86,2020-06-13,2672.0,33.0
87,2020-06-14,2724.0,52.0
88,2020-06-15,2816.0,92.0
89,2020-06-16,2880.0,64.0
90,2020-06-17,2945.0,65.0
91,2020-06-18,3013.0,68.0
92,2020-06-19,3095.0,82.0
93,2020-06-20,3133.0,38.0
94,2020-06-21,3187.0,54.0
95,2020-06-22,3296.0,109.0
96,2020-06-23,3388.0,92.0
97,2020-06-24,3470.0,82.0
98,2020-06-25,3573.0,103.0
99,2020-06-26,3710.0,137.0
100,2020-06-27,3774.0,64.0
101,2020-06-28,3840.0,66.0
102,2020-06-29,4015.0,175.0
103,2020-06-30,4166.0,151.0
104,2020-07-01,4294.0,128.0
105,2020-07-02,4449.0,155.0
106,2020-07-03,4579.0,130.0
107,2020-07-04,4655.0,76.0
