,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-23,22.0,2.0
1,2020-03-24,22.0,0.0
2,2020-03-25,23.0,1.0
3,2020-03-26,24.0,1.0
4,2020-03-27,32.0,8.0
5,2020-03-28,33.0,1.0
6,2020-03-29,39.0,6.0
7,2020-03-30,42.0,3.0
8,2020-03-31,44.0,2.0
9,2020-04-01,44.0,0.0
10,2020-04-02,44.0,0.0
11,2020-04-03,44.0,0.0
12,2020-04-04,47.0,3.0
13,2020-04-05,49.0,2.0
14,2020-04-06,52.0,3.0
15,2020-04-07,57.0,5.0
16,2020-04-08,59.0,2.0
17,2020-04-09,63.0,4.0
18,2020-04-10,64.0,1.0
19,2020-04-11,67.0,3.0
20,2020-04-12,67.0,0.0
21,2020-04-13,68.0,1.0
22,2020-04-14,69.0,1.0
23,2020-04-15,71.0,2.0
24,2020-04-16,73.0,2.0
25,2020-04-17,81.0,8.0
26,2020-04-18,82.0,1.0
27,2020-04-19,83.0,1.0
28,2020-04-20,84.0,1.0
29,2020-04-21,88.0,4.0
30,2020-04-22,91.0,3.0
31,2020-04-23,96.0,5.0
32,2020-04-24,102.0,6.0
33,2020-04-25,110.0,8.0
34,2020-04-26,113.0,3.0
35,2020-04-27,128.0,15.0
36,2020-04-28,146.0,18.0
37,2020-04-29,155.0,9.0
38,2020-04-30,166.0,11.0
39,2020-05-01,180.0,14.0
40,2020-05-02,194.0,14.0
41,2020-05-03,203.0,9.0
42,2020-05-04,230.0,27.0
43,2020-05-05,246.0,16.0
44,2020-05-06,280.0,34.0
45,2020-05-07,293.0,13.0
46,2020-05-08,319.0,26.0
47,2020-05-09,331.0,12.0
48,2020-05-10,350.0,19.0
49,2020-05-11,381.0,31.0
50,2020-05-12,404.0,23.0
51,2020-05-13,430.0,26.0
52,2020-05-14,465.0,35.0
53,2020-05-15,492.0,27.0
54,2020-05-16,518.0,26.0
55,2020-05-17,533.0,15.0
56,2020-05-18,567.0,34.0
57,2020-05-19,595.0,28.0
58,2020-05-20,635.0,40.0
59,2020-05-21,672.0,37.0
60,2020-05-22,727.0,55.0
61,2020-05-23,748.0,21.0
62,2020-05-24,769.0,21.0
63,2020-05-25,818.0,49.0
64,2020-05-26,857.0,39.0
65,2020-05-27,916.0,59.0
66,2020-05-28,954.0,38.0
67,2020-05-29,1004.0,50.0
68,2020-05-30,1028.0,24.0
69,2020-05-31,1046.0,18.0
70,2020-06-01,1097.0,51.0
71,2020-06-02,1151.0,54.0
72,2020-06-03,1228.0,77.0
73,2020-06-04,1307.0,79.0
74,2020-06-05,1383.0,76.0
75,2020-06-06,1440.0,57.0
76,2020-06-07,1489.0,49.0
77,2020-06-08,1605.0,116.0
78,2020-06-09,1698.0,93.0
79,2020-06-10,1782.0,84.0
80,2020-06-11,1860.0,78.0
81,2020-06-12,1920.0,60.0
82,2020-06-13,1951.0,31.0
83,2020-06-14,1974.0,23.0
84,2020-06-15,2088.0,114.0
85,2020-06-16,2191.0,103.0
86,2020-06-17,2305.0,114.0
87,2020-06-18,2398.0,93.0
88,2020-06-19,2495.0,97.0
89,2020-06-20,2546.0,51.0
90,2020-06-21,2587.0,41.0
91,2020-06-22,2711.0,124.0
92,2020-06-23,2843.0,132.0
93,2020-06-24,2962.0,119.0
94,2020-06-25,3085.0,123.0
95,2020-06-26,3192.0,107.0
96,2020-06-27,3287.0,95.0
97,2020-06-28,3330.0,43.0
98,2020-06-29,3467.0,137.0
99,2020-06-30,3609.0,142.0
100,2020-07-01,3758.0,149.0
101,2020-07-02,3913.0,155.0
102,2020-07-03,4084.0,171.0
103,2020-07-04,4162.0,78.0
104,2020-07-05,4220.0,58.0
105,2020-07-06,4430.0,210.0
106,2020-07-07,4626.0,196.0
107,2020-07-08,4832.0,206.0
108,2020-07-09,5064.0,232.0
109,2020-07-10,5337.0,273.0
110,2020-07-11,5514.0,177.0
111,2020-07-12,5620.0,106.0
112,2020-07-13,5972.0,352.0
113,2020-07-14,6327.0,355.0
114,2020-07-15,6749.0,422.0
115,2020-07-16,7115.0,366.0
116,2020-07-17,7524.0,409.0
117,2020-07-18,7741.0,217.0
118,2020-07-19,7986.0,245.0
119,2020-07-20,8406.0,420.0
120,2020-07-21,8816.0,410.0
121,2020-07-22,9203.0,387.0
122,2020-07-23,9603.0,400.0
123,2020-07-24,10004.0,401.0
124,2020-07-25,10250.0,246.0
125,2020-07-26,10395.0,145.0
126,2020-07-27,10796.0,401.0
127,2020-07-28,11205.0,409.0
128,2020-07-29,11577.0,372.0
129,2020-07-30,11877.0,300.0
130,2020-07-31,12226.0,349.0
131,2020-08-01,12432.0,206.0
132,2020-08-02,12558.0,126.0
133,2020-08-03,12927.0,369.0
134,2020-08-04,13257.0,330.0
135,2020-08-05,13608.0,351.0
136,2020-08-06,13949.0,341.0
137,2020-08-07,14243.0,294.0
138,2020-08-08,14424.0,181.0
139,2020-08-09,14537.0,113.0
140,2020-08-10,14843.0,306.0
141,2020-08-11,15101.0,258.0
142,2020-08-12,15380.0,279.0
143,2020-08-13,15637.0,257.0
144,2020-08-14,15909.0,272.0
145,2020-08-15,16056.0,147.0
146,2020-08-16,16212.0,156.0
147,2020-08-17,16535.0,323.0
148,2020-08-18,16826.0,291.0
149,2020-08-19,17108.0,282.0
