,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-25,27.0,8.0
1,2020-03-26,36.0,9.0
2,2020-03-27,46.0,10.0
3,2020-03-28,53.0,7.0
4,2020-03-29,60.0,7.0
5,2020-03-30,72.0,12.0
6,2020-03-31,88.0,16.0
7,2020-04-01,102.0,14.0
8,2020-04-02,131.0,29.0
9,2020-04-03,141.0,10.0
10,2020-04-04,155.0,14.0
11,2020-04-05,170.0,15.0
12,2020-04-06,202.0,32.0
13,2020-04-07,227.0,25.0
14,2020-04-08,256.0,29.0
15,2020-04-09,269.0,13.0
16,2020-04-10,303.0,34.0
17,2020-04-11,328.0,25.0
18,2020-04-12,351.0,23.0
19,2020-04-13,403.0,52.0
20,2020-04-14,450.0,47.0
21,2020-04-15,502.0,52.0
22,2020-04-16,544.0,42.0
23,2020-04-17,589.0,45.0
24,2020-04-18,624.0,35.0
25,2020-04-19,657.0,33.0
26,2020-04-20,722.0,65.0
27,2020-04-21,769.0,47.0
28,2020-04-22,825.0,56.0
29,2020-04-23,893.0,68.0
30,2020-04-24,965.0,72.0
31,2020-04-25,1020.0,55.0
32,2020-04-26,1060.0,40.0
33,2020-04-27,1148.0,88.0
34,2020-04-28,1200.0,52.0
35,2020-04-29,1257.0,57.0
36,2020-04-30,1315.0,58.0
37,2020-05-01,1375.0,60.0
38,2020-05-02,1424.0,49.0
39,2020-05-03,1458.0,34.0
40,2020-05-04,1540.0,82.0
41,2020-05-05,1601.0,61.0
42,2020-05-06,1687.0,86.0
43,2020-05-07,1756.0,69.0
44,2020-05-08,1824.0,68.0
45,2020-05-09,1877.0,53.0
46,2020-05-10,1921.0,44.0
47,2020-05-11,1994.0,73.0
48,2020-05-12,2083.0,89.0
49,2020-05-13,2166.0,83.0
50,2020-05-14,2271.0,105.0
51,2020-05-15,2370.0,99.0
52,2020-05-16,2440.0,70.0
53,2020-05-17,2507.0,67.0
54,2020-05-18,2659.0,152.0
55,2020-05-19,2769.0,110.0
56,2020-05-20,2896.0,127.0
57,2020-05-21,3016.0,120.0
