,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-26,21.0,1.0
1,2020-03-27,27.0,6.0
2,2020-03-28,31.0,4.0
3,2020-03-29,31.0,0.0
4,2020-03-30,32.0,1.0
5,2020-03-31,37.0,5.0
6,2020-04-01,38.0,1.0
7,2020-04-02,41.0,3.0
8,2020-04-03,43.0,2.0
9,2020-04-04,50.0,7.0
10,2020-04-05,52.0,2.0
11,2020-04-06,64.0,12.0
12,2020-04-07,79.0,15.0
13,2020-04-08,95.0,16.0
14,2020-04-09,102.0,7.0
15,2020-04-10,110.0,8.0
16,2020-04-11,116.0,6.0
17,2020-04-12,121.0,5.0
18,2020-04-13,141.0,20.0
19,2020-04-14,147.0,6.0
20,2020-04-15,163.0,16.0
21,2020-04-16,179.0,16.0
22,2020-04-17,194.0,15.0
23,2020-04-18,208.0,14.0
24,2020-04-19,215.0,7.0
25,2020-04-20,224.0,9.0
26,2020-04-21,239.0,15.0
27,2020-04-22,262.0,23.0
28,2020-04-23,272.0,10.0
29,2020-04-24,292.0,20.0
30,2020-04-25,301.0,9.0
31,2020-04-26,318.0,17.0
32,2020-04-27,353.0,35.0
33,2020-04-28,382.0,29.0
34,2020-04-29,408.0,26.0
35,2020-04-30,448.0,40.0
36,2020-05-01,485.0,37.0
37,2020-05-02,518.0,33.0
38,2020-05-03,544.0,26.0
39,2020-05-04,613.0,69.0
40,2020-05-05,675.0,62.0
41,2020-05-06,721.0,46.0
42,2020-05-07,769.0,48.0
43,2020-05-08,823.0,54.0
44,2020-05-09,876.0,53.0
45,2020-05-10,906.0,30.0
46,2020-05-11,986.0,80.0
47,2020-05-12,1062.0,76.0
48,2020-05-13,1177.0,115.0
49,2020-05-14,1266.0,89.0
50,2020-05-15,1372.0,106.0
51,2020-05-16,1443.0,71.0
52,2020-05-17,1505.0,62.0
53,2020-05-18,1677.0,172.0
54,2020-05-19,1834.0,157.0
55,2020-05-20,1991.0,157.0
56,2020-05-21,2176.0,185.0
57,2020-05-22,2340.0,164.0
58,2020-05-23,2477.0,137.0
59,2020-05-24,2587.0,110.0
60,2020-05-25,2829.0,242.0
61,2020-05-26,3106.0,277.0
62,2020-05-27,3345.0,239.0
63,2020-05-28,3612.0,267.0
64,2020-05-29,3832.0,220.0
65,2020-05-30,3982.0,150.0
66,2020-05-31,4109.0,127.0
67,2020-06-01,4356.0,247.0
68,2020-06-02,4602.0,246.0
69,2020-06-03,4859.0,257.0
70,2020-06-04,5109.0,250.0
71,2020-06-05,5372.0,263.0
72,2020-06-06,5542.0,170.0
73,2020-06-07,5663.0,121.0
74,2020-06-08,5951.0,288.0
75,2020-06-09,6253.0,302.0
76,2020-06-10,6524.0,271.0
77,2020-06-11,6802.0,278.0
78,2020-06-12,7078.0,276.0
79,2020-06-13,7260.0,182.0
80,2020-06-14,7412.0,152.0
81,2020-06-15,7713.0,301.0
82,2020-06-16,8030.0,317.0
83,2020-06-17,8364.0,334.0
84,2020-06-18,8643.0,279.0
85,2020-06-19,8947.0,304.0
86,2020-06-20,9150.0,203.0
87,2020-06-21,9321.0,171.0
88,2020-06-22,9687.0,366.0
89,2020-06-23,10057.0,370.0
90,2020-06-24,10413.0,356.0
91,2020-06-25,10797.0,384.0
92,2020-06-26,11145.0,348.0
93,2020-06-27,11359.0,214.0
94,2020-06-28,11557.0,198.0
95,2020-06-29,11965.0,408.0
96,2020-06-30,12452.0,487.0
97,2020-07-01,12897.0,445.0
98,2020-07-02,13368.0,471.0
99,2020-07-03,13834.0,466.0
100,2020-07-04,14059.0,225.0
101,2020-07-05,14335.0,276.0
102,2020-07-06,14918.0,583.0
103,2020-07-07,15464.0,546.0
104,2020-07-08,15971.0,507.0
105,2020-07-09,16412.0,441.0
106,2020-07-10,16838.0,426.0
107,2020-07-11,17107.0,269.0
108,2020-07-12,17320.0,213.0
109,2020-07-13,17934.0,614.0
110,2020-07-14,18427.0,493.0
111,2020-07-15,18887.0,460.0
112,2020-07-16,19281.0,394.0
113,2020-07-17,19697.0,416.0
114,2020-07-18,19908.0,211.0
115,2020-07-19,20101.0,193.0
116,2020-07-20,20519.0,418.0
117,2020-07-21,20811.0,292.0
118,2020-07-22,21103.0,292.0
119,2020-07-23,21430.0,327.0
120,2020-07-24,21788.0,358.0
121,2020-07-25,21976.0,188.0
122,2020-07-26,22167.0,191.0
123,2020-07-27,22572.0,405.0
124,2020-07-28,23014.0,442.0
125,2020-07-29,23436.0,422.0
126,2020-07-30,23871.0,435.0
127,2020-07-31,24229.0,358.0
128,2020-08-01,24403.0,174.0
129,2020-08-02,24535.0,132.0
130,2020-08-03,24919.0,384.0
131,2020-08-04,25273.0,354.0
132,2020-08-05,25662.0,389.0
133,2020-08-06,25988.0,326.0
134,2020-08-07,26303.0,315.0
135,2020-08-08,26522.0,219.0
136,2020-08-09,26674.0,152.0
137,2020-08-10,26989.0,315.0
138,2020-08-11,27265.0,276.0
139,2020-08-12,27524.0,259.0
140,2020-08-13,27769.0,245.0
141,2020-08-14,28064.0,295.0
142,2020-08-15,28169.0,105.0
143,2020-08-16,28256.0,87.0
144,2020-08-17,28543.0,287.0
145,2020-08-18,28836.0,293.0
146,2020-08-19,29068.0,232.0
147,2020-08-20,29332.0,264.0
148,2020-08-21,29587.0,255.0
149,2020-08-22,29780.0,193.0
150,2020-08-23,29852.0,72.0
151,2020-08-24,30116.0,264.0
152,2020-08-25,30390.0,274.0
153,2020-08-26,30681.0,291.0
154,2020-08-27,30867.0,186.0
155,2020-08-28,31085.0,218.0
156,2020-08-29,31217.0,132.0
157,2020-08-30,31271.0,54.0
158,2020-08-31,31513.0,242.0
159,2020-09-01,31757.0,244.0
160,2020-09-02,31913.0,156.0
161,2020-09-03,32043.0,130.0
162,2020-09-04,32240.0,197.0
163,2020-09-05,32332.0,92.0
164,2020-09-06,32388.0,56.0
165,2020-09-07,32562.0,174.0
166,2020-09-08,32776.0,214.0
167,2020-09-09,32983.0,207.0
168,2020-09-10,33126.0,143.0
169,2020-09-11,33255.0,129.0
170,2020-09-12,33330.0,75.0
171,2020-09-13,33393.0,63.0
172,2020-09-14,33610.0,217.0
173,2020-09-15,33747.0,137.0
174,2020-09-16,33839.0,92.0
175,2020-09-17,34016.0,177.0
176,2020-09-18,34161.0,145.0
177,2020-09-19,34255.0,94.0
178,2020-09-20,34288.0,33.0
179,2020-09-21,34455.0,167.0
180,2020-09-22,34659.0,204.0
181,2020-09-23,34849.0,190.0
182,2020-09-24,35006.0,157.0
183,2020-09-25,35157.0,151.0
184,2020-09-26,35233.0,76.0
185,2020-09-27,35277.0,44.0
186,2020-09-28,35485.0,208.0
187,2020-09-29,35697.0,212.0
188,2020-09-30,35877.0,180.0
189,2020-10-01,36056.0,179.0
190,2020-10-02,36231.0,175.0
191,2020-10-03,36289.0,58.0
192,2020-10-04,36341.0,52.0
193,2020-10-05,36559.0,218.0
194,2020-10-06,36744.0,185.0
195,2020-10-07,36885.0,141.0
196,2020-10-08,37016.0,131.0
197,2020-10-09,37124.0,108.0
198,2020-10-10,37196.0,72.0
199,2020-10-11,37251.0,55.0
200,2020-10-12,37394.0,143.0
201,2020-10-13,37585.0,191.0
202,2020-10-14,37759.0,174.0
203,2020-10-15,37925.0,166.0
204,2020-10-16,38063.0,138.0
205,2020-10-17,38133.0,70.0
206,2020-10-18,38209.0,76.0
207,2020-10-19,38420.0,211.0
208,2020-10-20,38579.0,159.0
209,2020-10-21,38745.0,166.0
210,2020-10-22,38929.0,184.0
211,2020-10-23,39089.0,160.0
212,2020-10-24,39139.0,50.0
213,2020-10-25,39191.0,52.0
214,2020-10-26,39422.0,231.0
215,2020-10-27,39566.0,144.0
216,2020-10-28,39696.0,130.0
217,2020-10-29,39814.0,118.0
218,2020-10-30,39964.0,150.0
219,2020-10-31,40007.0,43.0
220,2020-11-01,40048.0,41.0
221,2020-11-02,40187.0,139.0
222,2020-11-03,40407.0,220.0
223,2020-11-04,40585.0,178.0
224,2020-11-05,40811.0,226.0
225,2020-11-06,40962.0,151.0
226,2020-11-07,41031.0,69.0
227,2020-11-08,41116.0,85.0
228,2020-11-09,41343.0,227.0
229,2020-11-10,41569.0,226.0
230,2020-11-11,41822.0,253.0
231,2020-11-12,42045.0,223.0
232,2020-11-13,42237.0,192.0
233,2020-11-14,42316.0,79.0
234,2020-11-15,42378.0,62.0
235,2020-11-16,42504.0,126.0
236,2020-11-17,42796.0,292.0
237,2020-11-18,43050.0,254.0
238,2020-11-19,43312.0,262.0
239,2020-11-20,43592.0,280.0
240,2020-11-21,43703.0,111.0
241,2020-11-22,43795.0,92.0
242,2020-11-23,44198.0,403.0
243,2020-11-24,44549.0,351.0
244,2020-11-25,44904.0,355.0
245,2020-11-26,45223.0,319.0
246,2020-11-27,45507.0,284.0
247,2020-11-28,45634.0,127.0
248,2020-11-29,45738.0,104.0
249,2020-11-30,46078.0,340.0
250,2020-12-01,46464.0,386.0
251,2020-12-02,46837.0,373.0
252,2020-12-03,47172.0,335.0
253,2020-12-04,47477.0,305.0
254,2020-12-05,47664.0,187.0
255,2020-12-06,47844.0,180.0
256,2020-12-07,48317.0,473.0
257,2020-12-08,48705.0,388.0
258,2020-12-09,49141.0,436.0
259,2020-12-10,49481.0,340.0
260,2020-12-11,49866.0,385.0
261,2020-12-12,50079.0,213.0
262,2020-12-13,50217.0,138.0
263,2020-12-14,50672.0,455.0
264,2020-12-15,51125.0,453.0
265,2020-12-16,51543.0,418.0
266,2020-12-17,51932.0,389.0
267,2020-12-18,52292.0,360.0
268,2020-12-19,52534.0,242.0
269,2020-12-20,52699.0,165.0
270,2020-12-21,53174.0,475.0
271,2020-12-22,53612.0,438.0
272,2020-12-23,54000.0,388.0
273,2020-12-24,54225.0,225.0
274,2020-12-25,54325.0,100.0
275,2020-12-26,54601.0,276.0
276,2020-12-27,54806.0,205.0
277,2020-12-28,55369.0,563.0
278,2020-12-29,55874.0,505.0
