,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-24,24.0,12.0
1,2020-03-25,27.0,3.0
2,2020-03-26,32.0,5.0
3,2020-03-27,43.0,11.0
4,2020-03-28,45.0,2.0
5,2020-03-29,54.0,9.0
6,2020-03-30,64.0,10.0
7,2020-03-31,75.0,11.0
8,2020-04-01,83.0,8.0
9,2020-04-02,98.0,15.0
10,2020-04-03,119.0,21.0
11,2020-04-04,122.0,3.0
12,2020-04-05,131.0,9.0
13,2020-04-06,139.0,8.0
14,2020-04-07,152.0,13.0
15,2020-04-08,170.0,18.0
16,2020-04-09,181.0,11.0
17,2020-04-10,197.0,16.0
18,2020-04-11,217.0,20.0
19,2020-04-12,245.0,28.0
20,2020-04-13,275.0,30.0
21,2020-04-14,322.0,47.0
22,2020-04-15,361.0,39.0
23,2020-04-16,405.0,44.0
24,2020-04-17,463.0,58.0
25,2020-04-18,512.0,49.0
26,2020-04-19,554.0,42.0
27,2020-04-20,628.0,74.0
28,2020-04-21,713.0,85.0
29,2020-04-22,780.0,67.0
30,2020-04-23,843.0,63.0
31,2020-04-24,914.0,71.0
32,2020-04-25,960.0,46.0
33,2020-04-26,1001.0,41.0
34,2020-04-27,1061.0,60.0
35,2020-04-28,1121.0,60.0
36,2020-04-29,1170.0,49.0
37,2020-04-30,1254.0,84.0
38,2020-05-01,1311.0,57.0
39,2020-05-02,1363.0,52.0
40,2020-05-03,1413.0,50.0
41,2020-05-04,1500.0,87.0
42,2020-05-05,1572.0,72.0
43,2020-05-06,1669.0,97.0
44,2020-05-07,1773.0,104.0
45,2020-05-08,1856.0,83.0
46,2020-05-09,1910.0,54.0
47,2020-05-10,1976.0,66.0
48,2020-05-11,2094.0,118.0
49,2020-05-12,2183.0,89.0
50,2020-05-13,2298.0,115.0
51,2020-05-14,2426.0,128.0
52,2020-05-15,2575.0,149.0
53,2020-05-16,2660.0,85.0
54,2020-05-17,2742.0,82.0
55,2020-05-18,2866.0,124.0
56,2020-05-19,2975.0,109.0
57,2020-05-20,3139.0,164.0
58,2020-05-21,3283.0,144.0
59,2020-05-22,3427.0,144.0
60,2020-05-23,3527.0,100.0
61,2020-05-24,3612.0,85.0
62,2020-05-25,3788.0,176.0
63,2020-05-26,3996.0,208.0
64,2020-05-27,4215.0,219.0
65,2020-05-28,4438.0,223.0
66,2020-05-29,4610.0,172.0
67,2020-05-30,4715.0,105.0
68,2020-05-31,4789.0,74.0
69,2020-06-01,4995.0,206.0
70,2020-06-02,5155.0,160.0
71,2020-06-03,5337.0,182.0
72,2020-06-04,5527.0,190.0
73,2020-06-05,5704.0,177.0
74,2020-06-06,5840.0,136.0
75,2020-06-07,5950.0,110.0
76,2020-06-08,6244.0,294.0
77,2020-06-09,6540.0,296.0
78,2020-06-10,6858.0,318.0
79,2020-06-11,7135.0,277.0
80,2020-06-12,7497.0,362.0
81,2020-06-13,7677.0,180.0
82,2020-06-14,7785.0,108.0
83,2020-06-15,8099.0,314.0
84,2020-06-16,8416.0,317.0
85,2020-06-17,8725.0,309.0
86,2020-06-18,9050.0,325.0
87,2020-06-19,9346.0,296.0
88,2020-06-20,9541.0,195.0
89,2020-06-21,9648.0,107.0
90,2020-06-22,9927.0,279.0
91,2020-06-23,10205.0,278.0
92,2020-06-24,10493.0,288.0
93,2020-06-25,10809.0,316.0
94,2020-06-26,11071.0,262.0
95,2020-06-27,11272.0,201.0
96,2020-06-28,11422.0,150.0
97,2020-06-29,11816.0,394.0
98,2020-06-30,12225.0,409.0
99,2020-07-01,12633.0,408.0
100,2020-07-02,13053.0,420.0
101,2020-07-03,13397.0,344.0
102,2020-07-04,13549.0,152.0
103,2020-07-05,13689.0,140.0
104,2020-07-06,14027.0,338.0
105,2020-07-07,14412.0,385.0
106,2020-07-08,14811.0,399.0
107,2020-07-09,15239.0,428.0
108,2020-07-10,15587.0,348.0
109,2020-07-11,15803.0,216.0
110,2020-07-12,16002.0,199.0
111,2020-07-13,16444.0,442.0
