,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-31,24.0,5.0
1,2020-04-01,33.0,9.0
2,2020-04-02,34.0,1.0
3,2020-04-03,43.0,9.0
4,2020-04-04,46.0,3.0
5,2020-04-05,50.0,4.0
6,2020-04-06,60.0,10.0
7,2020-04-07,67.0,7.0
8,2020-04-08,70.0,3.0
9,2020-04-09,75.0,5.0
10,2020-04-10,86.0,11.0
11,2020-04-11,92.0,6.0
12,2020-04-12,101.0,9.0
13,2020-04-13,116.0,15.0
14,2020-04-14,136.0,20.0
15,2020-04-15,153.0,17.0
16,2020-04-16,179.0,26.0
17,2020-04-17,215.0,36.0
18,2020-04-18,232.0,17.0
19,2020-04-19,243.0,11.0
20,2020-04-20,267.0,24.0
21,2020-04-21,286.0,19.0
22,2020-04-22,316.0,30.0
23,2020-04-23,350.0,34.0
24,2020-04-24,378.0,28.0
25,2020-04-25,419.0,41.0
26,2020-04-26,453.0,34.0
27,2020-04-27,483.0,30.0
28,2020-04-28,525.0,42.0
29,2020-04-29,562.0,37.0
30,2020-04-30,581.0,19.0
31,2020-05-01,613.0,32.0
32,2020-05-02,643.0,30.0
33,2020-05-03,668.0,25.0
34,2020-05-04,712.0,44.0
35,2020-05-05,749.0,37.0
36,2020-05-06,798.0,49.0
37,2020-05-07,845.0,47.0
38,2020-05-08,879.0,34.0
39,2020-05-09,909.0,30.0
40,2020-05-10,931.0,22.0
41,2020-05-11,972.0,41.0
42,2020-05-12,1024.0,52.0
43,2020-05-13,1067.0,43.0
44,2020-05-14,1104.0,37.0
45,2020-05-15,1171.0,67.0
46,2020-05-16,1223.0,52.0
47,2020-05-17,1242.0,19.0
48,2020-05-18,1307.0,65.0
49,2020-05-19,1360.0,53.0
50,2020-05-20,1425.0,65.0
51,2020-05-21,1501.0,76.0
52,2020-05-22,1593.0,92.0
53,2020-05-23,1663.0,70.0
54,2020-05-24,1704.0,41.0
55,2020-05-25,1827.0,123.0
56,2020-05-26,1941.0,114.0
57,2020-05-27,2050.0,109.0
58,2020-05-28,2120.0,70.0
59,2020-05-29,2205.0,85.0
60,2020-05-30,2271.0,66.0
61,2020-05-31,2322.0,51.0
62,2020-06-01,2462.0,140.0
63,2020-06-02,2560.0,98.0
64,2020-06-03,2654.0,94.0
65,2020-06-04,2759.0,105.0
66,2020-06-05,2874.0,115.0
67,2020-06-06,2961.0,87.0
68,2020-06-07,3036.0,75.0
69,2020-06-08,3176.0,140.0
70,2020-06-09,3308.0,132.0
71,2020-06-10,3484.0,176.0
72,2020-06-11,3618.0,134.0
73,2020-06-12,3855.0,237.0
74,2020-06-13,3999.0,144.0
75,2020-06-14,4120.0,121.0
76,2020-06-15,4373.0,253.0
77,2020-06-16,4672.0,299.0
78,2020-06-17,4883.0,211.0
79,2020-06-18,5102.0,219.0
80,2020-06-19,5325.0,223.0
81,2020-06-20,5533.0,208.0
82,2020-06-21,5665.0,132.0
83,2020-06-22,6004.0,339.0
84,2020-06-23,6306.0,302.0
85,2020-06-24,6612.0,306.0
86,2020-06-25,6998.0,386.0
87,2020-06-26,7440.0,442.0
88,2020-06-27,7667.0,227.0
89,2020-06-28,7837.0,170.0
90,2020-06-29,8326.0,489.0
91,2020-06-30,8710.0,384.0
92,2020-07-01,9144.0,434.0
93,2020-07-02,9517.0,373.0
94,2020-07-03,9908.0,391.0
95,2020-07-04,10122.0,214.0
96,2020-07-05,10315.0,193.0
97,2020-07-06,10750.0,435.0
98,2020-07-07,11218.0,468.0
99,2020-07-08,11635.0,417.0
100,2020-07-09,12038.0,403.0
101,2020-07-10,12374.0,336.0
102,2020-07-11,12612.0,238.0
103,2020-07-12,12757.0,145.0
104,2020-07-13,13192.0,435.0
105,2020-07-14,13702.0,510.0
106,2020-07-15,14181.0,479.0
107,2020-07-16,14666.0,485.0
108,2020-07-17,15099.0,433.0
109,2020-07-18,15371.0,272.0
110,2020-07-19,15598.0,227.0
111,2020-07-20,16046.0,448.0
112,2020-07-21,16464.0,418.0
113,2020-07-22,16863.0,399.0
114,2020-07-23,17224.0,361.0
115,2020-07-24,17624.0,400.0
116,2020-07-25,17872.0,248.0
117,2020-07-26,17970.0,98.0
118,2020-07-27,18284.0,314.0
119,2020-07-28,18607.0,323.0
120,2020-07-29,18958.0,351.0
121,2020-07-30,19229.0,271.0
122,2020-07-31,19440.0,211.0
123,2020-08-01,19627.0,187.0
124,2020-08-02,19711.0,84.0
125,2020-08-03,20033.0,322.0
126,2020-08-04,20324.0,291.0
127,2020-08-05,20570.0,246.0
128,2020-08-06,20838.0,268.0
129,2020-08-07,21142.0,304.0
130,2020-08-08,21357.0,215.0
131,2020-08-09,21475.0,118.0
132,2020-08-10,21794.0,319.0
133,2020-08-11,22130.0,336.0
134,2020-08-12,22364.0,234.0
135,2020-08-13,22599.0,235.0
136,2020-08-14,22828.0,229.0
137,2020-08-15,22954.0,126.0
138,2020-08-16,23041.0,87.0
139,2020-08-17,23285.0,244.0
140,2020-08-18,23518.0,233.0
141,2020-08-19,23683.0,165.0
142,2020-08-20,23875.0,192.0
143,2020-08-21,24136.0,261.0
144,2020-08-22,24230.0,94.0
145,2020-08-23,24297.0,67.0
146,2020-08-24,24483.0,186.0
147,2020-08-25,24644.0,161.0
148,2020-08-26,24831.0,187.0
149,2020-08-27,24999.0,168.0
150,2020-08-28,25180.0,181.0
151,2020-08-29,25258.0,78.0
152,2020-08-30,25349.0,91.0
153,2020-08-31,25599.0,250.0
154,2020-09-01,25851.0,252.0
155,2020-09-02,26098.0,247.0
156,2020-09-03,26343.0,245.0
157,2020-09-04,26571.0,228.0
158,2020-09-05,26690.0,119.0
159,2020-09-06,26757.0,67.0
160,2020-09-07,26982.0,225.0
161,2020-09-08,27193.0,211.0
162,2020-09-09,27377.0,184.0
163,2020-09-10,27539.0,162.0
164,2020-09-11,27706.0,167.0
165,2020-09-12,27783.0,77.0
166,2020-09-13,27824.0,41.0
