,Fecha,CasosAcumulados,CasosDiarios
0,2020-04-05,26.0,6.0
1,2020-04-06,34.0,8.0
2,2020-04-07,41.0,7.0
3,2020-04-08,47.0,6.0
4,2020-04-09,48.0,1.0
5,2020-04-10,54.0,6.0
6,2020-04-11,62.0,8.0
7,2020-04-12,65.0,3.0
8,2020-04-13,72.0,7.0
9,2020-04-14,79.0,7.0
10,2020-04-15,84.0,5.0
11,2020-04-16,93.0,9.0
12,2020-04-17,99.0,6.0
13,2020-04-18,102.0,3.0
14,2020-04-19,112.0,10.0
15,2020-04-20,121.0,9.0
16,2020-04-21,133.0,12.0
17,2020-04-22,141.0,8.0
18,2020-04-23,153.0,12.0
19,2020-04-24,168.0,15.0
20,2020-04-25,188.0,20.0
21,2020-04-26,201.0,13.0
22,2020-04-27,215.0,14.0
23,2020-04-28,239.0,24.0
24,2020-04-29,249.0,10.0
25,2020-04-30,265.0,16.0
26,2020-05-01,274.0,9.0
27,2020-05-02,290.0,16.0
28,2020-05-03,297.0,7.0
29,2020-05-04,323.0,26.0
30,2020-05-05,339.0,16.0
31,2020-05-06,362.0,23.0
32,2020-05-07,379.0,17.0
33,2020-05-08,399.0,20.0
34,2020-05-09,419.0,20.0
35,2020-05-10,436.0,17.0
36,2020-05-11,472.0,36.0
37,2020-05-12,510.0,38.0
38,2020-05-13,552.0,42.0
39,2020-05-14,573.0,21.0
40,2020-05-15,610.0,37.0
41,2020-05-16,640.0,30.0
42,2020-05-17,665.0,25.0
43,2020-05-18,708.0,43.0
44,2020-05-19,760.0,52.0
45,2020-05-20,801.0,41.0
46,2020-05-21,851.0,50.0
47,2020-05-22,895.0,44.0
48,2020-05-23,923.0,28.0
49,2020-05-24,941.0,18.0
50,2020-05-25,998.0,57.0
51,2020-05-26,1036.0,38.0
52,2020-05-27,1077.0,41.0
53,2020-05-28,1122.0,45.0
54,2020-05-29,1169.0,47.0
55,2020-05-30,1209.0,40.0
56,2020-05-31,1234.0,25.0
57,2020-06-01,1299.0,65.0
58,2020-06-02,1344.0,45.0
59,2020-06-03,1403.0,59.0
60,2020-06-04,1458.0,55.0
61,2020-06-05,1505.0,47.0
62,2020-06-06,1539.0,34.0
63,2020-06-07,1568.0,29.0
64,2020-06-08,1636.0,68.0
65,2020-06-09,1694.0,58.0
66,2020-06-10,1760.0,66.0
67,2020-06-11,1813.0,53.0
68,2020-06-12,1867.0,54.0
69,2020-06-13,1893.0,26.0
70,2020-06-14,1924.0,31.0
71,2020-06-15,1987.0,63.0
72,2020-06-16,2044.0,57.0
73,2020-06-17,2120.0,76.0
74,2020-06-18,2176.0,56.0
75,2020-06-19,2226.0,50.0
76,2020-06-20,2260.0,34.0
77,2020-06-21,2295.0,35.0
78,2020-06-22,2360.0,65.0
79,2020-06-23,2445.0,85.0
80,2020-06-24,2521.0,76.0
81,2020-06-25,2586.0,65.0
82,2020-06-26,2677.0,91.0
83,2020-06-27,2705.0,28.0
84,2020-06-28,2754.0,49.0
85,2020-06-29,2842.0,88.0
86,2020-06-30,2937.0,95.0
87,2020-07-01,3018.0,81.0
88,2020-07-02,3123.0,105.0
89,2020-07-03,3216.0,93.0
90,2020-07-04,3246.0,30.0
91,2020-07-05,3296.0,50.0
92,2020-07-06,3370.0,74.0
93,2020-07-07,3471.0,101.0
94,2020-07-08,3532.0,61.0
95,2020-07-09,3617.0,85.0
96,2020-07-10,3697.0,80.0
97,2020-07-11,3739.0,42.0
98,2020-07-12,3773.0,34.0
99,2020-07-13,3847.0,74.0
100,2020-07-14,3950.0,103.0
101,2020-07-15,4052.0,102.0
102,2020-07-16,4152.0,100.0
103,2020-07-17,4253.0,101.0
104,2020-07-18,4307.0,54.0
105,2020-07-19,4364.0,57.0
106,2020-07-20,4463.0,99.0
107,2020-07-21,4545.0,82.0
108,2020-07-22,4631.0,86.0
109,2020-07-23,4709.0,78.0
110,2020-07-24,4803.0,94.0
111,2020-07-25,4842.0,39.0
112,2020-07-26,4884.0,42.0
113,2020-07-27,4996.0,112.0
114,2020-07-28,5086.0,90.0
115,2020-07-29,5178.0,92.0
116,2020-07-30,5263.0,85.0
117,2020-07-31,5338.0,75.0
118,2020-08-01,5382.0,44.0
119,2020-08-02,5403.0,21.0
120,2020-08-03,5482.0,79.0
121,2020-08-04,5563.0,81.0
122,2020-08-05,5639.0,76.0
123,2020-08-06,5702.0,63.0
124,2020-08-07,5763.0,61.0
125,2020-08-08,5797.0,34.0
126,2020-08-09,5816.0,19.0
127,2020-08-10,5901.0,85.0
128,2020-08-11,5959.0,58.0
129,2020-08-12,6025.0,66.0
130,2020-08-13,6098.0,73.0
131,2020-08-14,6146.0,48.0
132,2020-08-15,6180.0,34.0
133,2020-08-16,6198.0,18.0
134,2020-08-17,6273.0,75.0
135,2020-08-18,6328.0,55.0
136,2020-08-19,6372.0,44.0
137,2020-08-20,6448.0,76.0
138,2020-08-21,6509.0,61.0
139,2020-08-22,6541.0,32.0
