,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-23,21.0,4.0
1,2020-03-24,24.0,3.0
2,2020-03-25,30.0,6.0
3,2020-03-26,35.0,5.0
4,2020-03-27,38.0,3.0
5,2020-03-28,39.0,1.0
6,2020-03-29,41.0,2.0
7,2020-03-30,47.0,6.0
8,2020-03-31,53.0,6.0
9,2020-04-01,63.0,10.0
10,2020-04-02,69.0,6.0
11,2020-04-03,77.0,8.0
12,2020-04-04,79.0,2.0
13,2020-04-05,82.0,3.0
14,2020-04-06,89.0,7.0
15,2020-04-07,102.0,13.0
16,2020-04-08,107.0,5.0
17,2020-04-09,120.0,13.0
18,2020-04-10,131.0,11.0
19,2020-04-11,145.0,14.0
20,2020-04-12,154.0,9.0
21,2020-04-13,169.0,15.0
22,2020-04-14,182.0,13.0
23,2020-04-15,215.0,33.0
24,2020-04-16,257.0,42.0
25,2020-04-17,294.0,37.0
26,2020-04-18,315.0,21.0
27,2020-04-19,335.0,20.0
28,2020-04-20,371.0,36.0
29,2020-04-21,418.0,47.0
30,2020-04-22,451.0,33.0
31,2020-04-23,504.0,53.0
32,2020-04-24,556.0,52.0
33,2020-04-25,604.0,48.0
34,2020-04-26,636.0,32.0
35,2020-04-27,706.0,70.0
36,2020-04-28,780.0,74.0
37,2020-04-29,858.0,78.0
38,2020-04-30,927.0,69.0
39,2020-05-01,996.0,69.0
40,2020-05-02,1064.0,68.0
41,2020-05-03,1129.0,65.0
42,2020-05-04,1230.0,101.0
43,2020-05-05,1342.0,112.0
44,2020-05-06,1454.0,112.0
45,2020-05-07,1579.0,125.0
46,2020-05-08,1692.0,113.0
47,2020-05-09,1774.0,82.0
48,2020-05-10,1847.0,73.0
49,2020-05-11,1990.0,143.0
50,2020-05-12,2119.0,129.0
51,2020-05-13,2256.0,137.0
52,2020-05-14,2434.0,178.0
53,2020-05-15,2632.0,198.0
54,2020-05-16,2768.0,136.0
55,2020-05-17,2864.0,96.0
56,2020-05-18,3035.0,171.0
57,2020-05-19,3191.0,156.0
58,2020-05-20,3380.0,189.0
59,2020-05-21,3562.0,182.0
60,2020-05-22,3744.0,182.0
61,2020-05-23,3867.0,123.0
62,2020-05-24,3976.0,109.0
63,2020-05-25,4194.0,218.0
64,2020-05-26,4395.0,201.0
65,2020-05-27,4586.0,191.0
66,2020-05-28,4769.0,183.0
67,2020-05-29,4960.0,191.0
68,2020-05-30,5104.0,144.0
69,2020-05-31,5223.0,119.0
70,2020-06-01,5463.0,240.0
71,2020-06-02,5652.0,189.0
72,2020-06-03,5858.0,206.0
73,2020-06-04,6098.0,240.0
74,2020-06-05,6319.0,221.0
75,2020-06-06,6437.0,118.0
76,2020-06-07,6546.0,109.0
77,2020-06-08,6773.0,227.0
78,2020-06-09,7003.0,230.0
79,2020-06-10,7234.0,231.0
80,2020-06-11,7450.0,216.0
81,2020-06-12,7652.0,202.0
82,2020-06-13,7797.0,145.0
83,2020-06-14,7937.0,140.0
84,2020-06-15,8298.0,361.0
85,2020-06-16,8611.0,313.0
86,2020-06-17,8865.0,254.0
87,2020-06-18,9139.0,274.0
88,2020-06-19,9432.0,293.0
89,2020-06-20,9625.0,193.0
90,2020-06-21,9781.0,156.0
91,2020-06-22,10142.0,361.0
92,2020-06-23,10445.0,303.0
93,2020-06-24,10742.0,297.0
94,2020-06-25,11064.0,322.0
95,2020-06-26,11398.0,334.0
96,2020-06-27,11588.0,190.0
97,2020-06-28,11785.0,197.0
98,2020-06-29,12142.0,357.0
99,2020-06-30,12521.0,379.0
100,2020-07-01,12922.0,401.0
101,2020-07-02,13280.0,358.0
102,2020-07-03,13667.0,387.0
103,2020-07-04,13852.0,185.0
104,2020-07-05,14060.0,208.0
105,2020-07-06,14458.0,398.0
106,2020-07-07,14908.0,450.0
107,2020-07-08,15317.0,409.0
108,2020-07-09,15699.0,382.0
109,2020-07-10,16032.0,333.0
110,2020-07-11,16279.0,247.0
111,2020-07-12,16507.0,228.0
112,2020-07-13,16987.0,480.0
113,2020-07-14,17442.0,455.0
114,2020-07-15,17985.0,543.0
115,2020-07-16,18402.0,417.0
116,2020-07-17,18804.0,402.0
117,2020-07-18,19058.0,254.0
118,2020-07-19,19286.0,228.0
119,2020-07-20,19805.0,519.0
120,2020-07-21,20296.0,491.0
121,2020-07-22,20729.0,433.0
122,2020-07-23,21140.0,411.0
123,2020-07-24,21582.0,442.0
124,2020-07-25,21799.0,217.0
125,2020-07-26,22045.0,246.0
126,2020-07-27,22517.0,472.0
127,2020-07-28,22897.0,380.0
128,2020-07-29,23253.0,356.0
129,2020-07-30,23580.0,327.0
130,2020-07-31,23897.0,317.0
131,2020-08-01,24072.0,175.0
132,2020-08-02,24245.0,173.0
133,2020-08-03,24609.0,364.0
134,2020-08-04,24918.0,309.0
135,2020-08-05,25215.0,297.0
136,2020-08-06,25474.0,259.0
137,2020-08-07,25758.0,284.0
138,2020-08-08,25885.0,127.0
139,2020-08-09,26003.0,118.0
140,2020-08-10,26328.0,325.0
141,2020-08-11,26577.0,249.0
142,2020-08-12,26836.0,259.0
143,2020-08-13,27085.0,249.0
144,2020-08-14,27288.0,203.0
145,2020-08-15,27415.0,127.0
146,2020-08-16,27526.0,111.0
147,2020-08-17,27802.0,276.0
148,2020-08-18,28057.0,255.0
149,2020-08-19,28275.0,218.0
150,2020-08-20,28449.0,174.0
151,2020-08-21,28623.0,174.0
152,2020-08-22,28720.0,97.0
153,2020-08-23,28825.0,105.0
154,2020-08-24,29082.0,257.0
155,2020-08-25,29317.0,235.0
156,2020-08-26,29545.0,228.0
157,2020-08-27,29739.0,194.0
158,2020-08-28,29914.0,175.0
159,2020-08-29,30025.0,111.0
160,2020-08-30,30127.0,102.0
161,2020-08-31,30382.0,255.0
162,2020-09-01,30632.0,250.0
163,2020-09-02,30887.0,255.0
164,2020-09-03,31089.0,202.0
165,2020-09-04,31290.0,201.0
166,2020-09-05,31380.0,90.0
167,2020-09-06,31470.0,90.0
168,2020-09-07,31669.0,199.0
169,2020-09-08,31893.0,224.0
170,2020-09-09,32105.0,212.0
171,2020-09-10,32282.0,177.0
172,2020-09-11,32467.0,185.0
173,2020-09-12,32548.0,81.0
174,2020-09-13,32633.0,85.0
175,2020-09-14,32840.0,207.0
176,2020-09-15,32917.0,77.0
177,2020-09-16,33009.0,92.0
178,2020-09-17,33249.0,240.0
179,2020-09-18,33426.0,177.0
180,2020-09-19,33495.0,69.0
181,2020-09-20,33575.0,80.0
182,2020-09-21,33848.0,273.0
183,2020-09-22,34026.0,178.0
184,2020-09-23,34200.0,174.0
185,2020-09-24,34379.0,179.0
186,2020-09-25,34520.0,141.0
187,2020-09-26,34578.0,58.0
188,2020-09-27,34650.0,72.0
189,2020-09-28,34864.0,214.0
190,2020-09-29,34996.0,132.0
191,2020-09-30,35144.0,148.0
192,2020-10-01,35279.0,135.0
193,2020-10-02,35399.0,120.0
194,2020-10-03,35464.0,65.0
195,2020-10-04,35517.0,53.0
196,2020-10-05,35705.0,188.0
197,2020-10-06,35865.0,160.0
198,2020-10-07,35995.0,130.0
199,2020-10-08,36130.0,135.0
200,2020-10-09,36276.0,146.0
201,2020-10-10,36324.0,48.0
202,2020-10-11,36385.0,61.0
203,2020-10-12,36562.0,177.0
204,2020-10-13,36706.0,144.0
205,2020-10-14,36852.0,146.0
206,2020-10-15,36979.0,127.0
207,2020-10-16,37086.0,107.0
208,2020-10-17,37136.0,50.0
209,2020-10-18,37181.0,45.0
210,2020-10-19,37364.0,183.0
211,2020-10-20,37476.0,112.0
212,2020-10-21,37559.0,83.0
213,2020-10-22,37679.0,120.0
214,2020-10-23,37780.0,101.0
215,2020-10-24,37826.0,46.0
216,2020-10-25,37859.0,33.0
217,2020-10-26,38011.0,152.0
218,2020-10-27,38130.0,119.0
219,2020-10-28,38247.0,117.0
220,2020-10-29,38342.0,95.0
221,2020-10-30,38431.0,89.0
222,2020-10-31,38462.0,31.0
223,2020-11-01,38503.0,41.0
224,2020-11-02,38610.0,107.0
225,2020-11-03,38729.0,119.0
226,2020-11-04,38810.0,81.0
227,2020-11-05,38933.0,123.0
228,2020-11-06,39024.0,91.0
229,2020-11-07,39070.0,46.0
230,2020-11-08,39105.0,35.0
231,2020-11-09,39250.0,145.0
232,2020-11-10,39392.0,142.0
233,2020-11-11,39500.0,108.0
234,2020-11-12,39611.0,111.0
235,2020-11-13,39701.0,90.0
236,2020-11-14,39743.0,42.0
237,2020-11-15,39788.0,45.0
238,2020-11-16,39834.0,46.0
239,2020-11-17,39977.0,143.0
240,2020-11-18,40069.0,92.0
241,2020-11-19,40172.0,103.0
242,2020-11-20,40257.0,85.0
243,2020-11-21,40298.0,41.0
244,2020-11-22,40331.0,33.0
245,2020-11-23,40482.0,151.0
246,2020-11-24,40596.0,114.0
247,2020-11-25,40693.0,97.0
248,2020-11-26,40812.0,119.0
249,2020-11-27,40936.0,124.0
250,2020-11-28,40989.0,53.0
251,2020-11-29,41038.0,49.0
252,2020-11-30,41203.0,165.0
253,2020-12-01,41297.0,94.0
254,2020-12-02,41407.0,110.0
255,2020-12-03,41485.0,78.0
256,2020-12-04,41576.0,91.0
257,2020-12-05,41615.0,39.0
258,2020-12-06,41659.0,44.0
259,2020-12-07,41778.0,119.0
260,2020-12-08,41907.0,129.0
261,2020-12-09,42020.0,113.0
262,2020-12-10,42155.0,135.0
263,2020-12-11,42257.0,102.0
264,2020-12-12,42317.0,60.0
265,2020-12-13,42366.0,49.0
266,2020-12-14,42538.0,172.0
267,2020-12-15,42705.0,167.0
268,2020-12-16,42870.0,165.0
269,2020-12-17,42999.0,129.0
270,2020-12-18,43112.0,113.0
271,2020-12-19,43175.0,63.0
272,2020-12-20,43229.0,54.0
273,2020-12-21,43408.0,179.0
274,2020-12-22,43568.0,160.0
275,2020-12-23,43722.0,154.0
276,2020-12-24,43829.0,107.0
277,2020-12-25,43871.0,42.0
278,2020-12-26,43941.0,70.0
279,2020-12-27,44017.0,76.0
280,2020-12-28,44278.0,261.0
281,2020-12-29,44510.0,232.0
282,2020-12-30,44703.0,193.0
283,2020-12-31,44865.0,162.0
284,2021-01-01,44923.0,58.0
285,2021-01-02,45051.0,128.0
286,2021-01-03,45169.0,118.0
287,2021-01-04,45499.0,330.0
288,2021-01-05,45833.0,334.0
289,2021-01-06,46147.0,314.0
290,2021-01-07,46424.0,277.0
291,2021-01-08,46723.0,299.0
292,2021-01-09,46887.0,164.0
293,2021-01-10,47066.0,179.0
294,2021-01-11,47401.0,335.0
295,2021-01-12,47718.0,317.0
296,2021-01-13,48000.0,282.0
297,2021-01-14,48356.0,356.0
298,2021-01-15,48677.0,321.0
299,2021-01-16,48875.0,198.0
300,2021-01-17,49050.0,175.0
301,2021-01-18,49400.0,350.0
302,2021-01-19,49749.0,349.0
303,2021-01-20,50058.0,309.0
304,2021-01-21,50387.0,329.0
305,2021-01-22,50715.0,328.0
306,2021-01-23,50892.0,177.0
307,2021-01-24,51029.0,137.0
308,2021-01-25,51360.0,331.0
309,2021-01-26,51679.0,319.0
310,2021-01-27,51939.0,260.0
311,2021-01-28,52187.0,248.0
312,2021-01-29,52420.0,233.0
313,2021-01-30,52528.0,108.0
314,2021-01-31,52637.0,109.0
315,2021-02-01,52766.0,129.0
316,2021-02-02,53024.0,258.0
317,2021-02-03,53243.0,219.0
318,2021-02-04,53432.0,189.0
319,2021-02-05,53582.0,150.0
320,2021-02-06,53669.0,87.0
321,2021-02-07,53756.0,87.0
322,2021-02-08,53960.0,204.0
323,2021-02-09,54164.0,204.0
324,2021-02-10,54311.0,147.0
325,2021-02-11,54461.0,150.0
326,2021-02-12,54605.0,144.0
327,2021-02-13,54688.0,83.0
328,2021-02-14,54749.0,61.0
329,2021-02-15,54902.0,153.0
330,2021-02-16,55046.0,144.0
331,2021-02-17,55180.0,134.0
332,2021-02-18,55314.0,134.0
333,2021-02-19,55421.0,107.0
334,2021-02-20,55475.0,54.0
335,2021-02-21,55518.0,43.0
336,2021-02-22,55666.0,148.0
337,2021-02-23,55791.0,125.0
338,2021-02-24,55896.0,105.0
339,2021-02-25,55996.0,100.0
340,2021-02-26,56101.0,105.0
341,2021-02-27,56161.0,60.0
342,2021-02-28,56217.0,56.0
343,2021-03-01,56370.0,153.0
344,2021-03-02,56463.0,93.0
345,2021-03-03,56561.0,98.0
346,2021-03-04,56675.0,114.0
347,2021-03-05,56785.0,110.0
348,2021-03-06,56837.0,52.0
349,2021-03-07,56890.0,53.0
350,2021-03-08,57009.0,119.0
351,2021-03-09,57103.0,94.0
352,2021-03-10,57202.0,99.0
353,2021-03-11,57306.0,104.0
354,2021-03-12,57382.0,76.0
355,2021-03-13,57433.0,51.0
356,2021-03-14,57478.0,45.0
357,2021-03-15,57546.0,68.0
358,2021-03-16,57670.0,124.0
359,2021-03-17,57770.0,100.0
360,2021-03-18,57834.0,64.0
361,2021-03-19,57908.0,74.0
362,2021-03-20,57947.0,39.0
363,2021-03-21,57994.0,47.0
364,2021-03-22,58109.0,115.0
365,2021-03-23,58218.0,109.0
366,2021-03-24,58317.0,99.0
367,2021-03-25,58400.0,83.0
368,2021-03-26,58460.0,60.0
369,2021-03-27,58500.0,40.0
370,2021-03-28,58527.0,27.0
371,2021-03-29,58595.0,68.0
372,2021-03-30,58660.0,65.0
373,2021-03-31,58734.0,74.0
374,2021-04-01,58773.0,39.0
375,2021-04-02,58804.0,31.0
376,2021-04-03,58843.0,39.0
377,2021-04-04,58871.0,28.0
378,2021-04-05,58949.0,78.0
379,2021-04-06,59030.0,81.0
380,2021-04-07,59111.0,81.0
381,2021-04-08,59194.0,83.0
382,2021-04-09,59260.0,66.0
383,2021-04-10,59285.0,25.0
384,2021-04-11,59315.0,30.0
385,2021-04-12,59390.0,75.0
386,2021-04-13,59459.0,69.0
387,2021-04-14,59523.0,64.0
388,2021-04-15,59594.0,71.0
389,2021-04-16,59643.0,49.0
390,2021-04-17,59694.0,51.0
391,2021-04-18,59720.0,26.0
392,2021-04-19,59809.0,89.0
393,2021-04-20,59877.0,68.0
394,2021-04-21,59936.0,59.0
395,2021-04-22,60004.0,68.0
396,2021-04-23,60090.0,86.0
397,2021-04-24,60124.0,34.0
398,2021-04-25,60155.0,31.0
399,2021-04-26,60219.0,64.0
400,2021-04-27,60283.0,64.0
401,2021-04-28,60330.0,47.0
402,2021-04-29,60373.0,43.0
403,2021-04-30,60423.0,50.0
404,2021-05-01,60446.0,23.0
405,2021-05-02,60461.0,15.0
406,2021-05-03,60530.0,69.0
407,2021-05-04,60588.0,58.0
408,2021-05-05,60632.0,44.0
409,2021-05-06,60687.0,55.0
410,2021-05-07,60728.0,41.0
411,2021-05-08,60759.0,31.0
412,2021-05-09,60792.0,33.0
413,2021-05-10,60829.0,37.0
414,2021-05-11,60893.0,64.0
415,2021-05-12,60971.0,78.0
416,2021-05-13,61024.0,53.0
417,2021-05-14,61087.0,63.0
418,2021-05-15,61125.0,38.0
419,2021-05-16,61159.0,34.0
420,2021-05-17,61228.0,69.0
421,2021-05-18,61310.0,82.0
422,2021-05-19,61389.0,79.0
423,2021-05-20,61476.0,87.0
424,2021-05-21,61542.0,66.0
425,2021-05-22,61569.0,27.0
426,2021-05-23,61592.0,23.0
427,2021-05-24,61685.0,93.0
428,2021-05-25,61766.0,81.0
429,2021-05-26,61865.0,99.0
430,2021-05-27,61943.0,78.0
431,2021-05-28,62017.0,74.0
432,2021-05-29,62052.0,35.0
433,2021-05-30,62094.0,42.0
434,2021-05-31,62211.0,117.0
435,2021-06-01,62310.0,99.0
436,2021-06-02,62409.0,99.0
437,2021-06-03,62506.0,97.0
438,2021-06-04,62637.0,131.0
439,2021-06-05,62681.0,44.0
440,2021-06-06,62731.0,50.0
441,2021-06-07,62870.0,139.0
442,2021-06-08,62981.0,111.0
443,2021-06-09,63105.0,124.0
444,2021-06-10,63218.0,113.0
445,2021-06-11,63320.0,102.0
446,2021-06-12,63386.0,66.0
447,2021-06-13,63444.0,58.0
448,2021-06-14,63590.0,146.0
449,2021-06-15,63707.0,117.0
450,2021-06-16,63830.0,123.0
451,2021-06-17,63965.0,135.0
452,2021-06-18,64105.0,140.0
453,2021-06-19,64177.0,72.0
454,2021-06-20,64239.0,62.0
455,2021-06-21,64469.0,230.0
456,2021-06-22,64678.0,209.0
457,2021-06-23,64904.0,226.0
458,2021-06-24,65135.0,231.0
459,2021-06-25,65368.0,233.0
460,2021-06-26,65474.0,106.0
461,2021-06-27,65567.0,93.0
462,2021-06-28,65910.0,343.0
463,2021-06-29,66222.0,312.0
464,2021-06-30,66533.0,311.0
465,2021-07-01,66853.0,320.0
466,2021-07-02,67164.0,311.0
467,2021-07-03,67328.0,164.0
468,2021-07-04,67474.0,146.0
469,2021-07-05,67948.0,474.0
470,2021-07-06,68423.0,475.0
471,2021-07-07,68900.0,477.0
472,2021-07-08,69399.0,499.0
473,2021-07-09,69937.0,538.0
474,2021-07-10,70194.0,257.0
475,2021-07-11,70433.0,239.0
476,2021-07-12,71077.0,644.0
477,2021-07-13,71661.0,584.0
478,2021-07-14,72211.0,550.0
479,2021-07-15,72756.0,545.0
480,2021-07-16,73339.0,583.0
481,2021-07-17,73679.0,340.0
482,2021-07-18,73974.0,295.0
483,2021-07-19,74768.0,794.0
484,2021-07-20,75606.0,838.0
485,2021-07-21,76462.0,856.0
486,2021-07-22,77228.0,766.0
487,2021-07-23,78138.0,910.0
488,2021-07-24,78640.0,502.0
489,2021-07-25,79073.0,433.0
490,2021-07-26,80043.0,970.0
491,2021-07-27,81040.0,997.0
492,2021-07-28,81947.0,907.0
493,2021-07-29,82867.0,920.0
494,2021-07-30,83814.0,947.0
495,2021-07-31,84287.0,473.0
496,2021-08-01,84743.0,456.0
497,2021-08-02,85798.0,1055.0
498,2021-08-03,86810.0,1012.0
499,2021-08-04,87837.0,1027.0
500,2021-08-05,88824.0,987.0
501,2021-08-06,89862.0,1038.0
502,2021-08-07,90422.0,560.0
503,2021-08-08,90878.0,456.0
504,2021-08-09,92063.0,1185.0
505,2021-08-10,93194.0,1131.0
506,2021-08-11,94217.0,1023.0
507,2021-08-12,95229.0,1012.0
508,2021-08-13,96302.0,1073.0
509,2021-08-14,96886.0,584.0
510,2021-08-15,97296.0,410.0
511,2021-08-16,98356.0,1060.0
512,2021-08-17,99395.0,1039.0
513,2021-08-18,100418.0,1023.0
514,2021-08-19,101244.0,826.0
515,2021-08-20,102057.0,813.0
516,2021-08-21,102495.0,438.0
517,2021-08-22,102906.0,411.0
518,2021-08-23,103902.0,996.0
519,2021-08-24,104706.0,804.0
520,2021-08-25,105481.0,775.0
521,2021-08-26,106211.0,730.0
522,2021-08-27,106930.0,719.0
523,2021-08-28,107368.0,438.0
524,2021-08-29,107693.0,325.0
525,2021-08-30,108486.0,793.0
526,2021-08-31,109162.0,676.0
527,2021-09-01,109820.0,658.0
528,2021-09-02,110489.0,669.0
529,2021-09-03,111130.0,641.0
530,2021-09-04,111547.0,417.0
531,2021-09-05,111851.0,304.0
532,2021-09-06,112560.0,709.0
533,2021-09-07,113142.0,582.0
534,2021-09-08,113693.0,551.0
535,2021-09-09,114261.0,568.0
536,2021-09-10,114746.0,485.0
537,2021-09-11,115015.0,269.0
538,2021-09-12,115181.0,166.0
539,2021-09-13,115640.0,459.0
540,2021-09-14,116007.0,367.0
541,2021-09-15,116300.0,293.0
542,2021-09-16,116530.0,230.0
543,2021-09-17,116934.0,404.0
544,2021-09-18,117153.0,219.0
545,2021-09-19,117372.0,219.0
546,2021-09-20,117790.0,418.0
547,2021-09-21,118103.0,313.0
548,2021-09-22,118383.0,280.0
549,2021-09-23,118694.0,311.0
550,2021-09-24,118932.0,238.0
551,2021-09-25,119074.0,142.0
552,2021-09-26,119208.0,134.0
553,2021-09-27,119573.0,365.0
554,2021-09-28,119798.0,225.0
555,2021-09-29,120049.0,251.0
556,2021-09-30,120275.0,226.0
557,2021-10-01,120483.0,208.0
558,2021-10-02,120598.0,115.0
559,2021-10-03,120709.0,111.0
560,2021-10-04,120960.0,251.0
561,2021-10-05,121113.0,153.0
562,2021-10-06,121264.0,151.0
563,2021-10-07,121440.0,176.0
564,2021-10-08,121578.0,138.0
565,2021-10-09,121671.0,93.0
566,2021-10-10,121758.0,87.0
567,2021-10-11,121923.0,165.0
568,2021-10-12,122026.0,103.0
569,2021-10-13,122134.0,108.0
570,2021-10-14,122259.0,125.0
571,2021-10-15,122369.0,110.0
572,2021-10-16,122421.0,52.0
573,2021-10-17,122472.0,51.0
574,2021-10-18,122580.0,108.0
575,2021-10-19,122688.0,108.0
576,2021-10-20,122773.0,85.0
577,2021-10-21,122852.0,79.0
578,2021-10-22,122904.0,52.0
579,2021-10-23,122954.0,50.0
580,2021-10-24,123003.0,49.0
581,2021-10-25,123100.0,97.0
582,2021-10-26,123185.0,85.0
583,2021-10-27,123259.0,74.0
584,2021-10-28,123311.0,52.0
585,2021-10-29,123357.0,46.0
586,2021-10-30,123393.0,36.0
587,2021-10-31,123409.0,16.0
588,2021-11-01,123462.0,53.0
589,2021-11-02,123498.0,36.0
590,2021-11-03,123559.0,61.0
591,2021-11-04,123601.0,42.0
592,2021-11-05,123642.0,41.0
593,2021-11-06,123660.0,18.0
594,2021-11-07,123683.0,23.0
595,2021-11-08,123749.0,66.0
596,2021-11-09,123788.0,39.0
597,2021-11-10,123817.0,29.0
598,2021-11-11,123854.0,37.0
599,2021-11-12,123895.0,41.0
600,2021-11-13,123911.0,16.0
601,2021-11-14,123928.0,17.0
602,2021-11-15,123944.0,16.0
603,2021-11-16,123988.0,44.0
604,2021-11-17,124024.0,36.0
605,2021-11-18,124071.0,47.0
606,2021-11-19,124102.0,31.0
607,2021-11-20,124115.0,13.0
608,2021-11-21,124131.0,16.0
609,2021-11-22,124173.0,42.0
610,2021-11-23,124208.0,35.0
611,2021-11-24,124230.0,22.0
612,2021-11-25,124259.0,29.0
613,2021-11-26,124282.0,23.0
614,2021-11-27,124294.0,12.0
615,2021-11-28,124296.0,2.0
616,2021-11-29,124323.0,27.0
617,2021-11-30,124347.0,24.0
618,2021-12-01,124381.0,34.0
619,2021-12-02,124396.0,15.0
620,2021-12-03,124434.0,38.0
621,2021-12-04,124451.0,17.0
622,2021-12-05,124461.0,10.0
623,2021-12-06,124487.0,26.0
624,2021-12-07,124515.0,28.0
625,2021-12-08,124539.0,24.0
626,2021-12-09,124574.0,35.0
627,2021-12-10,124612.0,38.0
628,2021-12-11,124637.0,25.0
629,2021-12-12,124645.0,8.0
630,2021-12-13,124677.0,32.0
631,2021-12-14,124700.0,23.0
632,2021-12-15,124731.0,31.0
633,2021-12-16,124760.0,29.0
634,2021-12-17,124782.0,22.0
635,2021-12-18,124796.0,14.0
636,2021-12-19,124801.0,5.0
637,2021-12-20,124847.0,46.0
638,2021-12-21,124878.0,31.0
639,2021-12-22,124922.0,44.0
640,2021-12-23,124997.0,75.0
641,2021-12-24,125019.0,22.0
642,2021-12-25,125031.0,12.0
643,2021-12-26,125042.0,11.0
644,2021-12-27,125107.0,65.0
645,2021-12-28,125162.0,55.0
646,2021-12-29,125230.0,68.0
647,2021-12-30,125309.0,79.0
648,2021-12-31,125413.0,104.0
649,2022-01-01,125451.0,38.0
650,2022-01-02,125529.0,78.0
651,2022-01-03,125825.0,296.0
652,2022-01-04,126180.0,355.0
653,2022-01-05,126602.0,422.0
654,2022-01-06,127102.0,500.0
655,2022-01-07,127746.0,644.0
656,2022-01-08,128077.0,331.0
657,2022-01-09,128437.0,360.0
658,2022-01-10,129503.0,1066.0
659,2022-01-11,130610.0,1107.0
660,2022-01-12,131771.0,1161.0
661,2022-01-13,132973.0,1202.0
662,2022-01-14,134263.0,1290.0
663,2022-01-15,135031.0,768.0
664,2022-01-16,135633.0,602.0
665,2022-01-17,137279.0,1646.0
666,2022-01-18,138876.0,1597.0
667,2022-01-19,140585.0,1709.0
668,2022-01-20,142336.0,1751.0
669,2022-01-21,143613.0,1277.0
670,2022-01-22,144396.0,783.0
671,2022-01-23,145177.0,781.0
672,2022-01-24,147103.0,1926.0
673,2022-01-25,148759.0,1656.0
674,2022-01-26,150466.0,1707.0
675,2022-01-27,152141.0,1675.0
676,2022-01-28,153566.0,1425.0
677,2022-01-29,154163.0,597.0
678,2022-01-30,154692.0,529.0
679,2022-01-31,156240.0,1548.0
680,2022-02-01,157875.0,1635.0
681,2022-02-02,159386.0,1511.0
682,2022-02-03,160639.0,1253.0
683,2022-02-04,161621.0,982.0
684,2022-02-05,162041.0,420.0
685,2022-02-06,162394.0,353.0
686,2022-02-07,163011.0,617.0
687,2022-02-08,163978.0,967.0
688,2022-02-09,164889.0,911.0
689,2022-02-10,165731.0,842.0
690,2022-02-11,166552.0,821.0
691,2022-02-12,166946.0,394.0
692,2022-02-13,167218.0,272.0
693,2022-02-14,168047.0,829.0
694,2022-02-15,168618.0,571.0
695,2022-02-16,169219.0,601.0
696,2022-02-17,169773.0,554.0
697,2022-02-18,170288.0,515.0
698,2022-02-19,170523.0,235.0
699,2022-02-20,170746.0,223.0
700,2022-02-21,171351.0,605.0
701,2022-02-22,171806.0,455.0
702,2022-02-23,172274.0,468.0
703,2022-02-24,172666.0,392.0
704,2022-02-25,172993.0,327.0
705,2022-02-26,173127.0,134.0
706,2022-02-27,173271.0,144.0
707,2022-02-28,173628.0,357.0
708,2022-03-01,173914.0,286.0
709,2022-03-02,174209.0,295.0
710,2022-03-03,174477.0,268.0
711,2022-03-04,174720.0,243.0
712,2022-03-05,174785.0,65.0
713,2022-03-06,174880.0,95.0
714,2022-03-07,175179.0,299.0
715,2022-03-08,175454.0,275.0
716,2022-03-09,175705.0,251.0
717,2022-03-10,175889.0,184.0
718,2022-03-11,176062.0,173.0
719,2022-03-12,176118.0,56.0
720,2022-03-13,176187.0,69.0
721,2022-03-14,176371.0,184.0
722,2022-03-15,176576.0,205.0
723,2022-03-16,176739.0,163.0
724,2022-03-17,176856.0,117.0
725,2022-03-18,176955.0,99.0
726,2022-03-19,177011.0,56.0
727,2022-03-20,177045.0,34.0
728,2022-03-21,177083.0,38.0
729,2022-03-22,177205.0,122.0
730,2022-03-23,177301.0,96.0
731,2022-03-24,177398.0,97.0
732,2022-03-25,177465.0,67.0
733,2022-03-26,177501.0,36.0
734,2022-03-27,177528.0,27.0
735,2022-03-28,177631.0,103.0
736,2022-03-29,177716.0,85.0
737,2022-03-30,177805.0,89.0
738,2022-03-31,177883.0,78.0
739,2022-04-01,177916.0,33.0
740,2022-04-02,177929.0,13.0
741,2022-04-03,177946.0,17.0
742,2022-04-04,177991.0,45.0
743,2022-04-05,178010.0,19.0
