,Fecha,CasosAcumulados,CasosDiarios
0,2020-03-27,22.0,4.0
1,2020-03-28,23.0,1.0
2,2020-03-29,23.0,0.0
3,2020-03-30,25.0,2.0
4,2020-03-31,25.0,0.0
5,2020-04-01,25.0,0.0
6,2020-04-02,26.0,1.0
7,2020-04-03,26.0,0.0
8,2020-04-04,27.0,1.0
9,2020-04-05,28.0,1.0
10,2020-04-06,29.0,1.0
11,2020-04-07,29.0,0.0
12,2020-04-08,31.0,2.0
13,2020-04-09,33.0,2.0
14,2020-04-10,33.0,0.0
15,2020-04-11,35.0,2.0
16,2020-04-12,36.0,1.0
17,2020-04-13,36.0,0.0
18,2020-04-14,37.0,1.0
19,2020-04-15,43.0,6.0
20,2020-04-16,47.0,4.0
21,2020-04-17,49.0,2.0
22,2020-04-18,56.0,7.0
23,2020-04-19,57.0,1.0
24,2020-04-20,66.0,9.0
25,2020-04-21,68.0,2.0
26,2020-04-22,70.0,2.0
27,2020-04-23,78.0,8.0
28,2020-04-24,83.0,5.0
29,2020-04-25,87.0,4.0
30,2020-04-26,90.0,3.0
31,2020-04-27,94.0,4.0
32,2020-04-28,104.0,10.0
33,2020-04-29,113.0,9.0
34,2020-04-30,117.0,4.0
35,2020-05-01,124.0,7.0
36,2020-05-02,131.0,7.0
37,2020-05-03,133.0,2.0
38,2020-05-04,141.0,8.0
39,2020-05-05,146.0,5.0
40,2020-05-06,157.0,11.0
41,2020-05-07,166.0,9.0
42,2020-05-08,175.0,9.0
43,2020-05-09,179.0,4.0
44,2020-05-10,182.0,3.0
45,2020-05-11,193.0,11.0
46,2020-05-12,196.0,3.0
47,2020-05-13,209.0,13.0
48,2020-05-14,228.0,19.0
49,2020-05-15,236.0,8.0
50,2020-05-16,239.0,3.0
51,2020-05-17,243.0,4.0
52,2020-05-18,249.0,6.0
53,2020-05-19,249.0,0.0
54,2020-05-20,265.0,16.0
55,2020-05-21,273.0,8.0
56,2020-05-22,282.0,9.0
57,2020-05-23,293.0,11.0
58,2020-05-24,299.0,6.0
59,2020-05-25,312.0,13.0
60,2020-05-26,323.0,11.0
61,2020-05-27,327.0,4.0
62,2020-05-28,335.0,8.0
63,2020-05-29,352.0,17.0
64,2020-05-30,359.0,7.0
65,2020-05-31,364.0,5.0
66,2020-06-01,380.0,16.0
67,2020-06-02,393.0,13.0
68,2020-06-03,409.0,16.0
69,2020-06-04,427.0,18.0
70,2020-06-05,444.0,17.0
71,2020-06-06,458.0,14.0
72,2020-06-07,470.0,12.0
73,2020-06-08,491.0,21.0
74,2020-06-09,520.0,29.0
75,2020-06-10,558.0,38.0
76,2020-06-11,578.0,20.0
77,2020-06-12,603.0,25.0
78,2020-06-13,622.0,19.0
79,2020-06-14,631.0,9.0
80,2020-06-15,668.0,37.0
81,2020-06-16,702.0,34.0
82,2020-06-17,722.0,20.0
83,2020-06-18,745.0,23.0
84,2020-06-19,771.0,26.0
85,2020-06-20,782.0,11.0
86,2020-06-21,791.0,9.0
87,2020-06-22,826.0,35.0
88,2020-06-23,856.0,30.0
89,2020-06-24,880.0,24.0
90,2020-06-25,912.0,32.0
91,2020-06-26,943.0,31.0
92,2020-06-27,960.0,17.0
93,2020-06-28,983.0,23.0
94,2020-06-29,1026.0,43.0
95,2020-06-30,1080.0,54.0
96,2020-07-01,1125.0,45.0
97,2020-07-02,1174.0,49.0
98,2020-07-03,1223.0,49.0
99,2020-07-04,1246.0,23.0
100,2020-07-05,1266.0,20.0
101,2020-07-06,1323.0,57.0
102,2020-07-07,1369.0,46.0
103,2020-07-08,1421.0,52.0
104,2020-07-09,1457.0,36.0
105,2020-07-10,1505.0,48.0
106,2020-07-11,1560.0,55.0
107,2020-07-12,1594.0,34.0
108,2020-07-13,1639.0,45.0
109,2020-07-14,1698.0,59.0
110,2020-07-15,1775.0,77.0
111,2020-07-16,1872.0,97.0
112,2020-07-17,1930.0,58.0
113,2020-07-18,1972.0,42.0
114,2020-07-19,2000.0,28.0
115,2020-07-20,2087.0,87.0
116,2020-07-21,2173.0,86.0
117,2020-07-22,2269.0,96.0
118,2020-07-23,2350.0,81.0
119,2020-07-24,2437.0,87.0
120,2020-07-25,2495.0,58.0
121,2020-07-26,2522.0,27.0
122,2020-07-27,2600.0,78.0
123,2020-07-28,2728.0,128.0
124,2020-07-29,2802.0,74.0
125,2020-07-30,2906.0,104.0
126,2020-07-31,2986.0,80.0
127,2020-08-01,3035.0,49.0
128,2020-08-02,3074.0,39.0
129,2020-08-03,3169.0,95.0
130,2020-08-04,3260.0,91.0
131,2020-08-05,3345.0,85.0
132,2020-08-06,3443.0,98.0
133,2020-08-07,3532.0,89.0
134,2020-08-08,3624.0,92.0
135,2020-08-09,3682.0,58.0
136,2020-08-10,3791.0,109.0
137,2020-08-11,3963.0,172.0
138,2020-08-12,4098.0,135.0
139,2020-08-13,4166.0,68.0
140,2020-08-14,4242.0,76.0
141,2020-08-15,4305.0,63.0
142,2020-08-16,4354.0,49.0
143,2020-08-17,4435.0,81.0
144,2020-08-18,4536.0,101.0
145,2020-08-19,4624.0,88.0
146,2020-08-20,4719.0,95.0
147,2020-08-21,4812.0,93.0
148,2020-08-22,4861.0,49.0
149,2020-08-23,4906.0,45.0
150,2020-08-24,5001.0,95.0
151,2020-08-25,5112.0,111.0
152,2020-08-26,5199.0,87.0
153,2020-08-27,5297.0,98.0
154,2020-08-28,5392.0,95.0
155,2020-08-29,5432.0,40.0
156,2020-08-30,5464.0,32.0
157,2020-08-31,5531.0,67.0
158,2020-09-01,5622.0,91.0
159,2020-09-02,5746.0,124.0
160,2020-09-03,5822.0,76.0
161,2020-09-04,5928.0,106.0
162,2020-09-05,5980.0,52.0
163,2020-09-06,6019.0,39.0
164,2020-09-07,6095.0,76.0
165,2020-09-08,6171.0,76.0
166,2020-09-09,6249.0,78.0
167,2020-09-10,6352.0,103.0
168,2020-09-11,6440.0,88.0
169,2020-09-12,6478.0,38.0
170,2020-09-13,6514.0,36.0
171,2020-09-14,6585.0,71.0
172,2020-09-15,6673.0,88.0
173,2020-09-16,6717.0,44.0
174,2020-09-17,6826.0,109.0
175,2020-09-18,6894.0,68.0
176,2020-09-19,6927.0,33.0
