"Estado","Fecha","CasosAcumulados","Gompertz","Gompertz_IC99_inf","Gompertz_IC99_sup","PrediccionTotal","PrediccionTotal_IC99_inf","PrediccionTotal_IC99_sup","DondeVa","Fecha_Pico","Casos_Acum_al_Pico","Casos_Entre_1_Sem_antes_y_el_Pico","Fecha_Terminacion_Epidemia","Casos_Por_Millon","Casos_Acum_01_Junio"
"AGUASCALIENTES","2020-03-14","1","2836.23030361574","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-15","1","2855.08196969059","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-16","1","2874.03177552384","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-17","2","2893.08005212562","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-18","5","2912.22713061928","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-19","6","2931.47334223629","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-20","8","2950.819018311","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-21","9","2970.26449027548","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-22","10","2989.81008965427","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-23","14","3009.45614805922","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-24","14","3029.20299718416","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-25","31","3049.05096879978","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-26","35","3069.00039474825","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-27","41","3089.05160693807","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-28","46","3109.20493733873","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-29","49","3129.46071797544","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-30","53","3149.81928092385","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-03-31","54","3170.28095830474","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-01","54","3190.84608227871","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-02","55","3211.51498504086","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-03","57","3232.28799881547","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-04","57","3253.16545585063","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-05","59","3274.14768841293","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-06","64","3295.23502878209","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-07","66","3316.42780924558","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-08","67","3337.72636209329","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-09","67","3359.13101961208","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-10","70","3380.64211408047","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-11","71","3402.25997776318","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-12","73","3423.98494290578","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
"AGUASCALIENTES","2020-04-13","82","3445.81734172921","","","294770","145765.427580799","430999.123814817","74.6","2023-02-24","108440","1084","2028-11-04","44969.9","4627"
