fecha,time,S1_1,S2_1,S3_1,S,EP1_1,EP2_1,EP3_1,E1_1,E2_1,E3_1,IP1_1_1,IP1_2_1,IP1_3_1,IP1_4_1,IP2_1_1,IP2_2_1,IP2_3_1,IP2_4_1,IP3_1_1,IP3_2_1,IP3_3_1,IP3_4_1,I1_1_1,I1_2_1,I1_3_1,I1_4_1,I2_1_1,I2_2_1,I2_3_1,I2_4_1,I3_1_1,I3_2_1,I3_3_1,I3_4_1,D1_1,D2_1,D3_1,R1_1,R2_1,R3_1,Y1_1_1,Y1_2_1,Y1_3_1,Y1_4_1,Y2_1_1,Y2_2_1,Y2_3_1,Y2_4_1,Y3_1_1,Y3_2_1,Y3_3_1,Y3_4_1,bet1,Sp,I1,I2,I3,II,D,R,IT,date
2/20/20,0,915056,4079588.453,614776.2906,5609420.743,0,0,1,0,1,0,0,0,0,0,301.7735424,301.7735424,2.5,2.5,60.35470847,60.35470847,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18263761,1,0,608.5470847,121.7094169,730.2565017,0,0,730.2565017,2/20/20
2/21/20,1,915034.2339,4079491.413,614761.6671,5609287.314,0,0,1,19.92028483,89.64575174,13.38335448,1.211005157,0.51900221,0.012705563,0.003497115,260.1339085,258.5768787,2.291522008,2.205121639,51.65910771,51.65910771,0.466101353,0.443170383,0.066370065,0.028444314,0.000589814,0.000162342,42.81866326,42.73247732,0.310798972,0.306747915,8.543070962,8.543070962,0.062510647,0.061446153,2.08074E-06,0.018201234,0.008213659,0.004076405,7.546859042,1.503746903,0.069206082,0.029659749,0.000611013,0.000168177,46.58044288,46.49053635,0.333483329,0.329285179,9.294521303,9.294521303,0.067059717,0.065956963,0.18263761,0.999976213,1.84177658,609.3761183,121.4375859,732.6554808,0.026416973,9.054682351,741.7365801,2/21/20
2/22/20,2,915012.438,4079394.241,614747.0236,5609153.702,0,0,1,36.5886037,163.8204198,24.58189014,4.330843189,1.856075653,0.041679091,0.012005185,232.9074283,227.3579614,2.140669312,1.967783483,45.28962733,45.28962733,0.465296206,0.408456145,0.46802938,0.20058402,0.004074891,0.001139336,73.85784644,73.25773092,0.563988512,0.540001563,14.63091965,14.63091965,0.115695993,0.108953492,3.01868E-05,0.06688648,0.030660967,0.058981435,27.27876646,5.424336317,0.509063484,0.218170065,0.004381547,0.001224152,87.47328126,86.82035906,0.648784884,0.622795167,17.34153228,17.34153228,0.132851641,0.125569865,0.181812947,0.999952394,6.914430744,612.59341,120.9394958,740.4473365,0.097577633,32.76208421,773.3069984,2/22/20
2/23/20,3,914988.514,4079287.581,614730.9504,5609007.045,0,0,1,52.46209574,234.4741823,35.24642493,8.843303595,3.789987255,0.079721382,0.023821498,217.1108336,205.7643993,1.906463889,1.750524929,40.79233939,40.79233939,0.470162087,0.391019476,1.400968657,0.600415139,0.011434212,0.003318976,96.88948063,95.09269137,0.754390172,0.712077395,18.95963643,18.95963643,0.161582225,0.146866456,0.000134576,0.138583101,0.064800099,0.270762848,55.82570955,11.06475374,1.589387479,0.681166063,0.012779772,0.003701094,124.817775,122.7791872,0.932500547,0.883469474,24.48872324,24.48872324,0.198283855,0.181545038,0.196717278,0.999926249,14.75297071,619.9808613,120.6735819,755.4074139,0.203517776,67.16122614,822.7721578,2/23/20
2/24/20,4,914962.2225,4079170.365,614713.2866,5608845.875,0,0,1,67.89230992,303.1706139,45.61314548,14.46132736,6.197711727,0.127899635,0.03874328,210.6331895,192.0811437,1.719415105,1.57582984,37.83716763,37.83716763,0.497281292,0.388373065,2.973470792,1.274344625,0.023515737,0.00697635,114.7198718,110.9054606,0.892373162,0.836045279,22.05912513,22.05912513,0.203625932,0.178543577,0.000379369,0.227195073,0.108833101,0.78078461,90.8734266,17.93099933,3.516905898,1.507245385,0.027257048,0.008063153,160.3312933,155.8196924,1.186702879,1.116683855,31.01905295,31.01905295,0.26600776,0.236138527,0.210818616,0.999897517,25.10398951,633.3633289,121.0604094,779.5277278,0.336407542,109.5852105,889.4493459,2/24/20
2/25/20,5,914933.5391,4079042.486,614694.0158,5608670.041,0,0,1,82.97548984,370.3356783,55.74671261,20.96940627,8.986888401,0.184499492,0.056244745,211.8699104,184.9779472,1.57316014,1.437771146,36.1657476,36.1657476,0.543153884,0.398234635,5.239436019,2.24547258,0.040910333,0.012288395,129.4467136,122.7259642,0.990551514,0.923382192,24.33367306,24.33367306,0.245005768,0.206583301,0.000839696,0.328150796,0.161715584,1.749417913,130.9044931,25.68397483,6.457180429,2.767363041,0.049112996,0.014708468,195.4283191,187.1453866,1.417558584,1.327991147,37.16723297,37.16723297,0.338896432,0.291263227,0.221616819,0.999866171,37.73514623,653.9454004,122.3918189,814.0723656,0.490706076,158.3378858,972.9009575,2/25/20
2/26/20,6,914904.6548,4078913.712,614674.61,5608492.976,0,0,1,95.76189219,427.274242,64.33719998,28.07339101,12.03145329,0.24709612,0.075581198,219.0333154,183.0424663,1.461141583,1.330324933,35.50642228,35.50642228,0.603324143,0.417849698,8.208326512,3.517854219,0.063881211,0.019332073,142.5974053,132.0703215,1.059064426,0.983299529,26.0863743,26.0863743,0.287994727,0.232931281,0.00159693,0.438102535,0.222958961,3.344771962,174.9986578,34.10214668,10.53670058,4.515728818,0.07938026,0.023953252,231.2540667,217.7403026,1.630353761,1.522127986,43.1254909,43.1254909,0.419300323,0.34849812,0.212617307,0.999834606,52.23691563,681.5773391,124.727693,858.5419477,0.662658425,212.4455764,1071.650183,2/26/20
2/27/20,7,914873.019,4078772.67,614653.3556,5608299.045,0,0,1,108.9654538,486.0836569,73.20795394,35.5816917,15.24929644,0.3140556,0.096251158,230.8303908,185.2259958,1.378156885,1.248696845,35.6564353,35.6564353,0.674638155,0.445219733,11.84387171,5.075945021,0.092340657,0.028077069,155.2019575,140.0155142,1.10589752,1.023046128,27.53414935,27.53414935,0.333992997,0.258925089,0.002733424,0.554663133,0.292493134,5.731267408,222.6620879,43.04998224,15.83363267,6.785842574,0.118750931,0.036009114,268.6671272,248.3635304,1.829488848,1.703019911,49.04284905,49.04284905,0.508951524,0.409042534,0.21996778,0.999800033,68.28152936,716.0296556,128.0939453,912.4051303,0.849889691,271.4433375,1184.698357,2/27/20
2/28/20,8,914840.7966,4078629.013,614631.7072,5608101.517,0,0,1,120.5337856,537.6119521,80.98008603,43.35695091,18.58155039,0.384177026,0.11788623,246.261692,190.7041865,1.319920105,1.18892401,36.45590418,36.45590418,0.754688719,0.478791428,16.09796162,6.899126408,0.126081957,0.038457046,167.9869265,147.3500145,1.137429605,1.048399986,28.83660236,28.83660236,0.383936822,0.285540278,0.00432918,0.676201034,0.370574056,9.063059087,273.7012593,52.45420735,22.40713588,9.603058233,0.167776583,0.051044601,308.3675882,279.6398478,2.018762217,1.874032788,55.04214395,55.04214395,0.609280384,0.473894957,0.210174687,0.999764819,85.60219158,756.9974931,132.4879703,975.087655,1.05110427,335.2185258,1311.357285,2/28/20
2/29/20,9,914805.6348,4078472.251,614608.0838,5607885.97,0,0,1,132.8911106,592.6655079,89.28229968,51.31644531,21.99276228,0.456689688,0.140250266,264.6098653,198.8650124,1.283017199,1.147817133,37.78538398,37.78538398,0.841799852,0.517441843,20.90607696,8.95974727,0.16474694,0.050359558,181.409376,154.6136576,1.158645462,1.063867789,30.10419112,30.10419112,0.438297601,0.313408528,0.006459848,0.801671633,0.457693381,13.48059568,328.1304527,62.28609816,30.29040026,12.98160011,0.226816619,0.069169271,350.8833435,312.0549743,2.201372906,2.037980431,61.21935452,61.21935452,0.721349251,0.543821619,0.214187142,0.999726394,103.9870783,804.1512587,137.890098,1046.028435,1.265824863,403.8971466,1451.191406,2/29/20
