date,state,ML,ML_SPLINE,Low_90,High_90,Low_50,High_50
2020-03-12,AGUASCALIENTES,1.58,1.579573914137037,0.22,4.79,0.79,2.59
2020-03-13,AGUASCALIENTES,1.58,1.5826684430129498,0.24,4.74,0.8,2.58
2020-03-14,AGUASCALIENTES,1.59,1.5825486370696118,0.19,4.63,0.74,2.5100000000000002
2020-03-15,AGUASCALIENTES,1.6,1.6123339337920986,0.16,4.54,0.79,2.54
2020-03-16,AGUASCALIENTES,1.74,1.7275685912302903,0.15,4.7700000000000005,0.85,2.71
2020-03-17,AGUASCALIENTES,1.73,1.7344261263757963,0.13,4.59,0.86,2.67
2020-03-18,AGUASCALIENTES,1.73,1.7386286004004794,0.14,4.46,0.86,2.63
2020-03-19,AGUASCALIENTES,1.86,1.8409266704781486,0.19,4.63,0.96,2.79
2020-03-20,AGUASCALIENTES,1.84,1.8632585555145798,0.15,4.41,0.9400000000000001,2.71
2020-03-21,AGUASCALIENTES,1.96,1.9368154955975094,0.16,4.47,1.1,2.89
2020-03-22,AGUASCALIENTES,1.92,1.941476986879365,0.18,4.29,1.06,2.7800000000000002
2020-03-23,AGUASCALIENTES,2.02,2.0014676326675254,0.21,4.32,1.16,2.88
2020-03-24,AGUASCALIENTES,1.97,1.981662273081143,0.23,4.15,1.12,2.77
2020-03-25,AGUASCALIENTES,1.92,1.9196966039099896,0.2,3.97,1.1300000000000001,2.72
2020-03-26,AGUASCALIENTES,1.8800000000000001,1.8705641130243476,0.14,3.79,1.03,2.58
2020-03-27,AGUASCALIENTES,1.75,1.7611570822355853,0.1,3.5300000000000002,0.99,2.46
2020-03-28,AGUASCALIENTES,1.72,1.7149942703988752,0.11,3.47,0.96,2.41
2020-03-29,AGUASCALIENTES,1.61,1.608765931479606,0.06,3.2600000000000002,0.9,2.3000000000000003
2020-03-30,AGUASCALIENTES,1.51,1.5094202005805193,0.01,3.08,0.73,2.1
2020-03-31,AGUASCALIENTES,1.5,1.507178674013546,0.04,3.09,0.72,2.09
2020-04-01,AGUASCALIENTES,1.5,1.4930797396972735,0.01,3.0500000000000003,0.71,2.08
2020-04-02,AGUASCALIENTES,1.4000000000000001,1.3955013276526136,0.0,2.93,0.62,1.96
2020-04-03,AGUASCALIENTES,1.3900000000000001,1.407008986120231,0.0,2.93,0.5700000000000001,1.92
2020-04-04,AGUASCALIENTES,1.49,1.4698885732098934,0.0,3.0300000000000002,0.71,2.09
2020-04-05,AGUASCALIENTES,1.48,1.497162332257672,0.0,3.02,0.68,2.06
2020-04-06,AGUASCALIENTES,1.57,1.5545338333726635,0.01,3.11,0.73,2.14
2020-04-07,AGUASCALIENTES,1.55,1.5667815767776965,0.02,3.09,0.74,2.14
2020-04-08,AGUASCALIENTES,1.6400000000000001,1.6198627212941907,0.02,3.16,0.8,2.22
2020-04-09,AGUASCALIENTES,1.62,1.64098987900368,0.01,3.11,0.84,2.24
2020-04-10,AGUASCALIENTES,1.69,1.6728285580285471,0.03,3.18,0.89,2.3000000000000003
2020-04-11,AGUASCALIENTES,1.76,1.7753041214114738,0.13,3.3000000000000003,0.9500000000000001,2.36
2020-04-12,AGUASCALIENTES,1.9100000000000001,1.89197924225957,0.15,3.41,1.12,2.5300000000000002
2020-04-13,AGUASCALIENTES,1.94,1.9553741655557697,0.2,3.43,1.1300000000000001,2.52
2020-04-14,AGUASCALIENTES,1.97,1.9702021137218735,0.3,3.48,1.18,2.54
2020-04-15,AGUASCALIENTES,1.98,1.9592245535393982,0.3,3.43,1.2,2.5300000000000002
2020-04-16,AGUASCALIENTES,1.9100000000000001,1.9392545796055756,0.29,3.3200000000000003,1.17,2.46
2020-04-17,AGUASCALIENTES,1.92,1.9033117977805065,0.35000000000000003,3.33,1.22,2.48
2020-04-18,AGUASCALIENTES,1.85,1.8473816307363515,0.27,3.17,1.1500000000000001,2.38
2020-04-19,AGUASCALIENTES,1.79,1.79483639772704,0.22,3.0500000000000003,1.1400000000000001,2.34
2020-04-20,AGUASCALIENTES,1.74,1.7448831693884042,0.22,2.98,1.06,2.24
2020-04-21,AGUASCALIENTES,1.69,1.6884591569526641,0.2,2.9,1.01,2.17
2020-04-22,AGUASCALIENTES,1.6400000000000001,1.6284108666573398,0.17,2.82,0.99,2.13
2020-04-23,AGUASCALIENTES,1.6,1.615221984761145,0.16,2.7600000000000002,1.01,2.13
2020-04-24,AGUASCALIENTES,1.68,1.6696531488116275,0.22,2.84,1.07,2.18
2020-04-25,AGUASCALIENTES,1.69,1.6925468565489872,0.26,2.85,1.03,2.13
2020-04-26,AGUASCALIENTES,1.7,1.7111097283307217,0.28,2.84,1.06,2.14
2020-04-27,AGUASCALIENTES,1.75,1.7253657239716282,0.36,2.9,1.1300000000000001,2.19
2020-04-28,AGUASCALIENTES,1.69,1.7168903293862001,0.35000000000000003,2.83,1.08,2.12
2020-04-29,AGUASCALIENTES,1.69,1.6717221782218146,0.39,2.83,1.1,2.12
2020-04-30,AGUASCALIENTES,1.59,1.5937524950573887,0.3,2.68,1.04,2.04
