"date","state","ML","ML_SPLINE","Low_90","High_90","Low_50","High_50"
2020-02-20,"NUEVO LEÓN",2.2,2.20223606144736,0.92,2.99,1.59,2.64
2020-02-21,"NUEVO LEÓN",2.84,2.82754405002563,1.4,3,2.37,2.99
2020-02-22,"NUEVO LEÓN",2.87,2.89520240284,2.05,3,2.65,2.98
2020-02-23,"NUEVO LEÓN",2.88,2.87173278739081,2.31,3,2.71,2.97
2020-02-24,"NUEVO LEÓN",2.87,2.85478730280548,2.38,3,2.71,2.96
2020-02-25,"NUEVO LEÓN",2.86,2.84726640012724,2.41,3,2.68,2.93
2020-02-26,"NUEVO LEÓN",2.84,2.84193350643528,2.39,3,2.69,2.95
2020-02-27,"NUEVO LEÓN",2.81,2.82901779281782,2.34,3,2.6,2.89
2020-02-28,"NUEVO LEÓN",2.77,2.79874843036305,2.28,3,2.54,2.86
2020-02-29,"NUEVO LEÓN",2.74,2.74379755715924,2.23,3,2.48,2.83
2020-03-01,"NUEVO LEÓN",2.68,2.66660917929486,2.14,2.99,2.43,2.81
2020-03-02,"NUEVO LEÓN",2.59,2.57207026985843,2.05,2.98,2.32,2.74
2020-03-03,"NUEVO LEÓN",2.48,2.46506780193849,1.93,2.94,2.21,2.66
2020-03-04,"NUEVO LEÓN",2.36,2.35048874862355,1.76,2.85,2.08,2.55
2020-03-05,"NUEVO LEÓN",2.23,2.23322008300216,1.65,2.78,1.94,2.42
2020-03-06,"NUEVO LEÓN",2.11,2.11814877816283,1.5,2.65,1.8,2.28
2020-03-07,"NUEVO LEÓN",2,2.00944971646047,1.43,2.56,1.71,2.18
2020-03-08,"NUEVO LEÓN",1.9,1.90844941731554,1.3,2.42,1.63,2.09
2020-03-09,"NUEVO LEÓN",1.82,1.81576230941486,1.24,2.34,1.57,2.02
2020-03-10,"NUEVO LEÓN",1.72,1.73200282144528,1.14,2.23,1.44,1.89
2020-03-11,"NUEVO LEÓN",1.66,1.65778538209361,1.07,2.15,1.42,1.86
2020-03-12,"NUEVO LEÓN",1.6,1.59372442004671,1.02,2.09,1.33,1.77
2020-03-13,"NUEVO LEÓN",1.54,1.54043436399139,0.97,2.03,1.26,1.7
2020-03-14,"NUEVO LEÓN",1.51,1.49852964261448,0.94,1.99,1.26,1.69
2020-03-15,"NUEVO LEÓN",1.47,1.4687983702433,0.92,1.96,1.21,1.64
2020-03-16,"NUEVO LEÓN",1.45,1.45272340376699,0.91,1.94,1.17,1.6
2020-03-17,"NUEVO LEÓN",1.45,1.45196128571517,0.92,1.94,1.21,1.63
2020-03-18,"NUEVO LEÓN",1.46,1.46816855861747,0.94,1.95,1.2,1.62
2020-03-19,"NUEVO LEÓN",1.5,1.50044494012167,0.98,1.98,1.28,1.69
2020-03-20,"NUEVO LEÓN",1.55,1.53766284834818,1.02,2.01,1.29,1.7
2020-03-21,"NUEVO LEÓN",1.56,1.56613787653561,1.07,2.04,1.33,1.73
2020-03-22,"NUEVO LEÓN",1.58,1.57640017771853,1.07,2.03,1.32,1.72
2020-03-23,"NUEVO LEÓN",1.58,1.57583814411549,1.06,2.01,1.34,1.73
2020-03-24,"NUEVO LEÓN",1.57,1.57605472774106,1.08,2.01,1.31,1.7
2020-03-25,"NUEVO LEÓN",1.57,1.58865288060976,1.08,2,1.34,1.72
2020-03-26,"NUEVO LEÓN",1.62,1.62055815150972,1.12,2.03,1.41,1.78
2020-03-27,"NUEVO LEÓN",1.67,1.65998647632331,1.19,2.08,1.43,1.8
2020-03-28,"NUEVO LEÓN",1.7,1.69047638770644,1.25,2.12,1.49,1.85
2020-03-29,"NUEVO LEÓN",1.71,1.69556641831504,1.24,2.1,1.52,1.87
2020-03-30,"NUEVO LEÓN",1.67,1.66335843595696,1.23,2.07,1.45,1.8
2020-03-31,"NUEVO LEÓN",1.6,1.60020764904773,1.15,1.98,1.4,1.74
2020-04-01,"NUEVO LEÓN",1.51,1.51703260115483,1.07,1.89,1.3,1.64
2020-04-02,"NUEVO LEÓN",1.4,1.42475183584572,0.98,1.79,1.18,1.52
2020-04-03,"NUEVO LEÓN",1.31,1.33428389668784,0.88,1.69,1.13,1.46
2020-04-04,"NUEVO LEÓN",1.26,1.25654732724868,0.81,1.62,1.07,1.4
2020-04-05,"NUEVO LEÓN",1.21,1.20246067109568,0.8,1.6,1.02,1.35
2020-04-06,"NUEVO LEÓN",1.2,1.18009172065715,0.78,1.58,1,1.33
2020-04-07,"NUEVO LEÓN",1.2,1.18610526380477,0.77,1.57,1,1.33
2020-04-08,"NUEVO LEÓN",1.23,1.21431533727103,0.79,1.59,1.02,1.35
2020-04-09,"NUEVO LEÓN",1.26,1.25853597778844,0.84,1.63,1.04,1.37
2020-04-10,"NUEVO LEÓN",1.3,1.31258122208952,0.9,1.68,1.13,1.45
2020-04-11,"NUEVO LEÓN",1.34,1.37026510690678,0.92,1.7,1.15,1.47
2020-04-12,"NUEVO LEÓN",1.41,1.42540166897271,1,1.77,1.2,1.52
2020-04-13,"NUEVO LEÓN",1.48,1.47180494501983,1.07,1.83,1.3,1.61
2020-04-14,"NUEVO LEÓN",1.52,1.50420013218598,1.11,1.86,1.32,1.63
2020-04-15,"NUEVO LEÓN",1.54,1.52095706923033,1.13,1.87,1.37,1.67
2020-04-16,"NUEVO LEÓN",1.53,1.52135675531738,1.16,1.88,1.34,1.64
2020-04-17,"NUEVO LEÓN",1.5,1.50468018961165,1.11,1.83,1.3,1.6
2020-04-18,"NUEVO LEÓN",1.46,1.47355967517944,1.07,1.78,1.29,1.58
2020-04-19,"NUEVO LEÓN",1.42,1.44403273069426,1.05,1.75,1.24,1.53
2020-04-20,"NUEVO LEÓN",1.43,1.43548817873146,1.07,1.76,1.23,1.52
2020-04-21,"NUEVO LEÓN",1.47,1.46050508907528,1.09,1.78,1.31,1.59
2020-04-22,"NUEVO LEÓN",1.53,1.50442352034574,1.15,1.83,1.35,1.63
2020-04-23,"NUEVO LEÓN",1.56,1.54577377837178,1.19,1.86,1.37,1.65
2020-04-24,"NUEVO LEÓN",1.56,1.56308616898235,1.19,1.85,1.39,1.66
2020-04-25,"NUEVO LEÓN",1.53,1.54170593215887,1.17,1.82,1.35,1.62
2020-04-26,"NUEVO LEÓN",1.48,1.49423804449282,1.13,1.77,1.34,1.6
2020-04-27,"NUEVO LEÓN",1.42,1.44010241672812,1.09,1.72,1.26,1.52
2020-04-28,"NUEVO LEÓN",1.4,1.39871895960874,1.05,1.68,1.23,1.49
2020-04-29,"NUEVO LEÓN",1.4,1.38338193254718,1.07,1.69,1.22,1.48
2020-04-30,"NUEVO LEÓN",1.4,1.38288298963017,1.08,1.69,1.26,1.51
2020-05-01,"NUEVO LEÓN",1.4,1.37988813361304,1.06,1.67,1.24,1.49
2020-05-02,"NUEVO LEÓN",1.35,1.35706336725106,1.03,1.63,1.19,1.44
2020-05-03,"NUEVO LEÓN",1.28,1.30389288466641,0.95,1.55,1.11,1.36
2020-05-04,"NUEVO LEÓN",1.22,1.23713364544866,0.88,1.48,1.04,1.29
2020-05-05,"NUEVO LEÓN",1.17,1.18036080055426,0.86,1.45,1,1.25
2020-05-06,"NUEVO LEÓN",1.16,1.15254812707327,0.84,1.43,0.98,1.23
2020-05-07,"NUEVO LEÓN",1.18,1.15426390663021,0.86,1.45,1.04,1.28
2020-05-08,"NUEVO LEÓN",1.21,1.18147504698326,0.88,1.47,1.06,1.3
2020-05-09,"NUEVO LEÓN",1.23,1.23014845589056,0.93,1.51,1.08,1.32
2020-05-10,"NUEVO LEÓN",1.27,1.29423658157715,0.95,1.53,1.11,1.35
2020-05-11,"NUEVO LEÓN",1.33,1.35963403413551,1.02,1.59,1.16,1.4
2020-05-12,"NUEVO LEÓN",1.4,1.41022096412499,1.08,1.65,1.23,1.47
2020-05-13,"NUEVO LEÓN",1.44,1.42987752210497,1.14,1.7,1.3,1.53
2020-05-14,"NUEVO LEÓN",1.44,1.40803973976264,1.14,1.69,1.28,1.51
2020-05-15,"NUEVO LEÓN",1.37,1.35636717329663,1.07,1.62,1.21,1.44
2020-05-16,"NUEVO LEÓN",1.28,1.29207526003339,0.99,1.53,1.16,1.38
