"Fecha","Estado","RtI"
2020-03-12,"AGUASCALIENTES",0
2020-03-13,"AGUASCALIENTES",0
2020-03-14,"AGUASCALIENTES",1.59
2020-03-15,"AGUASCALIENTES",1.6
2020-03-16,"AGUASCALIENTES",3.48
2020-03-17,"AGUASCALIENTES",3.46
2020-03-18,"AGUASCALIENTES",6.92
2020-03-19,"AGUASCALIENTES",3.72
2020-03-20,"AGUASCALIENTES",5.52
2020-03-21,"AGUASCALIENTES",0
2020-03-22,"AGUASCALIENTES",9.6
2020-03-23,"AGUASCALIENTES",18.18
2020-03-24,"AGUASCALIENTES",9.85
2020-03-25,"AGUASCALIENTES",9.6
2020-03-26,"AGUASCALIENTES",7.52
2020-03-27,"AGUASCALIENTES",10.5
2020-03-28,"AGUASCALIENTES",3.44
2020-03-29,"AGUASCALIENTES",4.83
2020-03-30,"AGUASCALIENTES",6.04
2020-03-31,"AGUASCALIENTES",0
2020-04-01,"AGUASCALIENTES",1.5
2020-04-02,"AGUASCALIENTES",4.2
2020-04-03,"AGUASCALIENTES",1.39
2020-04-04,"AGUASCALIENTES",0
2020-04-05,"AGUASCALIENTES",2.96
2020-04-06,"AGUASCALIENTES",6.28
2020-04-07,"AGUASCALIENTES",6.2
2020-04-08,"AGUASCALIENTES",3.28
2020-04-09,"AGUASCALIENTES",4.86
2020-04-10,"AGUASCALIENTES",8.45
2020-04-11,"AGUASCALIENTES",10.56
2020-04-12,"AGUASCALIENTES",13.37
2020-04-13,"AGUASCALIENTES",15.52
2020-04-14,"AGUASCALIENTES",25.61
2020-04-15,"AGUASCALIENTES",21.78
2020-04-16,"AGUASCALIENTES",19.1
2020-04-17,"AGUASCALIENTES",21.12
2020-04-18,"AGUASCALIENTES",31.45
2020-04-19,"AGUASCALIENTES",14.32
2020-04-20,"AGUASCALIENTES",33.06
2020-04-21,"AGUASCALIENTES",10.14
2020-04-22,"AGUASCALIENTES",18.04
2020-04-23,"AGUASCALIENTES",28.8
2020-04-24,"AGUASCALIENTES",20.16
2020-04-25,"AGUASCALIENTES",16.9
2020-04-26,"AGUASCALIENTES",18.7
2020-04-27,"AGUASCALIENTES",57.75
2020-04-28,"AGUASCALIENTES",20.28
2020-04-29,"AGUASCALIENTES",28.73
2020-04-30,"AGUASCALIENTES",38.16
2020-05-01,"AGUASCALIENTES",16.5
2020-05-02,"AGUASCALIENTES",31.71
2020-05-03,"AGUASCALIENTES",17.76
2020-05-04,"AGUASCALIENTES",32.2
2020-05-05,"AGUASCALIENTES",30.36
2020-05-06,"AGUASCALIENTES",11.43
2020-05-07,"AGUASCALIENTES",23.75
2020-05-08,"AGUASCALIENTES",12.3
2020-05-09,"AGUASCALIENTES",8.54
2020-05-10,"AGUASCALIENTES",25.8
2020-05-11,"AGUASCALIENTES",41.85
2020-05-12,"AGUASCALIENTES",17.68
2020-05-13,"AGUASCALIENTES",28.14
2020-05-14,"AGUASCALIENTES",27.51
2020-05-15,"AGUASCALIENTES",27.5
2020-05-16,"AGUASCALIENTES",19.05
2020-05-17,"AGUASCALIENTES",23.22
2020-05-18,"AGUASCALIENTES",30.82
2020-05-19,"AGUASCALIENTES",30.03
2020-05-20,"AGUASCALIENTES",54.02
2020-05-21,"AGUASCALIENTES",49.17
2020-05-22,"AGUASCALIENTES",45.88
2020-05-23,"AGUASCALIENTES",34.5
2020-05-24,"AGUASCALIENTES",44.7
2020-05-25,"AGUASCALIENTES",65.79
2020-05-26,"AGUASCALIENTES",72.48
2020-05-27,"AGUASCALIENTES",46.19
2020-05-28,"AGUASCALIENTES",63.8
2020-05-29,"AGUASCALIENTES",51.1
2020-05-30,"AGUASCALIENTES",57.76
2020-05-31,"AGUASCALIENTES",62.8
2020-06-01,"AGUASCALIENTES",120.12
2020-06-02,"AGUASCALIENTES",88.74
2020-06-03,"AGUASCALIENTES",54.76
2020-06-04,"AGUASCALIENTES",52.17
2020-06-05,"AGUASCALIENTES",87.57
2020-06-06,"AGUASCALIENTES",85.4
2020-06-07,"AGUASCALIENTES",66.74
2020-06-08,"AGUASCALIENTES",97.98
2020-06-09,"AGUASCALIENTES",65
2020-06-10,"AGUASCALIENTES",73.81
2020-06-11,"AGUASCALIENTES",44.46
2020-06-12,"AGUASCALIENTES",54.52
2020-06-13,"AGUASCALIENTES",57.34
2020-06-14,"AGUASCALIENTES",76.86
2020-06-15,"AGUASCALIENTES",103.2
2020-06-16,"AGUASCALIENTES",76.88
2020-06-17,"AGUASCALIENTES",59
2020-06-18,"AGUASCALIENTES",63.22
2020-06-19,"AGUASCALIENTES",44.72
2020-06-20,"AGUASCALIENTES",51.51
2020-06-21,"AGUASCALIENTES",48.48
2020-06-22,"AGUASCALIENTES",67.67
2020-06-23,"AGUASCALIENTES",40.32
2020-06-24,"AGUASCALIENTES",44.18
2020-06-25,"AGUASCALIENTES",40.5
2020-06-26,"AGUASCALIENTES",35.2
2020-06-27,"AGUASCALIENTES",45.57
2020-06-28,"AGUASCALIENTES",43.86
2020-06-29,"AGUASCALIENTES",61.6
2020-06-30,"AGUASCALIENTES",66.7
2020-07-01,"AGUASCALIENTES",88.48
2020-07-02,"AGUASCALIENTES",61.6
2020-07-03,"AGUASCALIENTES",43.87
2020-07-04,"AGUASCALIENTES",45.36
2020-07-05,"AGUASCALIENTES",76.59
2020-07-06,"AGUASCALIENTES",85.5
2020-07-07,"AGUASCALIENTES",77.72
2020-07-08,"AGUASCALIENTES",63.28
2020-07-09,"AGUASCALIENTES",54.57
