,tiempo
0,19.0
1,27.0
2,14.0
3,17.0
4,15.0
5,15.0
6,16.0
7,18.0
8,18.0
9,21.0
10,19.0
11,26.0
12,39.0
13,43.0
14,36.0
15,41.0
16,40.0
17,42.0
18,38.0
19,38.0
20,42.0
21,43.0
22,40.0
23,41.0
24,52.0
25,53.0
26,45.0
27,45.0
28,46.0
29,52.0
30,45.0
31,48.0
32,52.0
33,49.0
34,51.0
35,47.0
36,58.0
37,58.0
38,53.0
39,58.0
40,60.0
41,58.0
42,57.0
43,58.0
44,55.0
45,58.0
46,59.0
47,56.0
48,60.0
49,59.0
50,59.0
51,63.0
52,60.0
53,60.0
54,61.0
55,59.0
56,62.0
57,59.0
58,62.0
59,62.0
60,63.0
61,65.0
62,65.0
63,64.0
64,63.0
65,65.0
66,66.0
67,65.0
68,65.0
69,65.0
70,65.0
71,63.0
72,66.0
73,69.0
74,68.0
75,67.0
76,70.0
77,68.0
78,69.0
79,69.0
80,70.0
81,68.0
82,68.0
83,67.0
84,71.0
85,72.0
86,70.0
87,71.0
88,72.0
89,72.0
90,69.0
91,72.0
92,70.0
93,71.0
94,71.0
95,71.0
96,73.0
97,74.0
98,72.0
99,73.0
100,73.0
101,74.0
102,73.0
103,72.0
104,74.0
105,73.0
106,73.0
107,74.0
108,75.0
109,77.0
110,75.0
111,74.0
112,76.0
113,75.0
114,74.0
115,76.0
116,76.0
117,75.0
118,76.0
119,74.0
120,77.0
121,76.0
122,77.0
123,78.0
124,78.0
125,77.0
126,77.0
127,79.0
128,77.0
129,78.0
130,79.0
131,78.0
132,81.0
133,79.0
134,80.0
135,80.0
136,80.0
137,80.0
138,81.0
139,80.0
140,80.0
141,79.0
142,80.0
143,80.0
144,82.0
145,82.0
146,81.0
147,82.0
148,82.0
149,81.0
150,82.0
151,83.0
152,83.0
153,81.0
154,82.0
155,83.0
156,84.0
157,85.0
158,85.0
159,85.0
160,84.0
161,85.0
162,84.0
163,85.0
164,84.0
165,83.0
166,83.0
167,84.0
168,86.0
169,85.0
170,86.0
171,85.0
172,85.0
173,85.0
174,86.0
175,86.0
176,86.0
177,86.0
178,84.0
179,86.0
180,87.0
181,86.0
182,86.0
183,86.0
184,86.0
185,86.0
186,86.0
187,86.0
188,87.0
189,88.0
190,86.0
191,87.0
192,88.0
193,89.0
194,88.0
195,88.0
196,87.0
197,88.0
198,89.0
199,89.0
200,89.0
201,88.0
202,88.0
203,88.0
204,89.0
205,89.0
206,89.0
207,90.0
208,90.0
209,90.0
210,89.0
211,90.0
212,89.0
213,89.0
214,88.0
215,90.0
216,90.0
217,93.0
218,93.0
219,91.0
220,92.0
221,92.0
222,91.0
223,92.0
224,92.0
225,92.0
226,92.0
227,93.0
228,93.0
229,93.0
230,92.0
231,92.0
232,94.0
233,92.0
234,92.0
235,92.0
236,93.0
237,93.0
238,92.0
239,94.0
240,93.0
241,95.0
242,94.0
243,93.0
244,94.0
245,94.0
246,93.0
247,93.0
248,95.0
249,95.0
250,94.0
251,94.0
252,95.0
253,95.0
254,95.0
255,95.0
256,95.0
257,94.0
258,95.0
259,94.0
260,94.0
261,95.0
262,94.0
263,94.0
264,96.0
265,96.0
266,95.0
267,95.0
268,95.0
269,96.0
270,96.0
271,95.0
272,96.0
273,96.0
274,96.0
275,95.0
276,96.0
277,96.0
278,97.0
279,96.0
280,97.0
281,96.0
282,96.0
283,96.0
284,97.0
285,96.0
286,96.0
287,97.0
288,98.0
289,97.0
290,97.0
291,98.0
292,97.0
293,98.0
294,97.0
295,98.0
296,98.0
297,98.0
298,97.0
299,97.0
300,98.0
301,98.0
302,98.0
303,99.0
304,98.0
305,99.0
306,98.0
307,98.0
308,98.0
309,99.0
310,98.0
311,99.0
312,99.0
313,98.0
314,98.0
315,99.0
316,100.0
317,99.0
318,98.0
319,99.0
320,98.0
321,99.0
322,98.0
323,98.0
324,100.0
325,99.0
326,99.0
327,99.0
328,100.0
329,99.0
330,99.0
331,100.0
332,99.0
333,100.0
334,100.0
335,99.0
336,99.0
337,101.0
338,101.0
339,100.0
340,101.0
341,101.0
342,101.0
