,tiempo
0,15.0
1,18.0
2,13.0
3,31.0
4,18.0
5,14.0
6,27.0
7,19.0
8,18.0
9,20.0
10,22.0
11,28.0
12,17.0
13,35.0
14,29.0
15,20.0
16,16.0
17,16.0
18,16.0
19,34.0
20,21.0
21,16.0
22,20.0
23,24.0
24,34.0
25,27.0
26,15.0
27,17.0
28,26.0
29,25.0
30,41.0
31,41.0
32,43.0
33,43.0
34,38.0
35,42.0
36,39.0
37,38.0
38,38.0
39,41.0
40,38.0
41,41.0
42,42.0
43,40.0
44,41.0
45,43.0
46,40.0
47,42.0
48,41.0
49,43.0
50,40.0
51,41.0
52,37.0
53,42.0
54,39.0
55,42.0
56,36.0
57,37.0
58,40.0
59,41.0
60,45.0
61,45.0
62,50.0
63,50.0
64,49.0
65,50.0
66,49.0
67,47.0
68,52.0
69,50.0
70,45.0
71,47.0
72,45.0
73,45.0
74,48.0
75,51.0
76,49.0
77,45.0
78,44.0
79,45.0
80,43.0
81,51.0
82,45.0
83,50.0
84,47.0
85,52.0
86,51.0
87,49.0
88,50.0
89,48.0
90,59.0
91,59.0
92,57.0
93,55.0
94,56.0
95,58.0
96,59.0
97,58.0
98,59.0
99,56.0
100,58.0
101,57.0
102,59.0
103,59.0
104,58.0
105,59.0
106,57.0
107,57.0
108,56.0
109,56.0
110,59.0
111,56.0
112,58.0
113,58.0
114,54.0
115,56.0
116,60.0
117,57.0
118,55.0
119,57.0
120,59.0
121,61.0
122,62.0
123,62.0
124,60.0
125,60.0
126,60.0
127,61.0
128,61.0
129,62.0
130,63.0
131,60.0
132,62.0
133,63.0
134,62.0
135,59.0
136,62.0
137,64.0
138,62.0
139,61.0
140,62.0
141,59.0
142,62.0
143,63.0
144,61.0
145,61.0
146,59.0
147,63.0
148,61.0
149,61.0
150,65.0
151,65.0
152,64.0
153,66.0
154,64.0
155,64.0
156,64.0
157,65.0
158,65.0
159,64.0
160,64.0
161,65.0
162,63.0
163,65.0
164,64.0
165,66.0
166,65.0
167,65.0
168,64.0
169,65.0
170,64.0
171,64.0
172,64.0
173,66.0
174,63.0
175,65.0
176,65.0
177,65.0
178,65.0
179,65.0
180,66.0
181,67.0
182,67.0
183,69.0
184,70.0
185,68.0
186,68.0
187,68.0
188,67.0
189,68.0
190,68.0
191,67.0
192,67.0
193,66.0
194,66.0
195,69.0
196,69.0
197,66.0
198,66.0
199,69.0
200,66.0
201,67.0
202,66.0
203,68.0
204,69.0
205,68.0
206,67.0
207,67.0
208,70.0
209,65.0
210,70.0
211,72.0
212,69.0
213,71.0
214,69.0
215,72.0
216,72.0
217,70.0
218,72.0
219,71.0
220,70.0
221,71.0
222,73.0
223,71.0
224,71.0
225,72.0
226,72.0
227,71.0
228,71.0
229,69.0
230,72.0
231,71.0
232,70.0
233,71.0
234,72.0
235,72.0
236,72.0
237,71.0
238,71.0
239,72.0
240,72.0
241,72.0
242,73.0
243,74.0
244,74.0
245,72.0
246,73.0
247,74.0
248,72.0
249,73.0
250,73.0
251,72.0
252,73.0
253,73.0
254,74.0
255,73.0
256,74.0
257,74.0
258,73.0
259,74.0
260,72.0
261,74.0
262,74.0
263,73.0
264,73.0
265,73.0
266,73.0
267,72.0
268,74.0
269,72.0
270,76.0
271,76.0
272,74.0
273,76.0
274,76.0
275,76.0
276,74.0
277,75.0
278,74.0
279,74.0
280,76.0
281,75.0
282,76.0
283,75.0
284,74.0
285,75.0
286,74.0
287,75.0
288,77.0
289,77.0
290,74.0
291,76.0
292,75.0
293,74.0
294,76.0
295,73.0
296,74.0
297,74.0
298,75.0
299,75.0
300,76.0
301,77.0
302,76.0
303,79.0
304,78.0
305,77.0
306,79.0
307,76.0
308,78.0
309,76.0
310,77.0
311,77.0
312,79.0
313,77.0
314,79.0
315,78.0
316,78.0
317,77.0
318,79.0
319,76.0
320,78.0
321,79.0
322,78.0
323,77.0
